"term","estimate","std.error","conf.low","conf.high","effort","replicate"
"factor(Year)2003",-5.05509639981007,1.55088774478256,-8.09478052364843,-2.01541227597171,0.1,1
"factor(Year)2004",-4.24475255483397,1.56431374680008,-7.31075115908303,-1.17875395058492,0.1,1
"factor(Year)2005",-5.57702301031394,1.54669810461112,-8.60849559030809,-2.54555043031979,0.1,1
"factor(Year)2006",-5.68675106412439,1.55010981728045,-8.72491047807603,-2.64859165017274,0.1,1
"factor(Year)2007",-4.98258444759514,1.50867271972229,-7.93952864270893,-2.02564025248136,0.1,1
"factor(Year)2008",-4.74129510261178,1.50645979337077,-7.69390204177613,-1.78868816344742,0.1,1
"factor(Year)2009",-4.14018349987827,1.47897247271097,-7.03891628051792,-1.24145071923862,0.1,1
"factor(Year)2010",-4.22161531032526,1.50987630459574,-7.18091848844333,-1.26231213220718,0.1,1
"factor(Year)2011",-5.03605873432829,1.52269777255318,-8.0204915278719,-2.05162594078469,0.1,1
"factor(Year)2012",-5.29155042659215,1.51156916654673,-8.25417155316496,-2.32892930001933,0.1,1
"factor(Year)2013",-4.19370232388686,1.52229606256437,-7.17734778032016,-1.21005686745355,0.1,1
"factor(Year)2014",-4.0886360333878,1.45933583874,-6.94888171866676,-1.22839034810884,0.1,1
"factor(Year)2015",-4.2028034177747,1.50071671506956,-7.14415413030829,-1.26145270524112,0.1,1
"factor(Year)2016",-4.39908511082692,1.47681547076448,-7.29359024533686,-1.50457997631697,0.1,1
"factor(Year)2017",-3.38568524665258,1.4687628933647,-6.26440761947623,-0.506962873828931,0.1,1
"factor(Year)2018",-5.49428095293055,1.53007376234791,-8.49317042082216,-2.49539148503895,0.1,1
"factor(Year)2019",-3.82077596640941,1.60746659965959,-6.97135260809327,-0.670199324725537,0.1,1
"factor(Year)2021",-5.95884547339141,1.52991202232964,-8.95741793667235,-2.96027301011046,0.1,1
"factor(Year)2022",-4.39377361832235,1.53288133189701,-7.39816582141428,-1.38938141523041,0.1,1
"factor(Year)2023",-4.47599135383656,1.50573112516068,-7.42717012955247,-1.52481257812065,0.1,1
"Pass",-0.323304546067387,0.246038248946582,-0.805530652821989,0.158921560687214,0.1,1
"factor(Year)2003",-5.05509573604269,1.55088752910232,-8.09477943715556,-2.01541203492982,0.1,1
"factor(Year)2004",-4.24475187810335,1.5643135474468,-7.31075009162717,-1.17875366457953,0.1,1
"factor(Year)2005",-5.57702234144226,1.54669794912211,-8.60849461668356,-2.54555006620096,0.1,1
