"term","estimate","std.error","conf.low","conf.high","effort","replicate"
"range",0.736227876607262,0.185541421362043,0.449257771815617,1.2065044175042,0.1,1
"sigma_O",6.12516094886428,1.01565078058609,4.42562404548933,8.47735737691739,0.1,1
"sigma_E",0.000347271493967757,0.520723286698057,0,Inf,0.1,1
"range",0.736227836779697,0.185541405947203,0.44925775394388,1.20650433496362,0.1,1
"sigma_O",6.12516079092335,1.01565081195496,4.42562384986194,8.4773573144575,0.1,1
"sigma_E",0.000347908104785572,0.500895797680393,0,Inf,0.1,1
"range",1.02458022021182,0.235165978173078,0.653393177286078,1.60663542893054,0.1,1
"sigma_O",4.76840451873104,0.78336593063216,3.45569561055803,6.57976981097096,0.1,1
"sigma_E",5.87626919505336e-06,NA,NA,NA,0.1,1
"range",1.02458022075478,0.235165997859712,0.65339315318169,1.60663548990388,0.1,1
"sigma_O",4.76840451761104,0.783366142109413,3.45569530910286,6.5797703818617,0.1,1
"sigma_E",5.35189280271342e-06,NA,NA,NA,0.1,1
"range",1.16457323850479,0.284166737172603,0.721881125183657,1.87874537860578,0.1,2
"sigma_O",5.8528484298038,1.1169489582181,4.02647707625598,8.50764429884937,0.1,2
"sigma_E",0.00135806735047999,0.171448568377313,4.71396448068643e-111,3.91251766108168e+104,0.1,2
"range",1.16457318662157,0.284166684961803,0.721881141073931,1.87874516984927,0.1,2
"sigma_O",5.85284816268159,1.11694874747707,4.02647710790803,8.5076434553984,0.1,2
"sigma_E",0.0013554100845845,0.172286699132296,8.62013232641815e-112,2.13121612038731e+105,0.1,2
"range",1.26384836741884,0.304071093804767,0.788684253573096,2.02528792554273,0.1,3
"sigma_O",5.60913116526875,1.10626585795606,3.81080405026585,8.25609294369104,0.1,3
"sigma_E",0.000124543729559302,NA,NA,NA,0.1,3
"range",1.26384842508804,0.304070478420726,0.788685059197331,2.02528604158313,0.1,3
"sigma_O",5.60913152555417,1.10626176330206,3.81080984204716,8.25608145644554,0.1,3
"sigma_E",6.9382356880376e-05,NA,NA,NA,0.1,3
"range",1.12263193884207,0.323922630864988,0.637724210890175,1.97624999739164,0.1,4
"sigma_O",4.78982695853291,0.94274348972555,3.25675136607596,7.04457900338023,0.1,4
"sigma_E",0.000229091623140522,0.292074086515195,0,Inf,0.1,4
"range",1.12263201591315,0.323922697730052,0.637724204984385,1.97625028704075,0.1,4
"sigma_O",4.78982714036167,0.942743742725991,3.25675120024084,7.04457989693798,0.1,4
"sigma_E",0.000130711551291795,0.153919055984114,0,Inf,0.1,4
"range",1.07242626200028,0.272298339280074,0.651988564045581,1.76398506178015,0.1,5
"sigma_O",4.47316021230194,0.750997073182306,3.21889320245197,6.21616221056334,0.1,5
"sigma_E",4.45018259157692e-05,NA,NA,NA,0.1,5
"range",1.07242576061699,0.272298117614707,0.651988371662922,1.76398393287532,0.1,5
"sigma_O",4.47315877959921,0.750996856468618,3.21889213787813,6.21616028448077,0.1,5
"sigma_E",0.000159081803424018,0.211222523538027,0,Inf,0.1,5
"range",1.16785488860499,0.288562098236259,0.719561306085667,1.89543966483961,0.1,6
"sigma_O",5.00112531855303,0.932260662772407,3.47052442904627,7.20676513397873,0.1,6
"sigma_E",0.00278381096820758,0.166406830735601,3.65327471439439e-54,2.12127587235047e+48,0.1,6
"range",1.16785480290348,0.288563190847518,0.719559908261562,1.89544306874994,0.1,6
"sigma_O",5.0011259259681,0.932265451467223,3.47051849139743,7.20677921451423,0.1,6
"sigma_E",0.000127751473118113,0.0531472940220026,0,Inf,0.1,6
"range",1.18142571762655,0.320027789998195,0.694753345808325,2.00901044189357,0.1,7
"sigma_O",6.61721739202576,1.35037802797001,4.43578395090693,9.87143794601978,0.1,7
"sigma_E",0.00312305740104492,0.235456383426493,2.0893885435159e-67,4.66810615980925e+61,0.1,7
"range",1.18142559983156,0.320027872679814,0.694753144462603,2.00901062350284,0.1,7
"sigma_O",6.61721696610205,1.35037810340424,4.43578345208765,9.87143778532759,0.1,7
"sigma_E",0.00312476656243479,0.235987073622405,1.62478522868071e-67,6.00951184030577e+61,0.1,7
"range",1.21183320553402,0.338116899942388,0.701369338081253,2.09381796194908,0.1,8
"sigma_O",5.93066407675834,1.21015672858141,3.97571251286932,8.84691140958962,0.1,8
"sigma_E",0.00144520173404396,0.261688739507421,1.06978104816842e-157,1.95236965139693e+151,0.1,8
"range",1.11105942625156,0.286826251440859,0.669876609599246,1.84280661687973,0.1,9
"sigma_O",5.85682459950093,1.12612909982797,4.01787347770066,8.53745011626142,0.1,9
"sigma_E",0.000673677503640587,0.193176141507931,5.59145434903518e-248,8.11669649041676e+240,0.1,9
"range",0.822396082697218,0.17431359256475,0.542827557122607,1.24594875105607,0.2,1
"sigma_O",5.49625859606016,0.784683165840633,4.15473999501403,7.27093839590874,0.2,1
"sigma_E",0.000437093981329243,0.547113236176188,0,Inf,0.2,1
"range",0.892853616737032,0.177031513766773,0.605351131084646,1.31690111735982,0.2,1
"sigma_O",5.25429934416493,0.739923598150309,3.98700222007558,6.92441590804247,0.2,1
"sigma_E",0.000164469714815569,0.22206766774029,0,Inf,0.2,1
"range",0.921596635972497,0.194493976334813,0.609400914807821,1.39373003682423,0.2,2
"sigma_O",6.08705847801845,0.941486926969005,4.49522990906285,8.24257750201275,0.2,2
"sigma_E",0.000473754200355065,0.142913566595797,7.95287743763748e-261,2.8221614643762e+253,0.2,2
"range",1.0954086625553,0.237074362240737,0.716728139276129,1.67416356669499,0.2,3
"sigma_O",6.18047273590476,1.03439379391758,4.45205468228582,8.57991331311544,0.2,3
