"term","estimate","std.error","conf.low","conf.high","effort","replicate"
"factor(Year)2003",-1.9375088067328,0.855744753553344,-3.61473770365646,-0.260279909809146,0.1,10
"factor(Year)2004",-2.50482844727086,0.902762360904967,-4.27421016124294,-0.73544673329877,0.1,10
"factor(Year)2005",-2.53085472828623,0.835765261855959,-4.1689245410536,-0.892784915518867,0.1,10
"factor(Year)2006",-1.60393624862729,0.806726579430032,-3.18509128968134,-0.0227812075732348,0.1,10
"factor(Year)2007",-2.75318612524718,0.913986359371779,-4.54456647197674,-0.961805778517607,0.1,10
"factor(Year)2008",-3.3455819539011,0.915848493534615,-5.14061201652421,-1.55055189127799,0.1,10
"factor(Year)2009",-3.08651821215646,0.860566360251233,-4.7731972845556,-1.39983913975732,0.1,10
"factor(Year)2010",-2.93738097193428,0.926449367847064,-4.75318836641443,-1.12157357745414,0.1,10
"factor(Year)2011",-2.8801554204134,0.941498946574394,-4.72545944718161,-1.03485139364519,0.1,10
"factor(Year)2012",-2.1219462569831,0.805708953914646,-3.70110678867724,-0.542785725288948,0.1,10
"factor(Year)2013",-1.49320654573055,0.798369310746845,-3.05798164115643,0.071568549695334,0.1,10
"factor(Year)2014",-1.53841871974178,0.777019796701373,-3.06134953655111,-0.0154879029324593,0.1,10
"factor(Year)2015",-2.15813609031911,0.779044469148874,-3.68503519220603,-0.631236988432194,0.1,10
"factor(Year)2016",-2.14858606862672,0.86970901012834,-3.85318440550824,-0.443987731745189,0.1,10
"factor(Year)2017",-2.21697030101478,0.776386092706434,-3.73865908081717,-0.695281521212398,0.1,10
"factor(Year)2018",-0.695404382517447,0.754828225679938,-2.1748405193644,0.784031754329504,0.1,10
"factor(Year)2019",-1.4515317797335,0.814699042091016,-3.04831256047117,0.145249001004177,0.1,10
"factor(Year)2021",-1.38447512045771,0.760744590334971,-2.87550711894793,0.106556878032512,0.1,10
"factor(Year)2022",-3.57677416364215,1.01062320797522,-5.5575592532139,-1.59598907407039,0.1,10
"factor(Year)2023",-1.4466200754018,0.749303772349531,-2.91522848268688,0.021988331883277,0.1,10
"Pass",0.032990986348846,0.237186764861316,-0.431886530388904,0.497868503086596,0.1,10
"factor(Year)2003",-2.32373997895148,0.796599380192348,-3.88504607423541,-0.76243388366755,0.1,4
"factor(Year)2004",-3.86804406468066,1.00808976507232,-5.84386369740584,-1.89222443195548,0.1,4
"factor(Year)2005",-2.54406696914061,0.802933180927117,-4.11778708574994,-0.970346852531278,0.1,4
"factor(Year)2006",-4.75624048830368,1.23881707932389,-7.18427734721161,-2.32820362939575,0.1,4
"factor(Year)2007",-3.59475798312682,0.894620662442587,-5.34818226133965,-1.84133370491398,0.1,4
"factor(Year)2008",-3.83275424115684,1.00335609273045,-5.79929604657736,-1.86621243573632,0.1,4
"factor(Year)2009",-5.00587971858781,1.20562202077455,-7.36885545827432,-2.6429039789013,0.1,4
"factor(Year)2010",-3.25332566962695,0.815577444662967,-4.85182808776957,-1.65482325148432,0.1,4
"factor(Year)2011",-3.12626080948612,0.844328098962549,-4.78111347458788,-1.47140814438435,0.1,4
"factor(Year)2012",-2.74539791047053,0.775268420348051,-4.26489609270397,-1.22589972823709,0.1,4
"factor(Year)2013",-1.87520146863495,0.707003960556288,-3.26090376825245,-0.489499169017452,0.1,4
"factor(Year)2014",-2.26569882039254,0.750987200399291,-3.73760668602571,-0.793790954759362,0.1,4
"factor(Year)2015",-3.03139978194096,0.807942902979468,-4.61493877334546,-1.44786079053647,0.1,4
"factor(Year)2016",-2.80123210979792,0.82103924818767,-4.4104394661396,-1.19202475345625,0.1,4
"factor(Year)2017",-2.67810775987132,0.8465342072695,-4.3372843178007,-1.01893120194193,0.1,4
"factor(Year)2018",-2.14118327741721,0.757866639698092,-3.62657459630987,-0.655791958524559,0.1,4
"factor(Year)2019",-2.51699835931413,0.880285912026895,-4.24232704298484,-0.791669675643425,0.1,4
"factor(Year)2021",-2.38570015271469,0.74171367010647,-3.8394322329644,-0.93196807246499,0.1,4
"factor(Year)2022",-4.57651588437382,1.21833260528903,-6.96440391193118,-2.18862785681646,0.1,4
"factor(Year)2023",-3.19322636982249,0.815278644021672,-4.79114314946962,-1.59530959017536,0.1,4
"Pass",0.224775333126128,0.252919188434975,-0.270937167205523,0.720487833457779,0.1,4
"factor(Year)2003",-2.93836018507587,0.884887308207145,-4.67270743953847,-1.20401293061327,0.1,5
"factor(Year)2004",-3.69787353970461,1.18504721132982,-6.02052339389067,-1.37522368551854,0.1,5
"factor(Year)2005",-2.29117588405536,0.7278236893761,-3.71768410232758,-0.864667665783136,0.1,5
"factor(Year)2006",-2.67971701009576,0.780783569361321,-4.21002468576458,-1.14940933442694,0.1,5
"factor(Year)2007",-2.85113556957148,0.747519660711379,-4.31624718230138,-1.38602395684157,0.1,5
"factor(Year)2008",-3.45806814466536,0.866978822437455,-5.15731541200172,-1.758820877329,0.1,5
"factor(Year)2009",-2.88638467511807,0.805438942583601,-4.46501599432795,-1.30775335590818,0.1,5
"factor(Year)2010",-2.76398782072384,0.784942648170666,-4.30244714106784,-1.22552850037984,0.1,5
"factor(Year)2011",-4.1420332949455,0.948165186471023,-6.00040291182341,-2.28366367806759,0.1,5
"factor(Year)2012",-2.80692804537236,0.746243304016057,-4.26953804494801,-1.34431804579671,0.1,5
"factor(Year)2013",-2.98251462034387,0.949043158078006,-4.84260502995091,-1.12242421073682,0.1,5
"factor(Year)2014",-1.74378609458773,0.669923994147167,-3.0568129954954,-0.430759193680062,0.1,5
"factor(Year)2015",-2.9288508058948,0.82618027886249,-4.54813439720254,-1.30956721458707,0.1,5
"factor(Year)2016",-1.59033213142068,0.645376938318354,-2.85524768697738,-0.325416575863978,0.1,5
"factor(Year)2017",-2.56140818147859,0.703728847017203,-3.9406913765142,-1.18212498644298,0.1,5
"factor(Year)2018",-1.1787619573365,0.645440991177424,-2.44380305419009,0.0862791395170865,0.1,5
"factor(Year)2019",-1.42889734103763,0.735433139965798,-2.8703198084078,0.0125251263325361,0.1,5
"factor(Year)2021",-1.26589278936493,0.656701374423217,-2.55300383183239,0.0212182531025267,0.1,5
"factor(Year)2022",-2.98958840883555,0.794288673934072,-4.54636560307441,-1.43281121459669,0.1,5
"factor(Year)2023",-2.99339507393881,0.782689760604465,-4.52743881579184,-1.45935133208578,0.1,5
"Pass",-0.189750737775288,0.235626530137303,-0.651570250646542,0.272068775095967,0.1,5
"factor(Year)2003",-1.97362674169576,0.894456824830873,-3.72672990409032,-0.220523579301196,0.1,6
"factor(Year)2004",-1.84371578992589,0.913223431376509,-3.63360082526193,-0.0538307545898464,0.1,6
"factor(Year)2005",-2.49691606454681,0.937509123577694,-4.3344001819368,-0.65943194715682,0.1,6
"factor(Year)2006",-1.25925840845211,0.811901992183728,-2.85055707210854,0.332040255204314,0.1,6
"factor(Year)2007",-2.19412883862583,0.908040960543126,-3.97385641777751,-0.414401259474146,0.1,6
"factor(Year)2008",-2.87873650136198,1.01246829720705,-4.86313789937639,-0.894335103347572,0.1,6
"factor(Year)2009",-2.72851583766891,0.927858761542138,-4.54708559303144,-0.909946082306385,0.1,6
"factor(Year)2010",-2.53386300178345,0.905856491494555,-4.30930910027459,-0.758416903292309,0.1,6
