"term","estimate","std.error","conf.low","conf.high","effort","replicate"
"range",1.49858118478717,0.805415494752784,0.522637155078645,4.29694970128975,0.1,10
"sigma_O",1.84969715770227,0.665397248606723,0.913892850063022,3.74374257876722,0.1,10
"sigma_E",5.79553012864389e-07,0.000161646346639518,2.23742046445577e-244,1.5012006015683e+231,0.1,10
"range",0.152232058525295,NA,NA,NA,0.1,4
"sigma_O",16.3923137758035,NA,NA,NA,0.1,4
"sigma_E",4.71938908629981e-22,3.07810624697506e-20,1.43332419078274e-77,1.55391456385888e+34,0.1,4
"range",0.199073977248515,0.0616326454040528,0.10851388409502,0.36521085525646,0.1,5
"sigma_O",10.0119917816294,1.01457134592943,8.2084933835139,12.2117390795172,0.1,5
"sigma_E",4.53365898675942e-06,NA,NA,NA,0.1,5
"range",0.715814538723056,0.287368600029442,0.325896640847971,1.57224834387393,0.1,6
"sigma_O",7.4153923663664,2.47078593733248,3.85936983824437,14.2479332771537,0.1,6
"sigma_E",9.44434458198039e-27,5.88147118981149e-27,2.786670103136e-27,3.2007966957698e-26,0.1,6
"range",3.83731176003853,2.39876712596016,1.12700775460681,13.065537023627,0.1,7
"sigma_O",1.3137886947046,0.536825491150088,0.589816834572096,2.92640127097395,0.1,7
"sigma_E",0.000786240833883763,NA,NA,NA,0.1,7
"range",0.600130640545561,3.56169320258154,5.32698113604623e-06,67609.9232423675,0.1,8
"sigma_O",3.16047392055453,18.1281252010726,4.14338498043565e-05,241073.312030375,0.1,8
"sigma_E",0.00221728949199187,0.526024770566922,2.5626148648355e-205,1.91849846762402e+199,0.1,8
"range",1.07586021292214,0.501030414979925,0.431866440875042,2.68016934912473,0.2,1
"sigma_O",1.69346874223137,0.328658501789493,1.15765985019397,2.47727031427597,0.2,1
"sigma_E",0.152137085618525,0.867948439755814,2.11882295445462e-06,10923.8446618851,0.2,1
"range",0.748626523536468,0.24083046558176,0.398507710461292,1.40635088614361,0.2,10
"sigma_O",2.05128983658945,0.330855399545717,1.49532482638621,2.81396384213338,0.2,10
"sigma_E",0.338130879698252,0.434068960980582,0.0273131227654465,4.18599120969624,0.2,10
"range",0.487844055601578,0.127586298538642,0.292190105660555,0.814510204059671,0.2,2
"sigma_O",2.08911892789073,0.317250979097388,1.5513177639555,2.81336164406642,0.2,2
"sigma_E",0.000140937051064953,0.430014880389889,0,Inf,0.2,2
"range",0.703396929073135,0.665688830276027,0.110060280802637,4.49542047522799,0.2,3
"sigma_O",2.35364638134802,2.0437121625429,0.429168741440574,12.9078629301796,0.2,3
"sigma_E",0.874193792207697,0.828728118872043,0.136356564782073,5.60453240777849,0.2,3
"range",0.808868711612909,NA,NA,NA,0.2,4
"sigma_O",2.13647061764101,NA,NA,NA,0.2,4
"sigma_E",2.77591507288885e-152,NA,NA,NA,0.2,4
"range",0.5838293722348,0.372926388130778,0.166944884403837,2.04173213873121,0.2,5
"sigma_O",2.06481684402048,0.649981154710163,1.11412224987832,3.82675114855334,0.2,5
"sigma_E",0.292572655100305,0.69502335859705,0.00278070527064009,30.783110823082,0.2,5
"range",0.15580142238838,1.54913531297298,5.3587661204521e-10,45297896.3302739,0.2,6
"sigma_O",14.8527563447763,147.567224031889,5.18594653216537e-08,4253888266.472,0.2,6
"sigma_E",0.843102512695102,13.5130000734123,1.91898430077833e-14,37041566552914.8,0.2,6
"range",0.776785607074021,0.406897070658706,0.278242473519362,2.16859730912135,0.2,7
"sigma_O",1.66042542822437,0.312858306207674,1.14771879955121,2.40216732859317,0.2,7
"sigma_E",0.211621867112761,0.697447668471974,0.000331309256301236,135.172241006066,0.2,7
"range",1.24271186319979,0.576189141664905,0.50084908576844,3.08342935790342,0.2,8
"sigma_O",1.76398030385283,0.393876360507586,1.13875498432585,2.73248113528375,0.2,8
"sigma_E",0.000586841028615248,NA,NA,NA,0.2,8
"range",0.811218743995155,1.70466701850799,0.0131963093145611,49.8681741176634,0.2,9
"sigma_O",2.4752567910889,5.0940514659175,0.0438386097684796,139.76027556962,0.2,9
"sigma_E",0.602539950480312,1.343402853243,0.00762386946468467,47.6207513266799,0.2,9
"range",1.15511213420912,0.410174416903499,0.57592618849439,2.31676223316963,0.3,1
"sigma_O",1.5941903143079,0.26643518078058,1.1488936740597,2.2120782937665,0.3,1
"sigma_E",0.631590605455277,0.185166708413204,0.355536727176679,1.12198448826113,0.3,1
"range",0.55516867052265,0.232597054838517,0.244230584665439,1.26197238217357,0.3,10
"sigma_O",2.43038054740018,0.713623351740909,1.36690780852598,4.32124944223621,0.3,10
"sigma_E",0.785936292359448,0.316501587900426,0.356946411784293,1.73050025229276,0.3,10
"range",0.60835765831388,0.152283160742019,0.372466748811097,0.993643168445219,0.3,2
"sigma_O",1.91113708052911,0.256315790632986,1.46937051964546,2.48572085239236,0.3,2
"sigma_E",0.000439348477647321,0.960972306083212,0,Inf,0.3,2
"range",0.472665274725193,0.19584383677997,0.20982990194862,1.06473128880243,0.3,3
"sigma_O",2.17485640319592,0.490246952920639,1.39815824342691,3.38302219849522,0.3,3
"sigma_E",0.793435165525388,0.287265972247088,0.390239254902063,1.61321382711817,0.3,3
"range",0.471282630415227,0.24566211836633,0.16966087681013,1.30912513189272,0.3,4
"sigma_O",2.5111315149732,1.04427523432592,1.11145046705041,5.67347054360961,0.3,4
"sigma_E",0.510806178354949,0.434854015272973,0.0962986967593248,2.70951695740703,0.3,4
"range",1.11626966477066,0.510090875701726,0.455830986804598,2.73359644376558,0.3,5
"sigma_O",1.70466358705357,0.285942885007233,1.22703466395869,2.36821177948741,0.3,5
"sigma_E",0.361108634526522,0.258045397572693,0.0889971147802374,1.46520981327999,0.3,5
"range",0.916387645985143,0.343419670620037,0.439630980236226,1.91016182995785,0.3,6
"sigma_O",1.81442138770083,0.26855107488861,1.35753954434321,2.42506745815566,0.3,6
"sigma_E",0.451020709050619,0.224052054404116,0.170352271850837,1.19411192925352,0.3,6
"range",0.463888698748848,0.196277241103309,0.202422849184522,1.06308514920041,0.3,7
"sigma_O",2.30120710226665,0.637994877998723,1.33648949351242,3.96228638775547,0.3,7
"sigma_E",0.311180411699671,0.533587939041859,0.010800357369483,8.96574486499716,0.3,7
"range",0.885138403244201,0.370496148694836,0.389690780370464,2.01049147776316,0.3,8
"sigma_O",2.12639598543478,0.592637567058348,1.23143039198672,3.67179494374696,0.3,8
"sigma_E",0.537859160006082,0.334746022229298,0.158821192953029,1.82149794132327,0.3,8
"range",0.829270125270679,0.295564207223904,0.412396650503883,1.66754249780206,0.3,9
"sigma_O",1.96313274075495,0.51996338077457,1.16814549391938,3.29915252670574,0.3,9
"sigma_E",0.897642461151779,0.282139412686524,0.484798082070701,1.66205688071413,0.3,9
"range",0.917926365688264,0.253218066151825,0.534559937670896,1.57622888182917,0.4,1
"sigma_O",1.80583876783962,0.245217292883604,1.38386320265892,2.35648556097655,0.4,1
"sigma_E",0.689310626728045,0.157713271358462,0.44021141065404,1.07936579702526,0.4,1
"range",0.340039478351463,0.764562667073528,0.00414613055834655,27.8878933526991,0.4,10
"sigma_O",4.46385835135012,9.6657980351082,0.0640566921562997,311.068691032286,0.4,10
"sigma_E",1.39282441119257,3.04665585370454,0.0191418171853292,101.346691467765,0.4,10
"range",0.533333359291933,0.146109475450921,0.311750827432063,0.912409678192768,0.4,2
"sigma_O",2.2157671940795,0.386039802895056,1.57479634575387,3.11762487358876,0.4,2
"sigma_E",0.439909408412682,0.251650727436778,0.143361436061811,1.34987687711609,0.4,2
"range",0.537739459507867,0.195342906227487,0.263850926874755,1.0959359883131,0.4,3
"sigma_O",1.98982216487131,0.322383333938319,1.44845785756099,2.73352257170964,0.4,3
"sigma_E",0.519839532147853,0.245999729978825,0.205618238799598,1.31424693043439,0.4,3
"range",0.570120490567324,0.14188197156704,0.350053131537996,0.928537254720847,0.4,4
"sigma_O",2.10892792350349,0.289108529945686,1.61202693170237,2.75899670102651,0.4,4
"sigma_E",0.385015779997583,0.282761209391223,0.0912732868390981,1.62410225358125,0.4,4
"range",0.591877449841429,0.181077850859759,0.324950214321109,1.07806950170101,0.4,5
"sigma_O",1.90858320064258,0.282137308911994,1.42850506290951,2.55000134641162,0.4,5
"sigma_E",0.706199487274235,0.186652144665293,0.420678645144451,1.18550756398663,0.4,5
"range",0.361081643396296,0.155732206130767,0.155055659481311,0.840859041417218,0.4,6
"sigma_O",2.40576485304496,0.646027348411501,1.4212727785111,4.07219825472878,0.4,6
"sigma_E",0.730056840316891,0.350362702583503,0.285006805871434,1.87007109694745,0.4,6
"range",0.357792805923577,0.899812210113388,0.00258789723027702,49.4670694311006,0.4,7
"sigma_O",3.52083842004495,8.65485620288704,0.0284602751598626,435.565120520939,0.4,7
"sigma_E",1.10051360706757,2.74972169078289,0.00821863992489161,147.363823018058,0.4,7
"range",0.718410051684611,0.471894347695287,0.19826804388362,2.60310735029209,0.4,8
"sigma_O",2.52545180349831,1.55894832914614,0.753176527723246,8.46801058853019,0.4,8
"sigma_E",0.639630458100972,0.430898909090389,0.170805340465171,2.39528296841446,0.4,8
"range",0.535935703451432,0.141878894758956,0.318987081835221,0.900434828211488,0.4,9
"sigma_O",2.08455887582643,0.264316499208797,1.62586350579934,2.67266329017601,0.4,9
"sigma_E",0.801987937833979,0.167727470422368,0.532289439741871,1.20833630053436,0.4,9
"range",0.81499990787791,0.19616161851947,0.508490216080491,1.30626869276057,0.5,1
"sigma_O",1.96010773348034,0.257117768002827,1.51573508529741,2.53475845754114,0.5,1
"sigma_E",0.754398193060738,0.130890013740778,0.536926695488461,1.059952202927,0.5,1
"range",0.60735583442325,0.170310141393175,0.350554617684313,1.05227856373626,0.5,10
"sigma_O",2.61204222203877,0.423165699848493,1.90143156972404,3.58822514485939,0.5,10
"sigma_E",0.871773469583979,0.176403035426977,0.586358647345528,1.29611626896097,0.5,10
"range",0.499860941220498,0.116532482264257,0.316525537805834,0.789386418201474,0.5,2
"sigma_O",2.2062731822429,0.277066850435188,1.72490115928817,2.82198277186676,0.5,2
"sigma_E",0.577728061191087,0.185094926964147,0.30832728602772,1.08251759676439,0.5,2
"range",0.42006673231498,0.112881043685808,0.248074410628682,0.711302947976784,0.5,3
"sigma_O",2.50428318626106,0.464308373529161,1.74126881010992,3.60164624817114,0.5,3
"sigma_E",0.562454517931473,0.237519761345488,0.245828501713984,1.28689343398268,0.5,3
"range",0.446009580931027,0.104009534896955,0.282386412565555,0.704440927150101,0.5,4
"sigma_O",2.27760905303492,0.311683936839045,1.74178607311366,2.97826643497806,0.5,4
"sigma_E",0.630879273753974,0.211492539314493,0.327034883938423,1.21702202914623,0.5,4
"range",0.549574606858397,0.121620362801454,0.35616933649108,0.848001828229044,0.5,5
"sigma_O",2.15149202919594,0.258506690967791,1.70006657222971,2.72278628808202,0.5,5
"sigma_E",0.822089843726837,0.147576166771241,0.578252042024914,1.16874937231903,0.5,5
"range",0.550429689059573,0.167179091579052,0.30350854196702,0.998234977620961,0.5,6
"sigma_O",2.1977262753051,0.340729826286257,1.62183065005082,2.97811659991447,0.5,6
"sigma_E",0.615842519584248,0.207655697568886,0.318019211290157,1.19257577990105,0.5,6
"range",0.589526406167256,0.161230415430003,0.344910917984945,1.00762650715409,0.5,7
"sigma_O",2.16519813143493,0.356569332857227,1.56790592979129,2.99002820213414,0.5,7
"sigma_E",0.625151898031577,0.184324817934493,0.350760305062344,1.11419362445537,0.5,7
"range",0.724310349034424,0.184751026839984,0.439346649688095,1.19410374948987,0.5,8
"sigma_O",2.08371609807429,0.269979297074007,1.61641007380015,2.68612083514567,0.5,8
"sigma_E",0.546066249272439,0.15172907302422,0.316761119535833,0.941366633100111,0.5,8
"range",0.594193724430651,0.129650631398813,0.387435470108896,0.9112902906219,0.5,9
"sigma_O",2.10677232863937,0.235002607034771,1.69304789238782,2.62159721805663,0.5,9
"sigma_E",0.714640941434702,0.140468491312927,0.486157851962806,1.05050586576507,0.5,9
"range",0.587364593974928,0.158446742950439,0.346169414427671,0.996613657580704,0.6,1
"sigma_O",2.28882185335261,0.313399589481819,1.75008939003982,2.99339308391857,0.6,1
"sigma_E",0.665385234023448,0.137528349594515,0.443750107372231,0.997718090206697,0.6,1
"range",0.398618051345858,0.0952781137339525,0.249517986313015,0.636813214176221,0.6,10
"sigma_O",2.16129075805758,0.263846743032633,1.70137459135038,2.74553162167397,0.6,10
"sigma_E",0.694331745293974,0.169907683948039,0.429805763850085,1.12166148774852,0.6,10
"range",0.722592937732554,0.166616538278942,0.459856589116959,1.13544214874382,0.6,2
"sigma_O",2.17495806629151,0.277889593534161,1.69314730974868,2.79387538396094,0.6,2
"sigma_E",0.754079495010954,0.115711061922282,0.558216931590065,1.01866470294305,0.6,2
"range",0.638238646996578,0.144161457996846,0.409938661250789,0.993681760283688,0.6,3
"sigma_O",2.20347097366859,0.284733983836114,1.7104662318175,2.83857362483028,0.6,3
"sigma_E",0.803641673453484,0.134130531108317,0.579420710130222,1.11463040243413,0.6,3
"range",0.650716344432436,0.146212146580614,0.418920603267918,1.01076852656184,0.6,4
"sigma_O",2.16316377463579,0.268702886235344,1.69572427878809,2.75945657818897,0.6,4
"sigma_E",0.820721968561271,0.116933511134493,0.620754572553542,1.08510606197909,0.6,4
"range",0.577062616306113,0.135385902483655,0.364351627889257,0.913955743980566,0.6,5
"sigma_O",2.17412300945415,0.273463379640373,1.69910072732624,2.78194858269305,0.6,5
