"term","estimate","std.error","conf.low","conf.high","effort","replicate"
"factor(Year)2003",-3.22244307324407,0.73789622220143,-4.66869309308704,-1.7761930534011,0.1,1
"factor(Year)2004",-2.72137702067672,0.744516951934258,-4.18060343234741,-1.26215060900604,0.1,1
"factor(Year)2005",-3.64839989748796,0.730677195266068,-5.0805008845342,-2.21629891044173,0.1,1
"factor(Year)2006",-3.18815582250766,0.711461738042853,-4.58259520544992,-1.7937164395654,0.1,1
"factor(Year)2007",-2.565784133355,0.664141101024901,-3.86747677201658,-1.26409149469341,0.1,1
"factor(Year)2008",-3.8270657447443,0.743930949385524,-5.28514361252461,-2.36898787696398,0.1,1
"factor(Year)2009",-3.30929570571412,0.70639428356684,-4.6938030603901,-1.92478835103814,0.1,1
"factor(Year)2010",-3.86503601351794,0.721334870871345,-5.27882638121862,-2.45124564581725,0.1,1
"factor(Year)2011",-3.18877908083329,0.70149623319359,-4.56368643318324,-1.81387172848335,0.1,1
"factor(Year)2012",-3.71215415666606,0.714166483337705,-5.11189474297359,-2.31241357035853,0.1,1
"factor(Year)2013",-2.15007104162792,0.675625777651484,-3.47427323285169,-0.825868850404141,0.1,1
"factor(Year)2014",-3.56328619930022,0.715033565881809,-4.96472623616581,-2.16184616243463,0.1,1
"factor(Year)2015",-2.79756547103915,0.69091884863159,-4.15174153059695,-1.44338941148135,0.1,1
"factor(Year)2016",-3.24820895700216,0.69104426315228,-4.60263082450365,-1.89378708950067,0.1,1
"factor(Year)2017",-3.42539597782136,0.732492134766367,-4.8610541809223,-1.98973777472042,0.1,1
"factor(Year)2018",-3.77437953321771,0.749915061499527,-5.24418604522093,-2.3045730212145,0.1,1
"factor(Year)2019",-3.47694890627151,0.835071188694361,-5.11365836063951,-1.84023945190351,0.1,1
"factor(Year)2021",-2.6644885933532,0.674819647887563,-3.98711079927282,-1.34186638743358,0.1,1
"factor(Year)2022",-2.88304874506587,0.694631165875748,-4.24450081272141,-1.52159667741034,0.1,1
"factor(Year)2023",-3.20880161247745,0.711536797092293,-4.60338810845333,-1.81421511650157,0.1,1
"Pass",0.0559077356862975,0.209296991161766,-0.354306829063361,0.466122300435956,0.1,1
"factor(Year)2003",-4.10905513640347,0.870278538571636,-5.81476972852203,-2.40334054428491,0.1,10
"factor(Year)2004",-3.06587262515871,0.815787389587515,-4.66478652779218,-1.46695872252523,0.1,10
"factor(Year)2005",-3.19250192114101,0.781398196854413,-4.72401424456019,-1.66098959772182,0.1,10
"factor(Year)2006",-3.99628129240511,0.823823636687078,-5.61094594992459,-2.38161663488563,0.1,10
"factor(Year)2007",-3.56632954416581,0.80148150005812,-5.13720441855486,-1.99545466977676,0.1,10
"factor(Year)2008",-3.5142716329861,0.802456934626141,-5.08705832399775,-1.94148494197445,0.1,10
"factor(Year)2009",-3.18571699560163,0.782211662345632,-4.71882368208628,-1.65261030911699,0.1,10
"factor(Year)2010",-4.0287983067967,0.835598378051261,-5.66654103331725,-2.39105558027614,0.1,10
"factor(Year)2011",-3.32346036934734,0.795717283562123,-4.88303758700514,-1.76388315168953,0.1,10
"factor(Year)2012",-4.40536953270046,0.844983147751768,-6.06150606983721,-2.74923299556371,0.1,10
"factor(Year)2013",-3.6576181880298,0.828402879110515,-5.2812579957757,-2.0339783802839,0.1,10
"factor(Year)2014",-3.77409489270509,0.811967009148759,-5.36552098727136,-2.18266879813882,0.1,10
"factor(Year)2015",-3.74911239758297,0.80033195242969,-5.31773420002179,-2.18049059514415,0.1,10
"factor(Year)2016",-4.63711131437619,0.871291853862692,-6.34481196797021,-2.92941066078218,0.1,10
"factor(Year)2017",-3.48710573121097,0.787163552650835,-5.0299179443492,-1.94429351807273,0.1,10
"factor(Year)2018",-3.80434542789175,0.838713935562654,-5.4481945349264,-2.1604963208571,0.1,10
"factor(Year)2019",-3.90889525129206,0.93753559485767,-5.74643125143743,-2.0713592511467,0.1,10
"factor(Year)2021",-3.11059936289084,0.796374034838313,-4.67146378939678,-1.5497349363849,0.1,10
"factor(Year)2022",-3.92255517738116,0.841090448303009,-5.57106216379571,-2.27404819096662,0.1,10
"factor(Year)2023",-3.65257988301095,0.784024737057429,-5.18924013063199,-2.1159196353899,0.1,10
"Pass",0.280118051797829,0.203128395165204,-0.11800628696339,0.678242390559048,0.1,10
"factor(Year)2003",-4.05375434019703,0.834635403425291,-5.68960967113266,-2.4178990092614,0.1,2
"factor(Year)2004",-3.61367070584143,0.829798791940224,-5.24004645245912,-1.98729495922374,0.1,2
"factor(Year)2005",-3.83800666547821,0.81069137753479,-5.42693256802357,-2.24908076293286,0.1,2
"factor(Year)2006",-3.11992703571773,0.813195979072484,-4.71376186707258,-1.52609220436287,0.1,2
"factor(Year)2007",-4.20701168710337,0.828774954791247,-5.83138074978303,-2.58264262442372,0.1,2
"factor(Year)2008",-4.39842204971266,0.829180203578399,-6.02358538541992,-2.77325871400541,0.1,2
"factor(Year)2009",-4.24877414444395,0.838381962305146,-5.89197259585005,-2.60557569303785,0.1,2
"factor(Year)2010",-4.25654175159201,0.82353231292097,-5.87063542502208,-2.64244807816194,0.1,2
"factor(Year)2011",-3.89255556545121,0.818473185669977,-5.49673353167612,-2.28837759922629,0.1,2
"factor(Year)2012",-4.39665265352593,0.845764150244691,-6.05431992742064,-2.73898537963121,0.1,2
"factor(Year)2013",-4.5739983786738,0.84354156612617,-6.2273094677436,-2.920687289604,0.1,2
"factor(Year)2014",-4.30881011043099,0.8531454213612,-5.9809444098742,-2.63667581098779,0.1,2
"factor(Year)2015",-3.13329861264272,0.798790044024794,-4.69889833014048,-1.56769889514496,0.1,2
"factor(Year)2016",-4.10226694478565,0.822320363770811,-5.71398524153031,-2.49054864804099,0.1,2
"factor(Year)2017",-3.575402639537,0.795932071591404,-5.13540083399651,-2.0154044450775,0.1,2
"factor(Year)2018",-3.75386115414277,0.809475700745351,-5.34040437396398,-2.16731793432157,0.1,2
"factor(Year)2019",-4.18514955155407,0.911674220433717,-5.97199818923779,-2.39830091387036,0.1,2
"factor(Year)2021",-4.3897064310118,0.833792513116151,-6.02390972729859,-2.755503134725,0.1,2
"factor(Year)2022",-3.54696176837622,0.815129500047351,-5.14458623120517,-1.94933730554727,0.1,2
"factor(Year)2023",-3.63282375509867,0.808966608596931,-5.21836917264417,-2.04727833755318,0.1,2
"Pass",0.445338319827207,0.207911541285311,0.0378391869377853,0.852837452716628,0.1,2
"factor(Year)2003",-3.76158857436408,0.83639903222965,-5.40090055423835,-2.12227659448981,0.1,3
"factor(Year)2004",-2.83474597612861,0.838622250340175,-4.47841538342928,-1.19107656882793,0.1,3
"factor(Year)2005",-2.85133432480609,0.765585126916195,-4.35185360066135,-1.35081504895082,0.1,3
"factor(Year)2006",-4.18538650092694,0.883420239728004,-5.91685835400757,-2.45391464784631,0.1,3
"factor(Year)2007",-3.61073328710453,0.806424088300137,-5.19129545643834,-2.03017111777071,0.1,3
"factor(Year)2008",-3.8524097233595,0.825233155345906,-5.46983698668583,-2.23498246003318,0.1,3
"factor(Year)2009",-4.734696876369,0.90187285200151,-6.50233518492639,-2.96705856781162,0.1,3
"factor(Year)2010",-3.19897212855174,0.791949623671106,-4.75116486851716,-1.64677938858632,0.1,3
"factor(Year)2011",-4.12363033890954,0.846904633140873,-5.78353291820576,-2.46372775961332,0.1,3
"factor(Year)2012",-4.88347308114173,0.896166515982855,-6.63992717661886,-3.1270189856646,0.1,3
"factor(Year)2013",-2.89217367766297,0.81311627196825,-4.48585228596421,-1.29849506936172,0.1,3
"factor(Year)2014",-4.10650708561121,0.845667269874385,-5.76398447746932,-2.4490296937531,0.1,3
"factor(Year)2015",-2.93488404679405,0.788531408016464,-4.48037720718498,-1.38939088640312,0.1,3
"factor(Year)2016",-3.29269234400728,0.815319437882104,-4.89068907815165,-1.69469560986292,0.1,3
"factor(Year)2017",-4.36707661646817,0.870435380468669,-6.07309861305618,-2.66105461988016,0.1,3
"factor(Year)2018",-3.84736156852247,0.823283707413101,-5.46096798411076,-2.23375515293418,0.1,3
"factor(Year)2019",-2.13189500042763,0.835443519437408,-3.76933420964234,-0.494455791212927,0.1,3
"factor(Year)2021",-3.46482864319045,0.797698376646328,-5.02828873194332,-1.90136855443758,0.1,3
"factor(Year)2022",-4.02135669352413,0.867033538409666,-5.7207112021954,-2.32200218485286,0.1,3
"factor(Year)2023",-3.327589840481,0.804351398141222,-4.90408961175224,-1.75109006920977,0.1,3
"Pass",0.168445108858842,0.224984383972833,-0.27251618081184,0.609406398529524,0.1,3
"factor(Year)2003",-3.40290855838974,0.816462034174073,-5.00314474011524,-1.80267237666425,0.1,4
"factor(Year)2004",-2.97205330413627,0.82307267868148,-4.58524611101088,-1.35886049726166,0.1,4
"factor(Year)2005",-3.41670742803649,0.775371083984351,-4.9364068272996,-1.89700802877338,0.1,4
"factor(Year)2006",-1.84066551933859,0.740193661673076,-3.29141843780264,-0.389912600874534,0.1,4
"factor(Year)2007",-3.25990840362318,0.75020065795592,-4.73027467439503,-1.78954213285132,0.1,4
"factor(Year)2008",-3.4887596263109,0.808007241640867,-5.07242471917455,-1.90509453344725,0.1,4
"factor(Year)2009",-2.5952105149974,0.76894988234337,-4.10232459030671,-1.08809643968808,0.1,4
"factor(Year)2010",-3.53210301970102,0.775874525952253,-5.05278914708952,-2.01141689231251,0.1,4
"factor(Year)2011",-4.01459794175977,0.786396572681472,-5.55590690178119,-2.47328898173835,0.1,4
"factor(Year)2012",-3.65974883009824,0.8125127254555,-5.2522445089715,-2.06725315122498,0.1,4
"factor(Year)2013",-3.77046293895656,0.834987965842672,-5.40700927953255,-2.13391659838056,0.1,4
"factor(Year)2014",-3.60451654859543,0.765316817834847,-5.10450994831453,-2.10452314887633,0.1,4
"factor(Year)2015",-3.44818522869157,0.787757020076504,-4.99216061661012,-1.90420984077303,0.1,4
"factor(Year)2016",-3.38332849936809,0.765220010663026,-4.88313216051697,-1.8835248382192,0.1,4
"factor(Year)2017",-2.59133508294421,0.777762862458445,-4.11572228187554,-1.06694788401287,0.1,4
"factor(Year)2018",-3.21182610533485,0.788609882983459,-4.75747307383477,-1.66617913683492,0.1,4
"factor(Year)2019",-3.19650898008867,0.96041749826563,-5.07889268681136,-1.31412527336598,0.1,4
"factor(Year)2021",-2.95068494836004,0.756039792156532,-4.43249571186599,-1.46887418485409,0.1,4
"factor(Year)2022",-2.43409829013505,0.780870850443138,-3.96457703358076,-0.903619546689336,0.1,4
"factor(Year)2023",-2.51292397214672,0.736854370052235,-3.95713199930005,-1.06871594499339,0.1,4
"Pass",-0.0773530845546018,0.228086346610009,-0.524394109275539,0.369687940166335,0.1,4
"factor(Year)2003",-3.44404886416751,0.745437165738529,-4.90507886175264,-1.98301886658238,0.1,5
"factor(Year)2004",-4.11027362691275,0.795700514096547,-5.66981797702199,-2.55072927680352,0.1,5
"factor(Year)2005",-3.87460711806215,0.711602268095431,-5.26932193484621,-2.47989230127809,0.1,5
"factor(Year)2006",-4.60917922842939,0.795664058698378,-6.16865212727117,-3.0497063295876,0.1,5
"factor(Year)2007",-4.01573401604269,0.696348783181174,-5.38055255175609,-2.6509154803293,0.1,5
"factor(Year)2008",-3.14776701870003,0.683280824805523,-4.48697282664568,-1.80856121075438,0.1,5
"factor(Year)2009",-3.3046910357851,0.692824753056519,-4.66260259937373,-1.94677947219647,0.1,5
"factor(Year)2010",-4.10918534756382,0.702239641820933,-5.48554975404916,-2.73282094107848,0.1,5
"factor(Year)2011",-3.62070525858778,0.689721246503244,-4.97253406110621,-2.26887645606934,0.1,5
"factor(Year)2012",-3.55887297548344,0.687294651103888,-4.90594573841408,-2.2118002125528,0.1,5
"factor(Year)2013",-3.56605624364816,0.760489020903512,-5.05658733525717,-2.07552515203915,0.1,5
"factor(Year)2014",-3.13547223535144,0.675283816315168,-4.45900419467193,-1.81194027603095,0.1,5
"factor(Year)2015",-4.00691453832503,0.750567979312311,-5.47800074572616,-2.5358283309239,0.1,5
"factor(Year)2016",-3.0920252694824,0.653192167270436,-4.37225839231612,-1.81179214664869,0.1,5
"factor(Year)2017",-4.26866892438119,0.703297187618434,-5.64710608254163,-2.89023176622075,0.1,5
"factor(Year)2018",-3.54189895326437,0.682364909258818,-4.8793095997256,-2.20448830680315,0.1,5
"factor(Year)2019",-3.08868971822784,0.773218918377221,-4.60417095041221,-1.57320848604347,0.1,5
"factor(Year)2021",-3.86616816943399,0.727649986741711,-5.2923359367988,-2.44000040206919,0.1,5
"factor(Year)2022",-2.85437946155461,0.668884178479605,-4.16536836120329,-1.54339056190592,0.1,5
"factor(Year)2023",-3.02696925827406,0.666602163678928,-4.33348549110124,-1.72045302544689,0.1,5
"Pass",0.540522155345736,0.211170925527983,0.126634746728901,0.954409563962572,0.1,5
"factor(Year)2003",-3.027506611205,0.752528475231565,-4.50243531999971,-1.55257790241029,0.1,6
"factor(Year)2004",-2.61410719847184,0.787301113690813,-4.15718902629411,-1.07102537064958,0.1,6
"factor(Year)2005",-3.76236723826158,0.749190486358623,-5.23075360908453,-2.29398086743864,0.1,6
"factor(Year)2006",-2.90003136267808,0.730730896515229,-4.33223760223859,-1.46782512311757,0.1,6
"factor(Year)2007",-3.00077085164889,0.722369562438642,-4.41658917755658,-1.58495252574119,0.1,6
"factor(Year)2008",-2.23817636296342,0.701236808999135,-3.61257525323552,-0.863777472691324,0.1,6
"factor(Year)2009",-3.06570621418475,0.699916175187393,-4.43751670974907,-1.69389571862043,0.1,6
"factor(Year)2010",-3.39592610303906,0.744774161969871,-4.85565663711601,-1.93619556896211,0.1,6
"factor(Year)2011",-2.79036736293659,0.731823384795917,-4.22471484018078,-1.35601988569239,0.1,6
"factor(Year)2012",-3.21388964665785,0.736855975559181,-4.65810082054697,-1.76967847276873,0.1,6
"factor(Year)2013",-2.77724993961118,0.770971510409302,-4.28832633311986,-1.2661735461025,0.1,6
"factor(Year)2014",-3.4887797288561,0.748568291494827,-4.95594662015464,-2.02161283755756,0.1,6
"factor(Year)2015",-2.91914606210302,0.749162844677669,-4.38747825622682,-1.45081386797921,0.1,6
"factor(Year)2016",-2.51164366553271,0.722609014485826,-3.92793130882891,-1.09535602223651,0.1,6
"factor(Year)2017",-3.26770868974224,0.737174799559707,-4.7125447471898,-1.82287263229468,0.1,6
"factor(Year)2018",-3.24568114284998,0.738624405375318,-4.69335837548791,-1.79800391021204,0.1,6
"factor(Year)2019",-1.92103263033702,0.900186119104808,-3.68536500316533,-0.156700257508718,0.1,6
"factor(Year)2021",-2.6364102270065,0.694948899198034,-3.9984850405304,-1.2743354134826,0.1,6
"factor(Year)2022",-2.09768566964325,0.717215821049985,-3.50340284804354,-0.691968491242955,0.1,6
"factor(Year)2023",-2.36872392171205,0.714265461866263,-3.76865850237079,-0.968789341053304,0.1,6
"Pass",-0.00872462125503622,0.200994877006237,-0.402667341264319,0.385218098754247,0.1,6
"factor(Year)2003",-3.06455495859107,0.707793205440501,-4.45180414975662,-1.67730576742553,0.1,7
"factor(Year)2004",-2.56165067351545,0.731375438432955,-3.99512019202123,-1.12818115500966,0.1,7
"factor(Year)2005",-2.39288536458403,0.640871708050529,-3.64897083107374,-1.13679989809433,0.1,7
"factor(Year)2006",-2.33847906856793,0.651465072090538,-3.61532714705118,-1.06163099008469,0.1,7
"factor(Year)2007",-2.65804711391721,0.666380606940825,-3.96412910351717,-1.35196512431725,0.1,7
"factor(Year)2008",-2.9179565675333,0.692053331763909,-4.27435617317151,-1.56155696189509,0.1,7
"factor(Year)2009",-2.84866322008571,0.674562774605375,-4.17078196362366,-1.52654447654777,0.1,7
"factor(Year)2010",-2.99350688908274,0.649995154753222,-4.26747398252459,-1.71953979564088,0.1,7
"factor(Year)2011",-3.01938211353511,0.676897768460975,-4.34607736093415,-1.69268686613607,0.1,7
"factor(Year)2012",-3.09589382152498,0.681929441134027,-4.43245096614519,-1.75933667690476,0.1,7
"factor(Year)2013",-2.35880704829096,0.689942306083535,-3.7110691196252,-1.00654497695672,0.1,7
"factor(Year)2014",-2.95301758687041,0.648409131752498,-4.2238761323522,-1.68215904138863,0.1,7
"factor(Year)2015",-2.48164975819003,0.634941869140378,-3.72611295398172,-1.23718656239835,0.1,7
"factor(Year)2016",-3.35263468228142,0.677214715131515,-4.67995113373974,-2.0253182308231,0.1,7
