"term","estimate","std.error","conf.low","conf.high","effort","replicate"
"range",5.70019071617277,3.04538164804163,2.00044578145809,16.2424668051034,0.1,1
"sigma_O",1.02953606325234,0.392167302645766,0.487983151560224,2.17209242193748,0.1,1
"sigma_E",4.9364127095576e-05,NA,NA,NA,0.1,1
"range",1.62946972687412,1.14006254356783,0.413524286918359,6.42083590926645,0.1,10
"sigma_O",1.4237667194529,0.370166128301677,0.855331248424139,2.36997265697521,0.1,10
"sigma_E",0.0507729510082153,2.59113984029528,1.84301649518494e-45,1.3987354756822e+42,0.1,10
"range",5.50348464412372,2.30475594754032,2.4219799775041,12.5056125605623,0.1,2
"sigma_O",2.00428496728729,0.669369556440608,1.04156007521108,3.85686656555043,0.1,2
"sigma_E",3.51686528369219e-05,0.03094390858199,0,Inf,0.1,2
"range",6.27421757366356,3.0569199106711,2.41455861454699,16.3035206204983,0.1,3
"sigma_O",2.54535273378228,1.00071637518932,1.17786204462422,5.50049181815677,0.1,3
"sigma_E",0.000103936462593984,0.0809048721700286,0,Inf,0.1,3
"range",6.82366814878939,3.16571056825665,2.74864841573461,16.9401247312157,0.1,4
"sigma_O",2.4150708547006,1.00061796383248,1.07215606498778,5.44003566616094,0.1,4
"sigma_E",4.90436287226454e-05,0.119785442789649,0,Inf,0.1,4
"range",9.39338706810624,5.40973254376321,3.03814093257628,29.0426687140032,0.1,5
"sigma_O",0.861090272682751,0.41054131184321,0.338237700377937,2.1921756707793,0.1,5
"sigma_E",3.61719041332348e-07,0.000464768762636615,0,Inf,0.1,5
"range",4.55062748207103,2.5094092413661,1.54412554272015,13.4109629739693,0.1,6
"sigma_O",1.67432513653955,0.638381445456639,0.793042273451655,3.53494984655325,0.1,6
"sigma_E",5.93732186783295e-05,0.104452088804302,0,Inf,0.1,6
"range",5.36665398754661,2.89810554348486,1.86224550979061,15.4657239717487,0.1,7
"sigma_O",2.12642740656443,0.883529939079112,0.941838803711992,4.80092081316607,0.1,7
"sigma_E",4.41023617894477e-05,0.0316876838735161,0,Inf,0.1,7
"range",6.52889298477152,3.16144204869312,2.5273648285234,16.865963760168,0.1,8
"sigma_O",1.50007576420924,0.6083414537972,0.677511244262241,3.32131358324283,0.1,8
"sigma_E",3.29085350157349e-05,NA,NA,NA,0.1,8
"range",15.62359194706,10.4752701114364,4.19825900635482,58.1423454243185,0.1,9
"sigma_O",0.564040441617764,0.239624833623591,0.245295149747648,1.29697476736762,0.1,9
"sigma_E",1.71683903665718e-05,0.00442076826277045,1.13476581996181e-224,2.59748419095755e+214,0.1,9
"range",5.27299352915179,2.61770557690907,1.9929199963269,13.9516191366047,0.2,1
"sigma_O",1.64798377703789,0.551218121016705,0.855544843238017,3.17441049507267,0.2,1
"sigma_E",2.55774492766853e-08,3.62629793374329e-05,0,Inf,0.2,1
"range",5.01341634263877,2.54937895534641,1.85049601086455,13.5824899254415,0.2,10
"sigma_O",1.71475564044342,0.556796446918546,0.907422427343054,3.24037275014461,0.2,10
"sigma_E",4.55731193247131e-05,0.269181241373649,0,Inf,0.2,10
"range",5.35504034556014,2.29474617422718,2.31209237118904,12.4028163666443,0.2,2
"sigma_O",2.82435818951714,0.924705309191257,1.48673389513464,5.3654518867145,0.2,2
"sigma_E",3.91595346305696e-05,NA,NA,NA,0.2,2
"range",3.40048234481172,1.78601417337081,1.21470057391449,9.51944901130031,0.2,3
"sigma_O",2.44573930470932,0.742671246151639,1.34876094350948,4.43491544990603,0.2,3
"sigma_E",3.96603721666489e-05,NA,NA,NA,0.2,3
"range",6.18608595974471,2.81184270876673,2.53809667183892,15.0773057330494,0.2,4
"sigma_O",2.10134022008762,0.702472657280667,1.09129427231315,4.04623283800285,0.2,4
"sigma_E",1.60063947354367e-05,NA,NA,NA,0.2,4
"range",6.88163900872522,3.20097374897635,2.76540052967824,17.1248088434837,0.2,5
"sigma_O",1.98086304650024,0.723281534425512,0.968392369868059,4.0518890184201,0.2,5
"sigma_E",8.16374485994231e-06,NA,NA,NA,0.2,5
"range",6.7576914094455,3.08802913433637,2.75949084151523,16.5488475258785,0.2,6
"sigma_O",2.20439079753319,0.761054767057048,1.120509554907,4.33672231260206,0.2,6
"sigma_E",4.25487100755869e-05,NA,NA,NA,0.2,6
"range",4.60300301386452,2.6203799690116,1.508247092978,14.0478551851947,0.2,7
"sigma_O",2.1206486188552,0.719703958251575,1.09040703485357,4.12428608850311,0.2,7
"sigma_E",4.33897906091694e-05,NA,NA,NA,0.2,7
"range",5.26362128014612,2.27580716186336,2.25556126937668,12.2832881362888,0.2,8
"sigma_O",2.68573347617885,0.903134189038953,1.38940400910523,5.19155282250335,0.2,8
"sigma_E",4.29189886360172e-05,0.0738402546674485,0,Inf,0.2,8
"range",6.04558674385005,3.19936612821257,2.14277583405387,17.056902778425,0.2,9
"sigma_O",1.22377512654626,0.507777263522484,0.542644210240639,2.75986646884003,0.2,9
"sigma_E",2.65774818477136e-05,NA,NA,NA,0.2,9
"range",3.77013494680294,2.16274289752582,1.22479669176067,11.6051240281128,0.3,1
"sigma_O",1.71266501671284,0.477316719273364,0.991845570443228,2.95733685452787,0.3,1
"sigma_E",4.09506674146368e-05,0.100614778584173,0,Inf,0.3,1
"range",3.80570746601577,1.96110645291652,1.38613511901116,10.4487716372271,0.3,10
"sigma_O",1.75754518787327,0.465225646507675,1.04614476862299,2.95271283675435,0.3,10
"sigma_E",4.5633897604027e-05,0.124591469965766,0,Inf,0.3,10
"range",6.29701726261062,2.78326842005103,2.64792443594894,14.9749085990839,0.3,2
"sigma_O",3.03266419744654,1.01703141565838,1.57168741068153,5.85170567122248,0.3,2
"sigma_E",1.14627802801161e-05,NA,NA,NA,0.3,2
"range",2.87979151408768,1.36841483113945,1.13471926580337,7.30859113310276,0.3,3
"sigma_O",2.30850334260813,0.642048692644046,1.33841710873588,3.98170917574887,0.3,3
"sigma_E",7.76902643955689e-05,0.105645238844109,0,Inf,0.3,3
"range",4.86983107496042,2.40932222496554,1.84665854485417,12.8422521666142,0.3,4
"sigma_O",2.15394612269542,0.633075349318117,1.21075038608402,3.83190784227647,0.3,4
"sigma_E",2.71661153870598e-05,0.188453325351019,0,Inf,0.3,4
"range",5.75327593790959,2.89545646334846,2.1455084136333,15.4276645141075,0.3,5
"sigma_O",1.95816122506517,0.630591242509576,1.04167926939279,3.68097503330739,0.3,5
"sigma_E",2.71520063931834e-05,NA,NA,NA,0.3,5
"range",5.50354045745797,2.80289525086539,2.0283092588808,14.9331061988002,0.3,6
"sigma_O",2.37718423326076,0.766586745906935,1.26348502215829,4.47255391220268,0.3,6
"sigma_E",3.71644751622513e-05,NA,NA,NA,0.3,6
"range",4.3873422120641,2.22293430239519,1.62526168719876,11.8434907051405,0.3,7
"sigma_O",2.61106529867081,0.855567608583313,1.37374009721444,4.96284705363644,0.3,7
"sigma_E",1.64206393995927e-05,0.0375486027580355,0,Inf,0.3,7
"range",4.43601608080634,1.92761629176404,1.89284014453427,10.3961439776069,0.3,8
"sigma_O",2.3380987252771,0.689340117432099,1.31190881758771,4.16698597940242,0.3,8
"sigma_E",3.65564888622377e-05,0.0846937838633451,0,Inf,0.3,8
"range",2.74465935557313,2.08720707739006,0.618276391709823,12.1841219867743,0.3,9
"sigma_O",1.81168680408113,0.527496216328352,1.02386972620688,3.2056901303658,0.3,9
"sigma_E",3.65060489372695e-05,0.10282628804927,0,Inf,0.3,9
"range",3.51790469940509,2.09735179713953,1.09346093372938,11.3178743678457,0.4,1
"sigma_O",2.01248099816311,0.582681598815523,1.14098525579895,3.54963374625872,0.4,1
"sigma_E",5.72787464057319e-05,0.0755938988087541,0,Inf,0.4,1
"range",2.03457920708024,0.987846972517935,0.785582257302037,5.26935596037998,0.4,10
"sigma_O",1.86442838452927,0.447700697766776,1.16452476711665,2.9849886401688,0.4,10
"sigma_E",8.22849276405396e-05,0.113530467440305,0,Inf,0.4,10
"range",4.53940887807265,2.31199715726013,1.67289261996942,12.3177260251775,0.4,2
"sigma_O",2.48321359271109,0.805885272234926,1.31453123436151,4.69091154765921,0.4,2
"sigma_E",4.0237616480138e-05,0.0533798962248042,0,Inf,0.4,2
"range",3.84940187028837,1.58632560288167,1.71638990395221,8.63317520387384,0.4,3
"sigma_O",2.60990803691808,0.738361583217493,1.49904345324982,4.54397765882135,0.4,3
"sigma_E",3.88771167439205e-05,0.0609454857406533,0,Inf,0.4,3
"range",2.14502885606445,1.61266824914366,0.491457208543459,9.36225720848756,0.4,4
"sigma_O",1.85761682921484,0.516226808146194,1.07748064441372,3.20260071684146,0.4,4
"sigma_E",6.58402197934398e-05,0.106170208897243,0,Inf,0.4,4
"range",0.868046061835307,0.481339350741909,0.292781652373135,2.57360377387134,0.4,5
"sigma_O",1.6438746373407,0.257571889030735,1.20919811266973,2.23480651762325,0.4,5
"sigma_E",6.38090413244986e-05,0.109307949112673,0,Inf,0.4,5
"range",4.55086030133225,2.51723449844289,1.53909415403911,13.4561809801505,0.4,6
"sigma_O",2.25730888769798,0.671507648638455,1.2600108187401,4.04396798717595,0.4,6
"sigma_E",5.03311785926392e-05,0.0525140293434233,0,Inf,0.4,6
"range",4.79204857284218,2.18210656556946,1.96299049278692,11.6983396551638,0.4,7
"sigma_O",2.6550291692665,0.803410298650484,1.46722324781001,4.8044357940604,0.4,7
"sigma_E",5.37896216429199e-05,0.0676845529605493,0,Inf,0.4,7
"range",3.93350019532599,1.66723046402938,1.71393304322133,9.02743770990566,0.4,8
"sigma_O",2.40522257932376,0.68258305269031,1.37908501368223,4.19487964751523,0.4,8
"sigma_E",3.93538421153688e-05,0.0798171399510497,0,Inf,0.4,8
"range",1.5023537648146,0.612948262270117,0.675287671079996,3.34237826531446,0.4,9
"sigma_O",1.66172506032397,0.314052590621095,1.147331626695,2.4067410954782,0.4,9
"sigma_E",7.7223393790649e-05,0.173493880251636,0,Inf,0.4,9
"range",2.05029341996923,1.01152359045282,0.779598566866117,5.39213806519354,0.5,1
"sigma_O",1.80545483270133,0.411702101070434,1.15474248161946,2.82285202528713,0.5,1
"sigma_E",8.56042523469044e-05,0.1013014197772,0,Inf,0.5,1
"range",1.976545893373,0.815779424296108,0.880218811398176,4.43836648117535,0.5,10
"sigma_O",1.88199988390834,0.408356364700327,1.2300587875328,2.87947502910431,0.5,10
"sigma_E",4.49043698316687e-05,0.0827210939725016,0,Inf,0.5,10
"range",2.66218991332244,1.02275256588418,1.25379588567119,5.65263869150578,0.5,2
"sigma_O",2.10947081057751,0.514611074531251,1.30773761520422,3.40272165374983,0.5,2
"sigma_E",4.99189351045807e-05,0.0808838472119434,0,Inf,0.5,2
"range",3.42882863709949,1.39319123035267,1.54628006521034,7.6033223780805,0.5,3
