"term","estimate","std.error","conf.low","conf.high","effort","replicate"
"factor(Year)2003",-3.22245074549496,0.737897912709652,-4.66870407867316,-1.77619741231676,0.1,1
"factor(Year)2004",-2.72136220723044,0.744518480845897,-4.18059161551287,-1.26213279894801,0.1,1
"factor(Year)2005",-3.64837348868113,0.730676747605805,-5.08047359832938,-2.21627337903289,0.1,1
"factor(Year)2006",-3.1881420827314,0.711461080780642,-4.5825801774634,-1.7937039879994,0.1,1
"factor(Year)2007",-2.5657728404957,0.664140227628206,-3.86746376733121,-1.26408191366018,0.1,1
"factor(Year)2008",-3.8270395028933,0.743931761820697,-5.28511896301729,-2.3689600427693,0.1,1
"factor(Year)2009",-3.3092549276947,0.706393161421229,-4.69376008300569,-1.9247497723837,0.1,1
"factor(Year)2010",-3.86502387775849,0.721334926771213,-5.2788143550209,-2.45123340049607,0.1,1
"factor(Year)2011",-3.18876372313179,0.701496175944433,-4.56367096327545,-1.81385648298813,0.1,1
"factor(Year)2012",-3.71214333445249,0.714166157022022,-5.11188328119303,-2.31240338771195,0.1,1
"factor(Year)2013",-2.15003845812356,0.675625356189458,-3.47423982329695,-0.825837092950181,0.1,1
"factor(Year)2014",-3.56326434724985,0.715032743116912,-4.96470277152588,-2.16182592297383,0.1,1
"factor(Year)2015",-2.79753432747186,0.690918305743017,-4.15170932298761,-1.44335933195612,0.1,1
"factor(Year)2016",-3.24820830945113,0.691044372666854,-4.60263039159724,-1.89378622730502,0.1,1
"factor(Year)2017",-3.42537637036995,0.732492514171543,-4.86103531709137,-1.98971742364853,0.1,1
"factor(Year)2018",-3.77436379993488,0.749916465773883,-5.24417306426525,-2.3045545356045,0.1,1
"factor(Year)2019",-3.47693983687696,0.835072953665854,-5.11365275052552,-1.8402269232284,0.1,1
"factor(Year)2021",-2.66445046129294,0.6748192995269,-3.98707198443821,-1.34182893814767,0.1,1
"factor(Year)2022",-2.88303137590495,0.694631650147325,-4.24448439271533,-1.52157835909457,0.1,1
"factor(Year)2023",-3.20877447921459,0.711536201065516,-4.60335980699946,-1.81418915142973,0.1,1
"Pass",0.0559117571953317,0.209299615333611,-0.354307950836633,0.466131465227296,0.1,1
"factor(Year)2003",-4.10905513646338,0.870278538497666,-5.81476972843696,-2.4033405444898,0.1,10
"factor(Year)2004",-3.06587262521397,0.815787389529027,-4.66478652773281,-1.46695872269513,0.1,10
"factor(Year)2005",-3.19250192120106,0.78139819680855,-4.72401424453035,-1.66098959787176,0.1,10
"factor(Year)2006",-3.99628129250226,0.823823636710889,-5.61094595006841,-2.38161663493611,0.1,10
"factor(Year)2007",-3.56632954425752,0.801481500029077,-5.13720441858964,-1.99545466992539,0.1,10
"factor(Year)2008",-3.51427163310915,0.802456934662772,-5.08705832419259,-1.9414849420257,0.1,10
"factor(Year)2009",-3.18571699569447,0.782211662317389,-4.71882368212376,-1.65261030926518,0.1,10
"factor(Year)2010",-4.02879830687593,0.8355983780049,-5.66654103330562,-2.39105558044624,0.1,10
"factor(Year)2011",-3.32346036943126,0.795717283516698,-4.88303758700004,-1.76388315186249,0.1,10
"factor(Year)2012",-4.40536953276237,0.844983147745653,-6.06150606988714,-2.7492329956376,0.1,10
"factor(Year)2013",-3.65761818811742,0.828402879051208,-5.28125799574708,-2.03397838048776,0.1,10
"factor(Year)2014",-3.77409489277756,0.811967009165824,-5.36552098737728,-2.18266879817784,0.1,10
"factor(Year)2015",-3.74911239763444,0.800331952408066,-5.31773420003087,-2.180490595238,0.1,10
"factor(Year)2016",-4.63711131448298,0.871291853840843,-6.34481196803417,-2.92941066093179,0.1,10
"factor(Year)2017",-3.48710573130868,0.787163552701849,-5.0299179445469,-1.94429351807046,0.1,10
"factor(Year)2018",-3.80434542800011,0.838713935571038,-5.44819453505119,-2.16049632094903,0.1,10
"factor(Year)2019",-3.90889525140133,0.93753559482838,-5.74643125148929,-2.07135925131337,0.1,10
"factor(Year)2021",-3.11059936297648,0.796374034811492,-4.67146378942985,-1.54973493652311,0.1,10
"factor(Year)2022",-3.92255517745729,0.8410904482496,-5.57106216376715,-2.27404819114742,0.1,10
"factor(Year)2023",-3.65257988312624,0.784024737068151,-5.1892401307683,-2.11591963548418,0.1,10
"Pass",0.280118051795611,0.203128395166194,-0.118006286967548,0.67824239055877,0.1,10
"factor(Year)2003",-4.05375434020718,0.834635404229406,-5.68960967271885,-2.41789900769552,0.1,2
"factor(Year)2004",-3.61367070579649,0.829798792882586,-5.24004645426117,-1.98729495733181,0.1,2
"factor(Year)2005",-3.838006665485,0.81069137853771,-5.42693256999604,-2.24908076097396,0.1,2
"factor(Year)2006",-3.11992703573737,0.81319597994978,-4.7137618688117,-1.52609220266305,0.1,2
"factor(Year)2007",-4.20701168711437,0.828774955590217,-5.83138075135998,-2.58264262286876,0.1,2
"factor(Year)2008",-4.39842204973469,0.82918020422263,-6.02358538670461,-2.77325871276477,0.1,2
"factor(Year)2009",-4.24877414445742,0.83838196333194,-5.891972597876,-2.60557569103884,0.1,2
"factor(Year)2010",-4.25654175162481,0.823532313710004,-5.87063542660136,-2.64244807664826,0.1,2
"factor(Year)2011",-3.89255556546839,0.818473186529143,-5.49673353337724,-2.28837759755953,0.1,2
"factor(Year)2012",-4.39665265356287,0.84576415093226,-6.0543199288052,-2.73898537832054,0.1,2
"factor(Year)2013",-4.57399837868505,0.843541566777226,-6.2273094690309,-2.9206872883392,0.1,2
"factor(Year)2014",-4.30881011049688,0.853145422450036,-5.98094441207416,-2.6366758089196,0.1,2
"factor(Year)2015",-3.1332986126034,0.798790044597893,-4.69889833122441,-1.56769889398239,0.1,2
"factor(Year)2016",-4.10226694484161,0.822320364521713,-5.71398524305801,-2.4905486466252,0.1,2
"factor(Year)2017",-3.57540263954174,0.795932072409223,-5.13540083560414,-2.01540444347934,0.1,2
"factor(Year)2018",-3.75386115412018,0.809475701598745,-5.34040437561401,-2.16731793262635,0.1,2
"factor(Year)2019",-4.18514955158774,0.911674221259803,-5.97199819089055,-2.39830091228492,0.1,2
"factor(Year)2021",-4.38970643104534,0.833792513844448,-6.02390972875957,-2.75550313333111,0.1,2
"factor(Year)2022",-3.5469617683309,0.815129500689239,-5.14458623241793,-1.94933730424388,0.1,2
"factor(Year)2023",-3.63282375519064,0.808966609437868,-5.21836917438435,-2.04727833599694,0.1,2
"Pass",0.445338319842099,0.207911541350126,0.0378391868256424,0.852837452858555,0.1,2
"factor(Year)2003",-3.76158857425771,0.836399031892318,-5.40090055347082,-2.1222765950446,0.1,3
"factor(Year)2004",-2.83474597606358,0.838622250087783,-4.47841538286958,-1.19107656925759,0.1,3
"factor(Year)2005",-2.85133432480098,0.765585126644733,-4.35185360012419,-1.35081504947776,0.1,3
"factor(Year)2006",-4.18538650084986,0.883420239451976,-5.91685835338948,-2.45391464831024,0.1,3
"factor(Year)2007",-3.61073328706198,0.806424087997151,-5.19129545580196,-2.03017111832201,0.1,3
"factor(Year)2008",-3.85240972336005,0.825233155176312,-5.46983698635398,-2.23498246036613,0.1,3
"factor(Year)2009",-4.73469687624974,0.901872851709335,-6.50233518423447,-2.96705856826501,0.1,3
"factor(Year)2010",-3.19897212856653,0.791949623519964,-4.75116486823572,-1.64677938889735,0.1,3
"factor(Year)2011",-4.12363033874014,0.846904632699152,-5.7835329171706,-2.46372776030968,0.1,3
"factor(Year)2012",-4.88347308097569,0.896166515461909,-6.63992717543179,-3.12701898651959,0.1,3
"factor(Year)2013",-2.89217367768132,0.81311627184976,-4.48585228575033,-1.29849506961231,0.1,3
"factor(Year)2014",-4.10650708550436,0.845667269529036,-5.7639844766856,-2.44902969432312,0.1,3
"factor(Year)2015",-2.93488404670508,0.788531407696558,-4.480377206469,-1.38939088694116,0.1,3
"factor(Year)2016",-3.29269234386719,0.815319437512549,-4.89068907728724,-1.69469561044714,0.1,3
"factor(Year)2017",-4.36707661657495,0.87043538049827,-6.07309861322098,-2.66105461992893,0.1,3
"factor(Year)2018",-3.84736156835645,0.823283706985566,-5.46096798310678,-2.23375515360611,0.1,3
"factor(Year)2019",-2.13189500045721,0.835443519308329,-3.76933420941892,-0.494455791495489,0.1,3
"factor(Year)2021",-3.46482864319533,0.797698376452392,-5.02828873156809,-1.90136855482257,0.1,3
