"Year","est","lwr","upr","log_est","se","effort","replicate"
2003,11926.6781137546,8305.28776129909,17127.1188810517,9.38653302818352,0.18463877929791,0.1,1
2004,10860.10674385,7666.39906303145,15384.2654834589,9.29285142252342,0.177681388259354,0.1,1
2005,11710.6570635965,8527.49940807057,16082.0285406731,9.36825456634094,0.161841301148583,0.1,1
2006,11754.9411446041,8528.03746867635,16202.8651750933,9.37202895412234,0.163734852605042,0.1,1
2007,21386.3801438079,15919.0230844616,28731.4901943889,9.9705095565167,0.15063514705951,0.1,1
2008,13058.2429261913,9641.45170857459,17685.8955967985,9.47717485520282,0.154772173954766,0.1,1
2009,15177.0809085237,10929.3877238596,21075.6348593084,9.62754173394166,0.167518982427798,0.1,1
2010,16152.0896124867,12071.5739896931,21611.9289060857,9.689804708051,0.148572116450644,0.1,1
2011,11853.0816752455,8647.96618458355,16246.0793903771,9.38034316973707,0.160851792743753,0.1,1
2012,13489.4126159129,10039.3153406271,18125.1655664184,9.50966040606797,0.150715120605371,0.1,1
2013,12410.5384799598,8827.9572387167,17447.0108086924,9.42630126806792,0.173790103907206,0.1,1
2014,15447.7015665613,11413.7836429259,20907.3074411603,9.64521550534078,0.154410240301908,0.1,1
2015,12049.4863620375,9029.3165309087,16079.8573282841,9.39677731245326,0.147219724391468,0.1,1
2016,16727.6271076705,12271.8371889904,22801.2728937037,9.72481694935298,0.158041012562326,0.1,1
2017,13723.562024018,9772.9499443668,19271.1674263335,9.52686949032556,0.17321535217309,0.1,1
2018,18276.0567010185,13661.9971701834,24448.4202696084,9.8133471051635,0.148458736638716,0.1,1
2019,3284.28700802945,2074.3698476197,5199.91223526914,8.0969048626212,0.23443908541047,0.1,1
2021,15827.2713998663,11677.9654410903,21450.8701219139,9.66948976908961,0.15512056444208,0.1,1
2022,19982.0424791895,14687.8384562609,27184.5324844198,9.90258927316346,0.157050926006767,0.1,1
2023,16226.9384331375,12177.0764888402,21623.7067373397,9.69442800643223,0.146491222180923,0.1,1
2003,15042.4618548701,10727.546277529,21092.9557236404,9.61863227126747,0.172483853357583,0.1,10
2004,9346.136627933,6449.99994628245,13542.6776117008,9.14271834202073,0.189229467217099,0.1,10
2005,11795.6331713495,8893.13391367486,15645.4364978234,9.37548467173625,0.144109731787914,0.1,10
2006,11695.3216541393,8605.55828445567,15894.4421817291,9.3669441822005,0.156523588699837,0.1,10
2007,15704.1664209613,11744.9182006978,20998.0894513677,9.66168133326141,0.148219764796968,0.1,10
2008,12351.0930790865,9103.83664987165,16756.6165909194,9.42149984656754,0.155639917593003,0.1,10
2009,12152.5222332284,9034.11329089424,16347.3483089886,9.40529201843684,0.151293066677752,0.1,10
2010,12551.2436741602,9571.45799718772,16458.6960329798,9.43757503719274,0.138285303038481,0.1,10
2011,9748.80558994996,7165.08959340942,13264.2040537858,9.18490005289284,0.157107074835899,0.1,10
2012,13084.9521136052,9755.11372112274,17551.4070578805,9.47921815531714,0.149835020907395,0.1,10
2013,9021.47687394841,6546.47132945942,12432.2006301227,9.10736333290755,0.163616209430784,0.1,10
2014,14022.2248976732,10463.9507891547,18790.4927156878,9.5483988425538,0.14934329102372,0.1,10
2015,12913.4809535791,9736.84911104611,17126.4839823048,9.46602707984182,0.144060930538717,0.1,10
2016,14486.3632409103,10789.9514698978,19449.0883979467,9.5809630197488,0.150305036991978,0.1,10
2017,15704.8301673837,11945.600441725,20647.0735221367,9.6617235979941,0.139597091810846,0.1,10
2018,14793.0771475107,11102.2284806017,19710.919467615,9.60191459001489,0.146438129022076,0.1,10
2019,7128.22387546397,4750.08440482167,10696.983735101,8.8718173765508,0.207095494328229,0.1,10
2021,15103.4949008058,11194.5163774428,20377.4375352493,9.622681446407,0.15281001107206,0.1,10
2022,14507.183474789,10834.9966426028,19423.9444010232,9.58239921778704,0.148912233074035,0.1,10
2023,19561.8480458271,14942.055343576,25609.9907388273,9.88133641999628,0.137452218356528,0.1,10
2003,16594.2813243308,11999.5285597118,22948.4159565721,9.71681341645709,0.165406496092048,0.1,2
2004,12537.2725872458,8639.68002318339,18193.1742269534,9.43646129350116,0.189973116689693,0.1,2
2005,15532.1964441373,11509.367488474,20961.1107318338,9.6506703384755,0.152938418180552,0.1,2
2006,13408.2387803688,9717.23801698162,18501.231201418,9.50362463136168,0.164272370032272,0.1,2
2007,12508.2364326139,9305.85154431429,16812.6450233093,9.43414262091059,0.150892538664452,0.1,2
2008,16542.4293364158,12142.3393147667,22537.0055354584,9.71368383423833,0.157773354937102,0.1,2
2009,13775.2484765719,10200.1222012977,18603.45070838,9.53062867208506,0.153305721296502,0.1,2
2010,10977.901483631,8280.97080504462,14553.1633695524,9.30363957508806,0.143841463322471,0.1,2
2011,9049.14847577459,6762.96556928752,12108.1628019053,9.1104259411925,0.148578839697496,0.1,2
2012,10818.8883228371,8136.53308484027,14385.530461383,9.28904880431588,0.145374787111344,0.1,2
2013,8365.25825489667,6041.88457728341,11582.0725761995,9.03184248621353,0.166008778942642,0.1,2
2014,12745.4627255577,9235.26540743584,17589.8377493068,9.45293062258958,0.16436321973782,0.1,2
2015,10880.2485592592,8155.67057021227,14515.0307006797,9.29470436566912,0.14706169509295,0.1,2
2016,14562.9190975413,11005.6435409705,19269.9874252725,9.58623378912425,0.142895646011095,0.1,2
2017,12272.5211908904,9236.4390586604,16306.5847589427,9.41511799262784,0.145005871421601,0.1,2
2018,11672.0122746012,8592.58856634305,15855.0440867229,9.36494914182999,0.156275231674733,0.1,2
2019,5442.63857140233,3720.52720086812,7961.85944078155,8.60201925376801,0.194084482612591,0.1,2
2021,15448.3417005314,11374.2231128834,20981.7636710556,9.64525694326632,0.156202870033813,0.1,2
2022,11319.7334244546,8409.93714491462,15236.304694405,9.33430280240344,0.151601522098846,0.1,2
2023,10899.5961313236,8220.03528172308,14452.6381888061,9.29648101535864,0.143957357054912,0.1,2
2003,16716.4212031847,11388.667058242,24536.5622169147,9.72414682085652,0.195806046265073,0.1,3
2004,13653.5195267626,9418.5456523473,19792.715600548,9.52175260816635,0.189450747458384,0.1,3
2005,19089.764842867,13473.8674570901,27046.3638533272,9.85690759830275,0.177758497868943,0.1,3
2006,12889.2556479708,9187.04041421153,18083.3983163669,9.46414934779344,0.172758393081372,0.1,3
2007,14370.0433565004,10249.3642101923,20147.4103010558,9.57290099622234,0.172416454852789,0.1,3
2008,15934.4371681303,11685.8479120382,21727.6734881628,9.67623790574635,0.158219283469885,0.1,3
2009,9770.97030498166,7154.24534859054,13344.784257314,9.18717105484257,0.159038555181827,0.1,3
2010,13404.7144922617,9747.29920109952,18434.4777883479,9.50336175184284,0.162562288772939,0.1,3
2011,10963.1277319761,8075.82647201703,14882.7083003931,9.30229289679485,0.15595307203427,0.1,3
2012,10034.3457005262,7187.7172083635,14008.3549086363,9.21376905736343,0.170227695535277,0.1,3
2013,6245.38685357468,4294.52889066079,9082.45303358566,8.73959836676995,0.191075565253864,0.1,3
2014,9856.68609603148,7067.79442500996,13746.0507413617,9.19590529536668,0.169697785411506,0.1,3
2015,15791.8410730798,11194.9768695805,22276.2625937214,9.66724869786121,0.175527835043174,0.1,3
2016,12102.2325561171,8586.55449182238,17057.3695167053,9.40114522333519,0.175101378605914,0.1,3
2017,17339.3391993867,12687.9385702366,23695.9441604375,9.76073314115318,0.159352947971395,0.1,3
2018,20079.0890637489,14894.5041455269,27068.3611680378,9.90743420742547,0.152393939471875,0.1,3
2019,9359.65390851239,6415.05145917641,13655.8719512404,9.14416359320174,0.192738895953418,0.1,3
2021,12733.7331468758,9220.80893120798,17585.0037741322,9.45200990440292,0.164692748271663,0.1,3
2022,16286.9577103715,11945.2225877646,22206.7851402901,9.6981199260436,0.15818312709561,0.1,3
2023,14181.075635267,10200.2360177173,19715.5149963058,9.55966365301084,0.168114066183521,0.1,3
2003,13674.9041424361,9639.58610834363,19399.4847084724,9.52331761757172,0.178413567017684,0.1,4
2004,12792.3239097271,8949.31395172856,18285.5972976306,9.45660057546644,0.182283155910925,0.1,4
2005,13356.3997607196,9682.00371471632,18425.2578107358,9.4997509317866,0.164149331391982,0.1,4
2006,13382.3858261705,9609.94393302963,18635.7227106143,9.50169463065412,0.168952575430411,0.1,4
2007,16678.1099190158,12115.5278354905,22958.9130781366,9.72185235528451,0.163068891442422,0.1,4
2008,9260.41571207926,6659.99866132042,12876.1736332726,9.13350421994565,0.168181487014174,0.1,4
2009,11998.9288978732,8717.68775561383,16515.1928736497,9.39257266627579,0.162994500254033,0.1,4
2010,9463.46423390514,6920.41959169207,12941.00077601,9.15519379309899,0.159677480890723,0.1,4
2011,10936.9252091759,8057.0379069195,14846.1921630502,9.29989997698103,0.155920576491453,0.1,4
2012,9339.88187040014,6567.64109634767,13282.302134558,9.14204888343414,0.179665994301833,0.1,4
