"term","estimate","std.error","conf.low","conf.high","effort","replicate"
"range",0.956920624157721,0.227180208249292,0.6008889499636,1.52390401087234,0.1,1
"sigma_O",2.87540171982467,0.444763189977825,2.12341969995166,3.89368858665053,0.1,1
"sigma_E",5.76616927946508e-10,1.65160662609861e-07,8.92939480318289e-254,3.72351193919597e+234,0.1,1
"range",0.459054275002368,0.10313037881118,0.295552404335224,0.713006642161951,0.1,10
"sigma_O",2.64646437561066,0.347422109179496,2.04607786913732,3.423024019281,0.1,10
"sigma_E",2.76891996822277e-05,NA,NA,NA,0.1,10
"range",0.62253436784736,0.144824785965601,0.394586302937016,0.98216546359181,0.1,2
"sigma_O",2.59884451776103,0.335560623548918,2.01778025763741,3.34723902760586,0.1,2
"sigma_E",0.000168809504455311,0.301246914645945,0,Inf,0.1,2
"range",1.25829773749924,0.380540847820591,0.695598576307718,2.27618809198839,0.1,3
"sigma_O",3.14245030987999,0.628464312507755,2.12341599913803,4.65052253259534,0.1,3
"sigma_E",0.382851649982747,0.4873112938675,0.0315923415183413,4.63958601515546,0.1,3
"range",0.756298068296789,0.195127615298543,0.45612086450759,1.25402456370188,0.1,4
"sigma_O",2.72693283310181,0.393874453492531,2.05460363822364,3.61926871826129,0.1,4
"sigma_E",3.70503670457144e-05,0.0758131540968952,0,Inf,0.1,4
"range",0.763218234374629,0.157300918423207,0.509582224441357,1.14309731647431,0.1,5
"sigma_O",3.45300986777028,0.493049655110128,2.61009393466001,4.56814101155022,0.1,5
"sigma_E",0.000430469396407774,0.66190755548683,0,Inf,0.1,5
"range",0.861782574155636,0.224544179531522,0.517142819389154,1.43610077772239,0.1,6
"sigma_O",3.16983077133913,0.476322781596055,2.36117450761397,4.25543604952859,0.1,6
"sigma_E",2.57193026696084e-05,NA,NA,NA,0.1,6
"range",0.614762401009232,0.150661753321748,0.380277527258173,0.993834193725717,0.1,7
"sigma_O",2.80440711232718,0.374917215714101,2.15796864863859,3.64449189594711,0.1,7
