"term","estimate","std.error","conf.low","conf.high","effort","replicate"
"range",0.454301190967008,0.153796206751035,0.233982605663249,0.882072287078809,0.1,1
"sigma_O",1.33213005064224,0.225229906567571,0.956378298403928,1.85551101983977,0.1,1
"sigma_E",0.000137825080332117,0.168328417888784,0,Inf,0.1,1
"range",0.397124886264564,0.115632349996956,0.224429293196031,0.702707623611729,0.1,10
"sigma_O",1.20725027279028,0.197340225570424,0.8763099140172,1.66317098304972,0.1,10
"sigma_E",0.000175024127128181,0.268055802461049,0,Inf,0.1,10
"range",0.246671867932474,0.125104315169582,0.0912886152963238,0.666534487699107,0.1,2
"sigma_O",1.48110207183986,0.538631442246051,0.726154560429376,3.02093172273298,0.1,2
"sigma_E",0.000212701779022134,0.193179616762587,0,Inf,0.1,2
"range",0.407033375816009,0.133962663296816,0.213541804025145,0.775848877855635,0.1,3
"sigma_O",1.40049881523827,0.228911951957435,1.01660817535602,1.92935388385688,0.1,3
"sigma_E",0.000170277334759826,NA,NA,NA,0.1,3
"range",0.45568459772618,0.129698991648454,0.260850427601256,0.79604413346904,0.1,4
"sigma_O",1.27569221233597,0.205170265315472,0.930779269118972,1.7484173472783,0.1,4
"sigma_E",0.000324633940874536,NA,NA,NA,0.1,4
"range",0.485649196114617,0.181170336667314,0.233767353059696,1.00893105303094,0.1,5
"sigma_O",1.04251614397243,0.187590352457554,0.732685480603819,1.48336488058622,0.1,5
"sigma_E",0.000241715458913122,0.309825548645343,0,Inf,0.1,5
"range",0.357644123471474,0.091313297939152,0.216831945583748,0.589900711859249,0.1,6
"sigma_O",1.63551396124234,0.240063413032859,1.22662977270288,2.18069541188818,0.1,6
"sigma_E",0.000243471043814532,NA,NA,NA,0.1,6
"range",0.309079302396057,0.0983916416617031,0.165615222064784,0.576819050680408,0.1,7
"sigma_O",1.57992110948176,0.302842288490226,1.08511425349321,2.30035750074282,0.1,7
"sigma_E",0.000132400043059273,NA,NA,NA,0.1,7
"range",0.442960405775545,0.130974288407528,0.248131616949415,0.790765495736227,0.1,8
"sigma_O",1.38084802326282,0.212668368041763,1.02105677036904,1.86741944099709,0.1,8
"sigma_E",0.000162532675088975,0.19450455171856,0,Inf,0.1,8
