"term","estimate","std.error","conf.low","conf.high","effort","replicate"
"factor(Year)2003",-4.20777053022144,1.91790864458975,-7.96680239925539,-0.44873866118749,0.5,4
"factor(Year)2004",-3.48805018975125,1.46702467251435,-6.36336571231104,-0.612734667191462,0.5,4
"factor(Year)2005",-3.14330148599753,1.48326196727403,-6.05044152149265,-0.236161450502405,0.5,4
"factor(Year)2006",-3.03450724691724,1.50221965985593,-5.97880367710288,-0.0902108167316076,0.5,4
"factor(Year)2007",-4.54831560357391,1.42333171262204,-7.33799449836682,-1.75863670878099,0.5,4
"factor(Year)2008",-3.48405768212126,1.31747470922351,-6.06626066274172,-0.901854701500802,0.5,4
"factor(Year)2009",-4.72405848963785,1.58866624440122,-7.83778711211874,-1.61032986715696,0.5,4
"factor(Year)2010",-3.75128763445996,1.36805476043037,-6.43262569378205,-1.06994957513787,0.5,4
"factor(Year)2011",-2.8849055063299,1.29857280484585,-5.43006143513094,-0.339749577528869,0.5,4
"factor(Year)2012",-1.29091137457731,1.1757248959946,-3.59528982645383,1.0134670772992,0.5,4
"factor(Year)2013",-1.95366770444394,1.1788911514263,-4.26425190293245,0.356916494044568,0.5,4
"factor(Year)2014",-2.38687597766316,1.37267575326485,-5.07727101651365,0.303519061187326,0.5,4
"factor(Year)2015",-3.61437397335169,1.33830340598745,-6.23740044947437,-0.991347497229013,0.5,4
"factor(Year)2016",-2.67307331349363,1.25105005971552,-5.12508637339273,-0.221060253594534,0.5,4
"factor(Year)2017",-3.89768246452362,1.42711527246074,-6.69477700033374,-1.1005879287135,0.5,4
"factor(Year)2018",-3.61937251875716,1.27253494328185,-6.1134951766583,-1.12524986085602,0.5,4
"factor(Year)2019",-4.28619685455362,1.4607389556427,-7.14919259842797,-1.42320111067928,0.5,4
"factor(Year)2021",-5.17313804688556,1.52528120252681,-8.16263427013405,-2.18364182363707,0.5,4
"factor(Year)2022",-6.93066564821415,1.77097874840204,-10.401720212468,-3.45961108396034,0.5,4
"factor(Year)2023",-6.67449123727591,1.6890145882196,-9.98489899954907,-3.36408347500274,0.5,4
"Pass",0.290957832744916,0.430946103833292,-0.553681010046194,1.13559667553603,0.5,4
"factor(Year)2003",-1.50318249868855,1.60035139360568,-4.63981359276417,1.63344859538706,0.5,5
"factor(Year)2004",-2.81671557632192,1.73706687807283,-6.2213040960821,0.587872943438253,0.5,5
"factor(Year)2005",-4.44103585849928,1.94877289256228,-8.26056054196929,-0.621511175029275,0.5,5
"factor(Year)2006",-3.38979500152188,1.71292902830456,-6.74707420507201,-0.0325157979717572,0.5,5
"factor(Year)2007",-3.43668550369868,1.59468947811179,-6.56221944732275,-0.311151560074601,0.5,5
"factor(Year)2008",-4.91343672190134,1.70286049836681,-8.25098196939622,-1.57589147440647,0.5,5
"factor(Year)2009",-5.94177687924922,2.07326502823222,-10.0053016649908,-1.87825209350766,0.5,5
"factor(Year)2010",-3.12811150419222,1.62754809033155,-6.318047144349,0.0618241359645664,0.5,5
