"Year","est","lwr","upr","log_est","se","effort","replicate"
2003,40.8105871691234,6.34079821109042,262.664726055397,3.70894153718785,0.949985250008355,0.5,4
2004,551.761762426196,152.6429482796,1994.46516139095,6.31311636330779,0.655631863994154,0.5,4
2005,30.9310385058336,9.80553928969351,97.5702727594969,3.43176016213828,0.586139700303482,0.5,4
2006,127.26019096788,45.6413866071826,354.834885814637,4.8462337384155,0.523182487315891,0.5,4
2007,139.87970930125,46.3806512918538,421.864129312879,4.94078283399206,0.563224869668788,0.5,4
2008,282.054927582249,57.5279501002522,1382.89269884969,5.64210183063167,0.811153125655142,0.5,4
2009,43.3225094549892,8.86942872243435,211.607746588047,3.76867234877886,0.809230155569269,0.5,4
2010,50.0604270754815,19.1490305251165,130.870665002732,3.91323081723934,0.490304278953367,0.5,4
2011,42.8836524279463,13.9502359924539,131.826274950164,3.75849069102565,0.572966786500989,0.5,4
2012,64.6036786861073,25.1203066088717,166.14587412336,4.16827135477259,0.481944982117399,0.5,4
2013,304.660979920122,92.3890086320201,1004.64670051368,5.71919961714178,0.608782410891431,0.5,4
2014,539.610955776546,283.371046143705,1027.55728772096,6.29084842764221,0.328624034281968,0.5,4
2015,62.3459735674275,9.56120196887663,406.540980174175,4.13269909213266,0.956642907114739,0.5,4
2016,302.777499156502,113.322374430183,808.968347657992,5.71299820954364,0.501418183820259,0.5,4
2017,81.3318349002019,12.2832315768826,538.528263253056,4.39853751309721,0.964457756459811,0.5,4
2018,331.355355373115,119.249216540783,920.730338692774,5.80319138068857,0.521425816439243,0.5,4
2019,185.531165402795,66.8995942572786,514.529478360387,5.22322287549803,0.520433018842047,0.5,4
2021,162.383641205696,24.2165506039729,1088.86056327503,5.0899616911618,0.970898137676752,0.5,4
2022,28.7236083591422,1.13198627135516,728.847776732904,3.35771937553397,1.64990048241295,0.5,4
2023,57.4255033403731,3.18454297663205,1035.52957460251,4.05048851371521,1.47562901676942,0.5,4
2003,148.914535597498,41.4517466178707,534.972364775052,5.00337255478777,0.652482671230375,0.5,5
2004,8.78282419269964,1.35439172913596,56.9539809941698,2.17279801796357,0.953816288234953,0.5,5
2005,6.7617621355376,0.21108715977696,216.599755408621,1.91128352702362,1.76879152150616,0.5,5
2006,111.981820433331,34.049897488432,368.280935700999,4.71833654056063,0.607413976980683,0.5,5
2007,302.643206830866,116.278530222628,787.702686519218,5.71255457645838,0.488052917490905,0.5,5
2008,135.357601602637,26.6148455770984,688.400774618193,4.90792017704429,0.829837193624996,0.5,5
2009,0.24582270223127,0.00882434035606609,6.84796806264883,-1.4031447255323,1.69752950914194,0.5,5
2010,86.9952346095441,31.6565274854756,239.071415784374,4.46585334255146,0.515779363055747,0.5,5
2011,20.4941396428536,5.35583148688544,78.4210184224875,3.02013897419512,0.684682483933219,0.5,5
2012,107.501502177097,48.0437480759785,240.542701873643,4.67750482121053,0.410922248314427,0.5,5
2013,64.3575590354473,23.87648086844,173.47177030916,4.16445439467168,0.50590750245743,0.5,5
2014,286.115958184127,146.624453378763,558.31302106309,5.65639717684419,0.341089225706595,0.5,5
2015,85.0547687107456,23.3723703661982,309.524176071628,4.44329538676734,0.65906354699003,0.5,5
2016,147.10342598778,46.5813673718394,464.550938674768,4.99113591753183,0.586712463716089,0.5,5
2017,97.234157161451,26.5096698130539,356.642741519255,4.577122060862,0.663079784156497,0.5,5
2018,340.621977130909,48.7170213861132,2381.57686992009,5.83077329090006,0.992234970694532,0.5,5
2019,172.971144069849,43.1728694662033,693.005052727704,5.15312478330146,0.708131638082594,0.5,5
2021,10.7929303992219,0.664070550728036,175.414112965468,2.37889132712622,1.42260686072456,0.5,5
2022,8.29209634921977,0.53344616282574,128.895597449832,2.11530281404531,1.39987263142897,0.5,5
2023,22.8420514636599,1.6546914007689,315.321222329455,3.12860319965363,1.33930454524119,0.5,5
2003,74.2473494762853,8.45787280890653,651.779593853498,4.30740207975656,1.10833892659124,0.6,3
2004,33.186942759255,6.81268429620617,161.665082634079,3.50215650817961,0.807856832263996,0.6,3
2005,72.4655139560741,24.6072983059887,213.402164171756,4.28311077912258,0.551065075480473,0.6,3
2006,115.971258525845,26.196675759608,513.398452822226,4.75334238907705,0.759049593512438,0.6,3
2007,252.043687789149,96.5490095538327,657.966568977941,5.52960243672823,0.489576182955799,0.6,3
2008,57.9375261755412,5.70899502120333,587.976855273906,4.05936529511525,1.18232901650661,0.6,3
2009,63.6879879225243,12.3674410544207,327.970821754574,4.15399597215123,0.836203464521923,0.6,3
2010,65.3569495332096,28.7752011036853,148.444865316318,4.17986377769407,0.418553524834034,0.6,3
2011,38.6006809799753,13.8108082662025,107.887427252477,3.65326991828344,0.524406791695585,0.6,3
2012,171.088183834442,63.4347274492493,461.437572521865,5.14217911851598,0.506217289345403,0.6,3
2013,261.590777214674,73.7345389062677,928.055369150212,5.56678136366597,0.646088419155347,0.6,3
2014,136.604113934458,57.6858756854312,323.487920085976,4.91708706333369,0.439842117201775,0.6,3
2015,126.327049274331,36.75403553178,434.197854669878,4.83887417328531,0.629922872565612,0.6,3
