"term","estimate","std.error","conf.low","conf.high","effort","replicate"
"factor(Year)2003",-1.27256409983459,0.738222251799908,-2.71945312594847,0.174324926279291,0.1,1
"factor(Year)2004",0.171507125731522,0.772032371893467,-1.34164851807871,1.68466276954175,0.1,1
"factor(Year)2005",-0.725705870604007,0.721846392395804,-2.14049880206995,0.689087060861937,0.1,1
"factor(Year)2006",-0.605542319021192,0.714137021574526,-2.00522516133397,0.794140523291582,0.1,1
"factor(Year)2007",-0.0257581090391102,0.716011517639861,-1.4291148961291,1.37759867805088,0.1,1
"factor(Year)2008",-0.688888783182227,0.718300107815595,-2.09673112459203,0.718953558227576,0.1,1
"factor(Year)2009",-0.687457119387411,0.712985067237468,-2.08488217268772,0.709967933912895,0.1,1
"factor(Year)2010",0.100072452683708,0.722436849009478,-1.31587775247947,1.51602265784689,0.1,1
"factor(Year)2011",-0.172257688150963,0.714668512112861,-1.572982232777,1.22846685647507,0.1,1
"factor(Year)2012",-0.743360413796566,0.710551715185174,-2.13601618471267,0.649295357119538,0.1,1
"factor(Year)2013",-0.228134133895875,0.754148793443646,-1.70623860802976,1.24997034023801,0.1,1
"factor(Year)2014",0.0355026594908487,0.70605945930213,-1.34834845168515,1.41935377066685,0.1,1
"factor(Year)2015",0.133755539788492,0.735338434733266,-1.30748130873677,1.57499238831375,0.1,1
"factor(Year)2016",-0.319786797918207,0.715146889764031,-1.72144894551154,1.08187534967513,0.1,1
"factor(Year)2017",-0.557919678884737,0.713480884619415,-1.95631651639657,0.840477158627095,0.1,1
"factor(Year)2018",-0.253510322363283,0.718218500450858,-1.66119271627733,1.15417207155076,0.1,1
"factor(Year)2019",-1.0134045789034,0.795116602123098,-2.57180448257454,0.544995324767733,0.1,1
"factor(Year)2021",-0.362641779257932,0.715739217368064,-1.76546486762222,1.04018130910636,0.1,1
"factor(Year)2022",-0.344713173038794,0.730621345079489,-1.7767046957308,1.08727834965321,0.1,1
"factor(Year)2023",-0.727111456266419,0.718611119449636,-2.13556336927772,0.681340456744878,0.1,1
