"Year","est","lwr","upr","log_est","se","effort","replicate"
2003,1910.39910379919,1262.25120833081,2891.36164949526,7.55506745408134,0.211440301111833,0.1,1
2004,2621.66640667972,1817.82594833619,3780.96415347342,7.87156542765569,0.186824297986405,0.1,1
2005,2759.55475248877,1955.40587154519,3894.40501473269,7.92282462413543,0.175754028671937,0.1,1
2006,2495.5937265002,1743.78343373495,3571.53757012569,7.82228194640922,0.182895976856128,0.1,1
2007,3262.99680683605,2382.06736320185,4469.70909635022,8.09040131799525,0.160552587119193,0.1,1
2008,2221.21862312553,1559.09635343357,3164.53319953831,7.70581125359555,0.180589839711154,0.1,1
2009,3082.12551470355,2216.7980496988,4285.23369085307,8.03337474013309,0.168143715377634,0.1,1
2010,3406.21746711464,2517.56397374765,4608.54919845618,8.13335770742712,0.154242972791402,0.1,1
2011,1958.45988838322,1410.14927868915,2719.9709934054,7.57991367211148,0.167586152359625,0.1,1
2012,3762.85879593955,2681.64391767421,5280.00985696112,8.23293426555761,0.172834287089792,0.1,1
2013,3362.43572803445,2279.38494510001,4960.09857811292,8.12042090938822,0.198350575734702,0.1,1
2014,3811.68733177053,2771.36817514209,5242.52260868769,8.24582723931422,0.162620761679392,0.1,1
2015,3282.93185098055,2407.87908611323,4475.98951306966,8.09649215913218,0.158161358993071,0.1,1
2016,3586.96996893407,2526.22542006591,5093.11380363642,8.18506310530155,0.178871432948269,0.1,1
2017,2509.04564386623,1790.0364450499,3516.86138034391,7.82765773825604,0.172281981673597,0.1,1
2018,2720.52356478715,1945.71569192619,3803.86944365711,7.90857962782089,0.171020731551303,0.1,1
2019,545.739639236514,313.396336040113,950.33578757564,6.30214201080003,0.283001818565647,0.1,1
2021,3669.37143793393,2626.69276658009,5125.94655942788,8.20777565606245,0.170561718505857,0.1,1
2022,4674.4594373356,3317.73879084124,6585.98292656892,8.4498688066599,0.174916512035304,0.1,1
2023,3363.07931540354,2396.33790099851,4719.82789947208,8.12061229617924,0.172919156899147,0.1,1
2003,2527.99154881879,1636.61332046572,3904.85717730848,7.83518041223062,0.2218388085144,0.1,10
2004,1797.42282978077,1175.77968521892,2747.73315922326,7.49410915670185,0.216546013928203,0.1,10
2005,3319.74760975437,2337.50214900553,4714.74398308403,8.10764403786246,0.178985869182543,0.1,10
2006,2640.06841356897,1819.90873460471,3829.84107707931,7.87856011003526,0.189808833212134,0.1,10
2007,3436.88881416137,2386.29968596896,4950.00891562839,8.14232192664993,0.1861374662626,0.1,10
2008,2068.98357445096,1438.69152781594,2975.40713112166,7.63481273883098,0.185372498397208,0.1,10
2009,2745.66538225539,1897.55812491015,3972.83134168688,7.91777872247725,0.188501209321768,0.1,10
2010,3899.30176248903,2834.7140316408,5363.69950028057,8.26855278082979,0.162684846734055,0.1,10
2011,2034.30614170343,1439.49451727413,2874.8990902785,7.61791007742793,0.176463842643074,0.1,10
2012,3044.96915659358,2164.64231420257,4283.31142922421,8.02124605089519,0.174103013952718,0.1,10
2013,1700.96870290708,1147.86000030623,2520.59879035554,7.43895319299501,0.200666225301676,0.1,10
2014,3623.35329009531,2583.73236397148,5081.28831295217,8.19515519927797,0.172536289810177,0.1,10
2015,3480.08869974977,2526.0441435568,4794.45990245965,8.15481306087754,0.163474066345815,0.1,10
2016,3101.05653088657,2131.82327975556,4510.95158734589,8.03949814882354,0.191210276999931,0.1,10
2017,4893.85619095759,3567.23579917472,6713.8338383223,8.49573585880536,0.161324173497772,0.1,10
2018,2629.93177530199,1833.65404171427,3771.99896239798,7.87471318388552,0.184007046880685,0.1,10
2019,1638.04096049894,1058.28298387624,2535.40709730061,7.40125627050997,0.222888393214868,0.1,10
2021,3142.92597709658,2163.52592533906,4565.68769609749,8.05290948484876,0.190521328527597,0.1,10
2022,2757.86597243285,1854.45908762837,4101.37099957805,7.92221246124525,0.202485417498805,0.1,10
2023,3533.68415102504,2553.12109338753,4890.84662358794,8.17009627452927,0.165831836286564,0.1,10
2003,2890.8587427459,1968.28157922394,4245.86825316195,7.96930887978694,0.196122345393914,0.1,2
2004,2704.78224758635,1759.45105382095,4158.02814802416,7.90277668807221,0.21940176111467,0.1,2
2005,2394.83818874002,1755.26379660747,3267.45755329343,7.78107094544987,0.158521540109422,0.1,2
2006,3292.28306806876,2323.54255961985,4664.91468185789,8.09933654475547,0.17780340971403,0.1,2
2007,3185.57024187192,2309.49269411418,4393.97699406545,8.06638659181474,0.164086395409155,0.1,2
2008,2576.87298322622,1837.12703515113,3614.4884075123,7.85433192081763,0.172642807250091,0.1,2
2009,2374.59988051952,1695.75603777948,3325.19800427601,7.77258423091565,0.171789008989612,0.1,2
2010,2991.14511883451,2118.78220613274,4222.68466104298,8.0034115759533,0.175929153354499,0.1,2
2011,2132.26446019158,1520.53660612878,2990.09685782667,7.66493982083484,0.172514006182891,0.1,2
2012,3255.3876241459,2357.19944507094,4495.82177087411,8.08806663331163,0.164715840858884,0.1,2
