"term","estimate","std.error","conf.low","conf.high","effort","replicate"
"factor(Year)2003",-5.33565694274759,1.67225626793437,-8.61321900082031,-2.05809488467486,0.1,1
"factor(Year)2004",-4.56928993511988,1.64387959647244,-7.7912347391261,-1.34734513111366,0.1,1
"factor(Year)2005",-6.4714372398333,1.7461222858383,-9.89377403267912,-3.04910044698747,0.1,1
"factor(Year)2006",-5.52091923429437,1.66515291991014,-8.78455898606995,-2.25727948251879,0.1,1
"factor(Year)2007",-5.85616903214533,1.66610880061263,-9.12168227567131,-2.59065578861934,0.1,1
"factor(Year)2008",-6.76733273894224,1.78160665435626,-10.2592176160974,-3.27544786178708,0.1,1
"factor(Year)2009",-5.8014910938042,1.6543451865961,-9.04394807752974,-2.55903411007866,0.1,1
"factor(Year)2010",-5.57893988271153,1.65750144229072,-8.82758301392453,-2.33029675149853,0.1,1
"factor(Year)2011",-4.91936201177124,1.62936142772977,-8.11285172792035,-1.72587229562212,0.1,1
"factor(Year)2012",-4.03530438543069,1.57093873043146,-7.11428771899542,-0.956321051865966,0.1,1
"factor(Year)2013",-4.17989148296048,1.61899868665636,-7.35307059982458,-1.00671236609637,0.1,1
"factor(Year)2014",-4.69713171363571,1.58491704165678,-7.80351203376678,-1.59075139350465,0.1,1
"factor(Year)2015",-4.84523233896848,1.62087256707915,-8.02208419397259,-1.66838048396436,0.1,1
"factor(Year)2016",-4.81024574126049,1.59808531343285,-7.94243539981128,-1.6780560827097,0.1,1
"factor(Year)2017",-5.05137947682957,1.62278351364939,-8.23197671828774,-1.87078223537139,0.1,1
"factor(Year)2018",-6.00922695792635,1.67637584571302,-9.29486324007675,-2.72359067577595,0.1,1
"factor(Year)2019",-5.90880366244112,1.96952068066714,-9.76899326335553,-2.04861406152671,0.1,1
"factor(Year)2021",-3.83339737326955,1.54589550393295,-6.86329688484053,-0.803497861698571,0.1,1
"factor(Year)2022",-4.35070269645967,1.5882973893162,-7.46370837625842,-1.23769701666092,0.1,1
"factor(Year)2023",-4.99804489607319,1.65235595886971,-8.23660306509797,-1.7594867270484,0.1,1
"Pass",0.294648681739938,0.288045473525496,-0.269910072279819,0.859207435759695,0.1,1
"factor(Year)2003",-4.31431860594869,2.19675608012199,-8.61988140580718,-0.0087558060902122,0.1,10
"factor(Year)2004",-4.80452619910605,2.1998616266263,-9.11617575826528,-0.492876639946807,0.1,10
"factor(Year)2005",-5.5433080147083,2.2039071215781,-9.86288659827271,-1.22372943114388,0.1,10
"factor(Year)2006",-6.13187016170845,2.26051677734369,-10.5624016317506,-1.70133869166627,0.1,10
"factor(Year)2007",-3.91571590402247,2.14267626248799,-8.11528420902783,0.28385240098289,0.1,10
"factor(Year)2008",-5.72903205868325,2.24151370881668,-10.1223181988167,-1.33574591854977,0.1,10
"factor(Year)2009",-4.76592211867425,2.16360132610537,-9.00650279474386,-0.525341442604631,0.1,10
"factor(Year)2010",-4.40858280969239,2.14915828295847,-8.62085564136693,-0.196309978017851,0.1,10
"factor(Year)2011",-4.5635614932743,2.16385713706196,-8.8046435496057,-0.322479436942904,0.1,10
"factor(Year)2012",-5.54587994835379,2.20048143547938,-9.85874431054236,-1.23301558616522,0.1,10
"factor(Year)2013",-4.00540553206714,2.14934977865851,-8.21805368841695,0.207242624282681,0.1,10
"factor(Year)2014",-4.33653697229646,2.14542147823081,-8.54148580128752,-0.131588143305395,0.1,10
"factor(Year)2015",-3.99642556432642,2.13179332198914,-8.17466369790813,0.181812569255291,0.1,10
"factor(Year)2016",-5.07586813104731,2.20506216879877,-9.39771056556468,-0.754025696529935,0.1,10
"factor(Year)2017",-3.56101587946814,2.12857974715793,-7.73295552211906,0.610923763182781,0.1,10
"factor(Year)2018",-4.84761191833251,2.20385993155887,-9.16709801115881,-0.528125825506216,0.1,10
"factor(Year)2019",-4.63530665164086,2.38628694297924,-9.31234311665835,0.0417298133766355,0.1,10
