"term","estimate","std.error","conf.low","conf.high","effort","replicate"
"factor(Year)2003",-0.989819806604141,0.512952469506728,-1.99518817261821,0.0155485594099251,0.1,1
"factor(Year)2004",-1.46770933151574,0.551019825847163,-2.54768834494372,-0.387730318087772,0.1,1
"factor(Year)2005",-0.948816229249392,0.491353234778152,-1.91185087310182,0.0142184146030386,0.1,1
"factor(Year)2006",-0.17796950264565,0.499491256975524,-1.15695437691032,0.801015371619018,0.1,1
"factor(Year)2007",-1.11974867303662,0.488004206719196,-2.07621934251028,-0.163278003562957,0.1,1
"factor(Year)2008",-0.441178314157404,0.492655912879537,-1.406766160172,0.524409531857192,0.1,1
"factor(Year)2009",-1.46785794783855,0.489462812388255,-2.42718743189122,-0.508528463785889,0.1,1
"factor(Year)2010",-1.54651899085973,0.482896016328389,-2.49297779114123,-0.60006019057822,0.1,1
"factor(Year)2011",-1.82937135042864,0.500946437797997,-2.81120832669635,-0.847534374160929,0.1,1
"factor(Year)2012",-2.34843355716774,0.512957707416862,-3.35381218929702,-1.34305492503845,0.1,1
"factor(Year)2013",-1.5403012159116,0.530329391245254,-2.57972772269535,-0.500874709127848,0.1,1
"factor(Year)2014",-2.18301561257719,0.503038901434744,-3.16895374221189,-1.1970774829425,0.1,1
"factor(Year)2015",-2.38840932088637,0.521016088438054,-3.40958208959089,-1.36723655218185,0.1,1
"factor(Year)2016",-2.33485131379415,0.544920092485042,-3.40287506951707,-1.26682755807123,0.1,1
"factor(Year)2017",-3.23156773202981,0.597055566865059,-4.40177513985447,-2.06136032420514,0.1,1
"factor(Year)2018",-2.22859119421082,0.536409985414455,-3.27993544657081,-1.17724694185083,0.1,1
"factor(Year)2019",-3.11712893573581,0.709425068029792,-4.50757651880408,-1.72668135266754,0.1,1
"factor(Year)2021",-2.72530320887612,0.539856000400392,-3.78340152649873,-1.66720489125352,0.1,1
"factor(Year)2022",-1.96317600996219,0.508224323526036,-2.95927738014045,-0.967074639783929,0.1,1
"factor(Year)2023",-2.00522025476274,0.527928500885581,-3.0399411029107,-0.97049940661478,0.1,1
"Pass",0.278043153383338,0.167444612114081,-0.050142255765541,0.606228562532216,0.1,1
"factor(Year)2003",-0.633576871444669,0.562152012897679,-1.73537457056082,0.468220827671478,0.1,10
"factor(Year)2004",-1.2309978307361,0.567665221125983,-2.343601219419,-0.118394442053212,0.1,10
"factor(Year)2005",-0.387765429654174,0.499481724543726,-1.36673162069583,0.591200761387483,0.1,10
"factor(Year)2006",-0.864330756959794,0.519599443163484,-1.88272695194729,0.154065438027702,0.1,10
"factor(Year)2007",-1.14316292393121,0.513174397371099,-2.14896626056661,-0.137359587295813,0.1,10
"factor(Year)2008",-0.416737810557513,0.51255396673141,-1.42132512548422,0.587849504369192,0.1,10
"factor(Year)2009",-1.60727067621464,0.515257327475856,-2.61715648083768,-0.597384871591599,0.1,10
"factor(Year)2010",-0.194501660776337,0.536582797971742,-1.24618461952468,0.857181297972009,0.1,10
"factor(Year)2011",-1.36861159316541,0.527895123582836,-2.40326702300209,-0.333956163328729,0.1,10
"factor(Year)2012",-2.3845402990875,0.560945371485345,-3.48397302449321,-1.28510757368178,0.1,10
"factor(Year)2013",-2.62638237964654,0.606258948064407,-3.81462808315792,-1.43813667613517,0.1,10
"factor(Year)2014",-1.58483912479483,0.537079854133683,-2.63749629571887,-0.532181953870784,0.1,10
"factor(Year)2015",-1.8056045214433,0.523455035239383,-2.83155753803863,-0.77965150484796,0.1,10
"factor(Year)2016",-2.07912404626502,0.571862429904998,-3.19995381299038,-0.958294279539665,0.1,10
"factor(Year)2017",-1.82387150660872,0.522802045479298,-2.84854468679202,-0.799198326425428,0.1,10
"factor(Year)2018",-1.83994249871971,0.563277881642015,-2.94394686002608,-0.73593813741335,0.1,10
"factor(Year)2019",-2.88263375400556,0.682369905198504,-4.22005419232864,-1.54521331568249,0.1,10
"factor(Year)2021",-3.28945483778735,0.66597385780659,-4.59473961373347,-1.98417006184123,0.1,10
"factor(Year)2022",-1.55209609447042,0.547687342309426,-2.62554356018536,-0.478648628755489,0.1,10
"factor(Year)2023",-1.46340391557029,0.511128921008478,-2.46519819220372,-0.461609638936855,0.1,10
"Pass",0.0888410943692957,0.175056551139551,-0.254263441122019,0.43194562986061,0.1,10
"factor(Year)2003",-1.18110135760056,0.534204660480423,-2.22812325251563,-0.134079462685479,0.1,2
"factor(Year)2004",-1.42167451248208,0.550458649453274,-2.50055364038905,-0.342795384575101,0.1,2
"factor(Year)2005",-1.02851629413682,0.493662107983502,-1.9960762463166,-0.0609563419570306,0.1,2
"factor(Year)2006",-0.991640987762572,0.5135428626663,-1.99816650310612,0.0148845275809755,0.1,2
"factor(Year)2007",-1.7411464751137,0.518036819570764,-2.75647998413807,-0.725812966089324,0.1,2
"factor(Year)2008",-0.674937639472026,0.505539763811924,-1.66577736929628,0.315902090352229,0.1,2
