"term","estimate","std.error","conf.low","conf.high","effort","replicate"
"range",0.405853017916217,0.192406661057377,0.160262325702022,1.02779409589975,0.1,1
"sigma_O",2.18770998177648,0.804656288401442,1.06392589328904,4.49850407303152,0.1,1
"sigma_E",0.000202991675419185,0.386226557664036,0,Inf,0.1,1
"range",0.481269520458228,0.125856019061764,0.288265062899287,0.803497825898574,0.1,10
"sigma_O",1.8892807369194,0.273980923084623,1.42185859091611,2.51036335518778,0.1,10
"sigma_E",0.000114428473410131,NA,NA,NA,0.1,10
"range",0.656567078109128,0.201175618594767,0.360135933347546,1.19699337983235,0.1,2
"sigma_O",1.55666629109179,0.230098008428531,1.16513300190702,2.07977109725269,0.1,2
"sigma_E",0.000113996905459252,0.707963040082888,0,Inf,0.1,2
"range",0.861262856249561,0.373252528328818,0.368335470310322,2.01385358551054,0.1,3
"sigma_O",1.89503657997419,0.341999712754531,1.33045487625678,2.69919987782221,0.1,3
"sigma_E",0.000197570748919383,NA,NA,NA,0.1,3
"range",0.503867010956441,0.17228210576298,0.257794274117227,0.984823908907809,0.1,4
"sigma_O",1.69153413051486,0.247893007537953,1.2692227349806,2.25436216657465,0.1,4
"sigma_E",4.69848884567807e-05,NA,NA,NA,0.1,4
"range",0.570842397702804,0.180030735392034,0.307656840184695,1.05917047974445,0.1,5
"sigma_O",1.66960367278747,0.243900943631745,1.2539124052201,2.22310299553668,0.1,5
"sigma_E",0.000107419328741725,NA,NA,NA,0.1,5
"range",0.686629456405134,0.223028577962167,0.363277184710766,1.29779691719032,0.1,6
"sigma_O",1.48341072587895,0.213242621160962,1.1191797831011,1.96617863803383,0.1,6
"sigma_E",0.000143060694453985,0.172450368056137,0,Inf,0.1,6
"range",0.570499101718774,0.160180292848876,0.329049494231888,0.989119359753713,0.1,7
"sigma_O",1.85805008391338,0.263205880490063,1.40759826456733,2.45265300564414,0.1,7
"sigma_E",9.39051997942327e-05,0.16679995520842,0,Inf,0.1,7
"range",0.691623409902077,0.221747241751332,0.368942550338211,1.296524189704,0.1,8
"sigma_O",1.5658482442465,0.226023491580265,1.1800009865633,2.07786328310695,0.1,8
"sigma_E",4.40424443878959e-05,NA,NA,NA,0.1,8
"range",0.726104000333652,0.282517739016531,0.338693797495254,1.55664799060254,0.1,9
"sigma_O",1.60498130551732,0.255825399722257,1.17433775591491,2.19354694003956,0.1,9
"sigma_E",0.000222236323351428,0.303905778653388,0,Inf,0.1,9
"range",0.471347703760407,0.106823730758439,0.302294061620599,0.734942183942224,0.2,1
