"term","estimate","std.error","conf.low","conf.high","effort","replicate"
"factor(Year)2003",-2.0990282146086,2.45606491873205,-6.91282699901572,2.71477056979851,0.1,1
"factor(Year)2004",-2.92418194987638,2.4685664629,-7.76248331060381,1.91411941085105,0.1,1
"factor(Year)2005",-2.9793336817807,2.4600165817638,-7.80087758340909,1.84221021984769,0.1,1
"factor(Year)2006",-1.57658696908783,2.44595123881096,-6.37056330509843,3.21738936692278,0.1,1
"factor(Year)2007",-2.21425464603638,2.45095809896897,-7.01804424763231,2.58953495555956,0.1,1
"factor(Year)2008",-2.53294249708498,2.45177346207849,-7.3383301810099,2.27244518683995,0.1,1
"factor(Year)2009",-2.31543693175591,2.44693228143627,-7.11133607597942,2.4804622124676,0.1,1
"factor(Year)2010",-1.2782123547404,2.44463677280781,-6.06961238472593,3.51318767524513,0.1,1
"factor(Year)2011",-1.56807287431782,2.44932527199491,-6.36866219385163,3.23251644521598,0.1,1
"factor(Year)2012",-2.47218235119763,2.44458822965376,-7.26348723834952,2.31912253595427,0.1,1
"factor(Year)2013",-1.55725272139362,2.44634838669562,-6.35200745295469,3.23750201016745,0.1,1
"factor(Year)2014",-1.91613774668515,2.44763798493793,-6.71342004435568,2.88114455098538,0.1,1
"factor(Year)2015",-2.28414227993665,2.45240579464817,-7.09076931292439,2.52248475305109,0.1,1
"factor(Year)2016",-1.75233197039913,2.43409624733612,-6.52307295008204,3.01840900928377,0.1,1
"factor(Year)2017",-2.22242007110726,2.45795241515157,-7.03991828051758,2.59507813830306,0.1,1
"factor(Year)2018",-2.79390530367488,2.45313268293642,-7.60195701152837,2.01414640417861,0.1,1
"factor(Year)2019",-2.92688957690555,2.51235420102267,-7.85101332731788,1.99723417350678,0.1,1
"factor(Year)2021",-2.42889783723692,2.45983999296696,-7.25009563118341,2.39229995670957,0.1,1
"factor(Year)2022",-1.83342391645732,2.45569476643503,-6.64649721569347,2.97964938277884,0.1,1
"factor(Year)2023",-2.71700983215974,2.45771868565771,-7.53404994017997,2.10003027586049,0.1,1
"Pass",0.20722801883309,0.228456016534818,-0.240537545626641,0.65499358329282,0.1,1
"factor(Year)2003",-3.54261822453596,2.87890643821261,-9.18517115829315,2.09993470922124,0.1,10
"factor(Year)2004",-3.18840402060418,2.90367966797315,-8.87951159247278,2.50270355126442,0.1,10
"factor(Year)2005",-2.59248414662562,2.86045101291045,-8.19886511147122,3.01389681821998,0.1,10
"factor(Year)2006",-2.73971903765841,2.87122134124448,-8.36720945814037,2.88777138282356,0.1,10
"factor(Year)2007",-2.96293250879995,2.84345242065111,-8.53599684502937,2.61013182742946,0.1,10
"factor(Year)2008",-2.94874340335185,2.86859972395126,-8.57109554835785,2.67360874165415,0.1,10
"factor(Year)2009",-3.2280167202685,2.84991072275383,-8.81373909602052,2.35770565548353,0.1,10
"factor(Year)2010",-2.89036066434464,2.86886303258295,-8.51322888478558,2.73250755609631,0.1,10
"factor(Year)2011",-2.72554783595545,2.86951050044945,-8.34968507009588,2.89858939818499,0.1,10
"factor(Year)2012",-3.07715323575654,2.85620819453004,-8.67521842938359,2.52091195787052,0.1,10
"factor(Year)2013",-1.7838385066198,2.86636536064554,-7.40181138001822,3.83413436677862,0.1,10
"factor(Year)2014",-1.84187693668593,2.86090474755339,-7.44914720509022,3.76539333171836,0.1,10
"factor(Year)2015",-2.46776921376803,2.85409165544911,-8.06168606702459,3.12614763948853,0.1,10
"factor(Year)2016",-2.54097279949442,2.8538349862413,-8.13438659034773,3.0524409913589,0.1,10
"factor(Year)2017",-2.07151840390418,2.86684143863533,-7.69042437301641,3.54738756520806,0.1,10
"factor(Year)2018",-1.1040238916474,2.84836838729212,-6.68672334544239,4.47867556214759,0.1,10
"factor(Year)2019",-3.40243391453141,2.89575130264149,-9.07800217589367,2.27313434683085,0.1,10
"factor(Year)2021",-3.50210032045658,2.86958691135112,-9.12638731721231,2.12218667629915,0.1,10
"factor(Year)2022",-3.02288852031604,2.88301664938687,-8.67349731994364,2.62772027931156,0.1,10
"factor(Year)2023",-3.57230938929397,2.86226922282637,-9.1822539800911,2.03763520150316,0.1,10
"Pass",0.0557012247544865,0.222313586819736,-0.380025398686114,0.491427848195086,0.1,10
"factor(Year)2003",-1.72994170670958,2.68119791976351,-6.98499306486976,3.5251096514506,0.1,2
"factor(Year)2004",-1.76032064413803,2.68755608465066,-7.0278337764848,3.50719248820875,0.1,2
"factor(Year)2005",-1.5884012594584,2.66858345836438,-6.81872872759193,3.64192620867512,0.1,2
"factor(Year)2006",-2.07665213212955,2.6821584169679,-7.3335860302176,3.1802817659585,0.1,2
"factor(Year)2007",-1.72971640783086,2.67672293801492,-6.97599696293233,3.51656414727062,0.1,2
"factor(Year)2008",-1.31155711351301,2.6776666337535,-6.55968727827447,3.93657305124846,0.1,2
"factor(Year)2009",-1.9546353612296,2.67924441690092,-7.20585792413541,3.29658720167622,0.1,2
"factor(Year)2010",-1.30776182288659,2.66952885711884,-6.53994223852989,3.92441859275672,0.1,2
"factor(Year)2011",-0.591290819841112,2.67313048232757,-5.83053029117932,4.6479486514971,0.1,2
"factor(Year)2012",-1.05397654392829,2.66973419599471,-6.28655941637292,4.17860632851635,0.1,2
"factor(Year)2013",-0.885519528360982,2.68612994305639,-6.15023747454614,4.37919841782417,0.1,2
"factor(Year)2014",-0.879375633159322,2.67655157523068,-6.1253203233754,4.36656905705676,0.1,2
"factor(Year)2015",-0.337543778532827,2.67320715631363,-5.57693352812227,4.90184597105661,0.1,2
