"Year","est","lwr","upr","log_est","se","effort","replicate"
2003,1147.25208471864,649.935865746234,2025.10342213544,7.04512487041745,0.289929399193452,0.1,1
2004,796.492832513881,457.999120078326,1385.15731675967,6.68021813058253,0.282327059099718,0.1,1
2005,1056.38412777033,651.809441569824,1712.07619011688,6.9626071554808,0.246359069662642,0.1,1
2006,1611.23083604574,1023.39524141773,2536.71768438974,7.38475366033984,0.231571915268454,0.1,1
2007,1041.84127763681,659.981674437032,1644.64149510483,6.94874488598598,0.232929186942494,0.1,1
2008,873.689796402483,535.447874700749,1425.59882372196,6.77272538863048,0.249811653090029,0.1,1
2009,910.512622153623,581.110856563002,1426.63525511192,6.81400776195309,0.229119628630687,0.1,1
2010,1202.44369808325,799.962561725108,1807.42314233072,7.092111180163,0.207935581800695,0.1,1
2011,1404.26448037341,919.738812896642,2144.04209454627,7.2472689431795,0.21591172889234,0.1,1
2012,1384.49877386791,854.026457947903,2244.47010628642,7.23309345699698,0.246500081784952,0.1,1
2013,1882.53746057634,1036.51635001203,3419.09444113649,7.5403758588526,0.304472509472864,0.1,1
2014,3305.45236727105,2170.37922799592,5034.15035094427,8.10332861652642,0.214632222394724,0.1,1
2015,2781.33596510669,1718.92144357849,4500.39749035379,7.93068665423929,0.245532240696156,0.1,1
2016,2479.59582840217,1516.05420625671,4055.52482678735,7.8158508534591,0.251017128718039,0.1,1
2017,4239.9320224026,2816.1889991729,6383.4577721434,8.35230251564527,0.208760307670644,0.1,1
2018,2051.06807296984,1224.9339944982,3434.373002016,7.62611594765804,0.263001622600815,0.1,1
2019,1644.22896797139,878.614570810141,3076.99074080171,7.40502684084005,0.319740837207433,0.1,1
2021,3625.47590386014,2268.26020118733,5794.78294535617,8.19574084249529,0.239276058525869,0.1,1
2022,2916.8149047501,1881.25986145559,4522.39978265926,7.97824751387778,0.223754388796842,0.1,1
2023,2239.19117698318,1410.9066538428,3553.72704028508,7.71386999793945,0.235658516150047,0.1,1
2003,1342.94630111296,724.517519281608,2489.24935515877,7.20262121144459,0.314860514601744,0.1,10
2004,756.599270017263,416.832083781932,1373.31668473517,6.62883374737856,0.304163896969599,0.1,10
2005,1266.52285229963,793.446980966534,2021.66014097524,7.14403051294229,0.238598155667252,0.1,10
2006,1033.20295657246,615.182674949759,1735.27050246864,6.94041892278598,0.264545507333855,0.1,10
2007,577.150868218805,336.47095975897,989.990711009172,6.35810370238069,0.275307027139858,0.1,10
2008,1122.0653868699,685.352553742262,1837.05557896698,7.02292636145224,0.251531651848431,0.1,10
2009,834.424646424421,505.262520273434,1378.02520991211,6.72674244115112,0.255955879178558,0.1,10
2010,759.186503680609,458.245179813806,1257.7636879999,6.63224747011006,0.257577744341257,0.1,10
2011,965.31124079455,575.358815710852,1619.55594693209,6.87245057865836,0.264013374349483,0.1,10
2012,1468.38013686314,854.224666542492,2524.09033686802,7.29191512446986,0.27639328782362,0.1,10
2013,1952.16483497623,1152.21593523937,3307.49421732835,7.57669420755549,0.269011035018893,0.1,10
2014,3285.57568326067,2106.50929802936,5124.5952631363,8.09729716161078,0.226794813443997,0.1,10
2015,2938.23225892672,1857.25408793037,4648.37248898885,7.98556340702204,0.2340395188608,0.1,10
2016,3707.34036187767,2159.16215964084,6365.60459224308,8.21807001492664,0.275818577696404,0.1,10
2017,3761.95024121891,2422.12394812031,5842.91717539472,8.2326927830906,0.224643252540662,0.1,10
2018,1382.30132851521,842.543032782549,2267.8449509036,7.23150501856021,0.252596621191272,0.1,10
2019,887.569803041028,418.600592814431,1881.93750508977,6.78848716957055,0.383461098930594,0.1,10
2021,1518.61707086542,857.105299803599,2690.68200657763,7.32555537790219,0.291839340475091,0.1,10
2022,2407.87456213503,1433.10040212382,4045.67600314998,7.78649971293525,0.264751917569472,0.1,10
2023,3478.23572449701,2123.18522239079,5698.10096056728,8.15428046849363,0.251845324147814,0.1,10
2003,823.846692807834,469.890975532556,1444.42734291964,6.7139844601819,0.286476569859043,0.1,2
2004,653.859604394851,388.908114116848,1099.31463690402,6.4828926562327,0.265081172465934,0.1,2
2005,1133.6642275862,716.908972909524,1792.68865291607,7.03321034483974,0.233811167659274,0.1,2
2006,805.856815475195,482.947978070534,1344.66906692998,6.6919060784315,0.261227828917416,0.1,2
2007,1246.87862347913,813.077778996687,1912.12494284087,7.12839860612243,0.218152902502616,0.1,2
2008,1223.42082693219,796.7840000755,1878.499718405,7.10940617047604,0.218791032904834,0.1,2
2009,627.435738044331,379.171427094649,1038.25229762623,6.44164125627062,0.256970456187099,0.1,2
2010,1434.90375326932,910.595747911617,2261.10080776065,7.26885305505191,0.232021611261709,0.1,2
2011,1798.25596452054,1136.49300873209,2845.35363533945,7.4945725655892,0.23412168668027,0.1,2
2012,2244.77841907648,1453.27851243821,3467.35337213331,7.716362095562,0.221833040212677,0.1,2
2013,3174.17863159769,2016.27787566989,4997.0344399796,8.06280417914912,0.231532685234023,0.1,2
2014,1993.53991406495,1226.86873218353,3239.30448687607,7.59766718872528,0.247681455527796,0.1,2
2015,4288.2999829816,2803.67610599997,6559.07317706412,8.36364565902137,0.216819764191149,0.1,2
2016,2150.02927477773,1360.50772375973,3397.72116076399,7.6732367372047,0.233485668848654,0.1,2
2017,2932.89740448197,1876.50547230948,4583.99259269436,7.9837460886459,0.227850897958108,0.1,2
2018,2183.17677034911,1405.53917968748,3391.05510502505,7.68853632915298,0.224677630145317,0.1,2
2019,957.038352643067,545.280034101797,1679.72849022153,6.86384346655701,0.287017508614145,0.1,2
2021,3289.40822546692,1999.52061872635,5411.40029886846,8.098462956902,0.253984369434192,0.1,2
2022,2815.26645447601,1782.83496312731,4445.574253152,7.94281219132553,0.233092109187719,0.1,2
2023,3131.34763610623,1980.03216596613,4952.1104690558,8.04921874553866,0.233856530099536,0.1,2
2003,754.007277795951,439.79388184414,1292.71233284401,6.62540202021065,0.275053958981916,0.1,3
2004,1139.39350210481,668.301849777564,1942.56166292336,7.03825138412044,0.27220471698995,0.1,3
2005,1105.16117146726,657.460732333291,1857.7249634123,7.00774645984728,0.264985185627133,0.1,3
2006,761.457686191849,448.822204277414,1291.86524716202,6.6352346043985,0.269702801077989,0.1,3
2007,966.35448031317,569.351483996472,1640.183626231,6.87353072374625,0.269919632294828,0.1,3
2008,606.597590945632,380.98225184384,965.820941947361,6.40786562384144,0.237306826327192,0.1,3
2009,702.058716545609,421.768220004077,1168.61920386724,6.55401704233089,0.259984940998511,0.1,3
2010,1312.8584892402,866.924343631153,1988.17512212275,7.17996209183049,0.211743881203368,0.1,3
2011,1361.84293376094,847.346416265731,2188.73431294833,7.21659415976657,0.242088405920909,0.1,3
2012,1646.21878506244,1041.36935541633,2602.37760425455,7.40623629164002,0.233649435035473,0.1,3
2013,2076.65442085847,1287.08297991215,3350.59483419274,7.63851342623812,0.244075783554002,0.1,3
2014,6242.35273864732,4099.4771544362,9505.3506205127,8.7391124317511,0.214543590502461,0.1,3
2015,3408.56534416022,2180.29786493735,5328.77543580218,8.13404676156238,0.227978668661856,0.1,3
2016,3500.83314878545,2363.51094065002,5185.43516124551,8.16075626166001,0.200438776188033,0.1,3
2017,4865.64733865271,3147.31399674046,7522.13603366455,8.48995504612863,0.22227468512062,0.1,3
2018,1383.89898822097,824.367999085269,2323.20566994853,7.23266014812458,0.264312569601379,0.1,3
2019,1255.93892406307,698.966011273299,2256.73717396245,7.13563871850748,0.299003760715153,0.1,3
2021,3284.88917535042,2127.79332669098,5071.214745802,8.09708819377441,0.221558902291366,0.1,3
2022,1698.60341833911,1040.68307213005,2772.46132858471,7.4375616737889,0.249968418293263,0.1,3
2023,2802.92453295535,1807.68066513214,4346.11382916389,7.93841862713318,0.223789175978833,0.1,3
2003,924.756483052309,497.806539461435,1717.88533327117,6.82953044128794,0.315984844416219,0.1,4
2004,717.24668009012,437.597412729963,1175.60749934725,6.57541982618589,0.252106922066851,0.1,4
2005,1151.77206376769,716.347523292437,1851.8649729932,7.04905696036594,0.242296056038338,0.1,4
2006,768.869677767858,455.773523024149,1297.04897614144,6.64492148540132,0.266803606302416,0.1,4
2007,736.608788963972,424.479525022153,1278.25366359108,6.60205693573991,0.281226169798458,0.1,4
2008,770.744219405463,453.775236260569,1309.12091334535,6.64735656677766,0.270287908257819,0.1,4
2009,712.904377934817,408.187301542248,1245.0966753703,6.56934729912705,0.284505818502465,0.1,4
2010,1102.70942469886,680.586248170932,1786.64802379945,7.00552554365733,0.24621421161349,0.1,4
2011,2120.02552414063,1338.24695401248,3358.50435491882,7.65918340728256,0.234732687813727,0.1,4
2012,1977.03899782168,1246.20600616518,3136.46634631102,7.58935554873311,0.235461739445802,0.1,4
2013,2694.83586554088,1577.65471227949,4603.12404589006,7.89909257816407,0.273167220640616,0.1,4
2014,1879.18583567692,1155.31710389998,3056.59752901441,7.53859389589448,0.248200357570972,0.1,4
2015,3591.04973478257,2311.91895056822,5577.89372093365,8.18619984397216,0.22468100141152,0.1,4
2016,2662.47000282758,1631.02485646743,4346.19159104045,7.88700954341058,0.250027911101579,0.1,4
2017,3079.47563604494,1871.69785715851,5066.61380025895,8.03251461343642,0.254042102019965,0.1,4
2018,1393.83955876821,791.242966200002,2455.3630156329,7.23981749055618,0.288889189333164,0.1,4
2019,1483.60035210601,796.213058636465,2764.42339257593,7.30222708294758,0.317536585479974,0.1,4
2021,3938.15720443172,2477.24840577989,6260.60839544062,8.27846817826815,0.236516830171461,0.1,4
2022,2290.78649815096,1290.86633528531,4065.25651546322,7.7366504865574,0.292649069775208,0.1,4
2023,2245.25877399308,1304.40472763197,3864.74140686745,7.71657606034571,0.277083658856972,0.1,4
2003,786.1425741319,419.0745177256,1474.72614230244,6.66713816800498,0.320969886312899,0.1,5
2004,1161.64063230378,692.752445827796,1947.89490350577,7.05758862305912,0.263737452725114,0.1,5
2005,1351.50472768531,883.472841787046,2067.48294068787,7.20897386381272,0.216898532435054,0.1,5
2006,1063.07023223393,680.167869926395,1661.52852645656,6.9689164459938,0.227849498395964,0.1,5
2007,1213.11220516624,772.684678615337,1904.58185991277,7.10094440686404,0.230143698584867,0.1,5
2008,574.49286501563,336.093673032877,981.994242782372,6.35348767774368,0.273524295382566,0.1,5
2009,814.550025657166,510.777251329216,1298.98452323681,6.70263584501076,0.238117772011529,0.1,5
2010,1638.05429961949,1133.40522428406,2367.39855350219,7.40126441381442,0.187902718418923,0.1,5
2011,1905.61668468097,1293.30586532095,2807.82376876742,7.55256095416775,0.197760801553165,0.1,5
2012,2244.33741426137,1482.99496056613,3396.53914072003,7.7161656182008,0.211405249010559,0.1,5
2013,2144.92491648083,1263.79027092269,3640.4006291181,7.67085982677782,0.269897403683748,0.1,5
2014,2547.66505201086,1689.35227243855,3842.0626195793,7.84293255279629,0.209612060391511,0.1,5
2015,2700.40102461754,1672.25709716435,4360.67259401727,7.90115556859941,0.244507564582325,0.1,5
2016,2939.57020068085,1932.03799069811,4472.5171069791,7.98601865940128,0.21413045556458,0.1,5
2017,4026.95549812881,2722.92941640175,5955.48694219891,8.300765909916,0.199647719002704,0.1,5
2018,1826.80461991863,1200.65780335632,2779.48896848644,7.51032361027558,0.214135952770777,0.1,5
2019,1143.97869787935,692.863687992018,1888.80913213163,7.04226755103154,0.255838512120005,0.1,5
2021,1981.24149506788,1281.06618941554,3064.10230338656,7.59147894490616,0.222468870688452,0.1,5
2022,3134.97382061585,1975.67844815882,4974.52450579988,8.0503761023514,0.235570127610407,0.1,5
2023,1944.0546730752,1251.73157079874,3019.29635720054,7.57253110863479,0.224620443923918,0.1,5
2003,939.51053534292,509.942893873914,1730.93900635585,6.84535903256704,0.31177118086572,0.1,6
2004,1304.88727070752,769.20945400768,2213.61136473698,7.173871933426,0.269652214660119,0.1,6
2005,1492.30880734226,963.817606749918,2310.58818688827,7.30807973477772,0.223053926568698,0.1,6
2006,1379.19761924939,777.167268545457,2447.58901967565,7.22925717372565,0.292659240790913,0.1,6
2007,1045.1698717108,626.379715148606,1743.95823222469,6.95193470784906,0.261218038167559,0.1,6
2008,983.270252510988,619.226816443113,1561.33481916451,6.89088400861923,0.235929018451245,0.1,6
2009,1075.32153843794,676.21759443107,1709.97681892823,6.98037500136229,0.236667660997385,0.1,6
2010,1153.10877718781,731.855404224989,1816.83409639591,7.05021685856651,0.231960333412099,0.1,6
2011,2516.9887580107,1592.97617218818,3976.97876375006,7.83081852870131,0.233401827959273,0.1,6
2012,2854.06545576892,1792.60077655213,4544.06231011505,7.95649973252113,0.23728851349701,0.1,6
2013,1379.07043016608,753.916543821494,2522.60713330195,7.22916494985101,0.308109372069733,0.1,6
2014,3934.56282736906,2663.66671206779,5811.83245350422,8.27755505617111,0.199032300336736,0.1,6
2015,2233.27990183514,1452.94752228333,3432.70423979442,7.71122659187332,0.219329053569554,0.1,6
2016,3818.36961001071,2354.46963969934,6192.45465425292,8.2475788068319,0.246692304363954,0.1,6
2017,3574.06291076199,2276.85416276486,5610.33987111965,8.18145829790413,0.230059473246205,0.1,6
2018,3718.3396350175,2378.28320629084,5813.45804602687,8.22103251295751,0.228013551271306,0.1,6
2019,291.033407937526,117.804664098981,718.990586523501,5.67343806449105,0.46144225497064,0.1,6
2021,2556.86332269162,1630.69558426389,4009.05608257762,7.84653652164967,0.22948104333117,0.1,6
2022,1266.33632343552,672.828384667604,2383.38292586217,7.14388322574509,0.322655382497156,0.1,6
2023,3054.35879135952,1971.27879125917,4732.51559734791,8.02432496131405,0.223415951013687,0.1,6
2003,738.552702712687,396.885196410471,1374.35233064245,6.60469246396497,0.316865721923386,0.1,7
2004,1198.4556036822,690.863607106427,2078.98609685486,7.08878900995278,0.28104934315548,0.1,7
2005,1127.01146646539,669.095598924877,1898.31594705658,7.02732468831401,0.266024143435295,0.1,7
2006,1098.74389043011,633.217240481204,1906.51495186719,7.00192288851076,0.281183398101754,0.1,7
2007,1242.77018820394,737.637852345321,2093.81573325962,7.12509818962573,0.266150401006942,0.1,7
2008,1433.76753131527,890.832210269044,2307.6055290289,7.26806089596448,0.242813034411666,0.1,7
2009,1100.34102199271,688.353904255142,1758.90680243921,7.00337543073357,0.239327014698559,0.1,7
2010,2073.43585907409,1315.52141071017,3268.00934343854,7.63696234555671,0.232133841783418,0.1,7
2011,2076.49032944272,1365.78805472608,3157.01405745118,7.63843440591704,0.213752670316125,0.1,7
2012,1532.4235254802,940.928919507534,2495.74841707941,7.33460576475786,0.248850575346914,0.1,7
2013,2970.02079398476,1765.63103332249,4995.96084925106,7.99632423311391,0.265342019437147,0.1,7
2014,3935.46671942105,2588.79603060615,5982.66457324729,8.27778476104085,0.213696052976733,0.1,7
2015,3543.95328833999,2160.15042857193,5814.22698336752,8.17299813114714,0.252588819968892,0.1,7
2016,3828.82117395848,2462.38625056592,5953.52235206136,8.2503122473202,0.225221520133211,0.1,7
2017,3179.2038206225,1951.18251498446,5180.10839859394,8.06438607355277,0.249083754447587,0.1,7
2018,2809.66304890322,1766.73262432515,4468.25192430438,7.9408198437155,0.236704706145669,0.1,7
2019,1749.87675033784,818.095019197464,3742.92541760827,7.46730063605899,0.387926590392253,0.1,7
2021,2223.27617461342,1359.57564544985,3635.66158686828,7.70673714134141,0.250927690807187,0.1,7
2022,1871.13823027021,1103.9200083487,3171.56881866462,7.53430220396741,0.269229149169885,0.1,7
2023,2207.3375080586,1351.06426072854,3606.29691429703,7.69954232073536,0.250460938299053,0.1,7
2003,908.601007822418,567.329277269203,1455.16162217057,6.81190606252832,0.240293288628167,0.1,8
2004,896.356022341682,571.275653495955,1406.42107513495,6.79833768041725,0.229833729149522,0.1,8
2005,1178.99538823711,737.446744164526,1884.92272355094,7.07241798894118,0.239404457601304,0.1,8
2006,1245.27968804071,792.40755797312,1956.97464750755,7.12711543269767,0.230636676697253,0.1,8
2007,1105.85256505681,697.116307814907,1754.24083748077,7.00837186854616,0.235422490500574,0.1,8
2008,916.416838050323,571.463648707117,1469.59447545293,6.82047132453791,0.240958738968138,0.1,8
2009,595.063969047997,366.823548775324,965.317326113213,6.38866891077177,0.24683513354289,0.1,8
2010,1191.73726568878,797.713596572473,1780.38548739006,7.08316740863978,0.2048087517501,0.1,8
2011,1817.93722119728,1182.3367736978,2795.22367377472,7.50545774234651,0.21949876111471,0.1,8
2012,2229.0295188944,1438.16862566885,3454.79139749128,7.70932157640917,0.223573384222299,0.1,8
2013,2729.45743995606,1753.34486230783,4248.98608179427,7.91185812848477,0.225809014590572,0.1,8
2014,2189.36519954919,1439.28852131577,3330.33989086158,7.69136691757254,0.214015529279978,0.1,8
2015,2577.10412931773,1678.26537627242,3957.3393977166,7.85442161702179,0.218833404869225,0.1,8
2016,3073.89317889595,2089.53615395242,4521.96974787458,8.03070017362356,0.196943817462357,0.1,8
2017,2931.25469088831,1912.79207789381,4491.99584322603,7.98318583249636,0.217793062197042,0.1,8
2018,1063.78878801511,639.965368771696,1768.29347450264,6.96959214269178,0.25927929446908,0.1,8
