"Year","est","lwr","upr","log_est","se","effort","replicate"
2003,3373.78349577255,2282.104125342,4987.68436985384,8.12379009263344,0.199461284672489,0.1,1
2004,2921.52133730544,1957.70441407858,4359.84455209406,7.97985976551238,0.204254731292737,0.1,1
2005,3102.75568692466,2248.63236354115,4281.31027945474,8.04004592687385,0.164272638400427,0.1,1
2006,2611.38469381328,1810.26738254321,3767.02916090879,7.86763589366139,0.186945300036114,0.1,1
2007,3843.49564865365,2787.85332936075,5298.86513240883,8.25413755665732,0.163834844174144,0.1,1
2008,1852.11426269277,1289.5644077276,2660.0666252217,7.52408311022129,0.18470917892992,0.1,1
2009,2167.10885270111,1553.19744940625,3023.67273475167,7.68114923225498,0.169941018906571,0.1,1
2010,2329.02284301945,1681.70151293893,3225.51140114446,7.75320407791673,0.166147294189347,0.1,1
2011,2786.92966544043,1991.41931884201,3900.22175973884,7.93269579050775,0.17147912110426,0.1,1
2012,3652.4929612267,2631.68469244681,5069.26413718928,8.2031652165119,0.167240689895895,0.1,1
2013,2461.89932792789,1715.96201171917,3532.09934687278,7.80868841554601,0.184166278708762,0.1,1
2014,4338.49781713368,3171.51944008977,5934.87243727598,8.37528344209493,0.159858739186635,0.1,1
2015,3801.48574586914,2628.27361574825,5498.39780358334,8.2431472550545,0.18830180972674,0.1,1
2016,5459.05854676899,3875.00078817561,7690.66171753794,8.60503162653996,0.174865703684248,0.1,1
2017,3324.65387002145,2399.64723854056,4606.22843971478,8.10912084842958,0.166351948000049,0.1,1
2018,4574.95926181862,3265.11337142657,6410.26814886837,8.42835307314946,0.172096687208375,0.1,1
2019,1603.79837919856,950.126740728185,2707.18540049572,7.38013008177169,0.267114446445114,0.1,1
2021,3675.17183497327,2607.55433622974,5179.90663853641,8.20935516836968,0.175098698741339,0.1,1
2022,4751.39209977621,3400.20597552557,6639.51744344728,8.46619292772809,0.170718258376765,0.1,1
2023,5779.02375180406,3992.7593262863,8364.41988978547,8.66199004632907,0.188652555815676,0.1,1
2003,2728.56082570401,1843.29448166612,4038.98793904983,7.91152957910422,0.200115845712304,0.1,10
2004,1608.82828439456,1034.7368011329,2501.4365448625,7.38326141935472,0.225187323796908,0.1,10
2005,2944.17798545032,2122.06140972673,4084.79413945261,7.98758493503569,0.167065149825482,0.1,10
2006,3003.55787276976,2069.72228292228,4358.72965639611,8.00755282254798,0.189994872898685,0.1,10
2007,4188.51161804492,2944.7843330657,5957.52611745025,8.3401007273861,0.179753234405118,0.1,10
2008,1400.13710616335,949.407204435721,2064.85047395511,7.24432544378205,0.198211626513927,0.1,10
2009,2463.69459006148,1679.85399713688,3613.28487085393,7.80941736813243,0.195388899489254,0.1,10
2010,2404.76341052505,1715.07506435528,3371.79822667058,7.78520680369876,0.172449431938169,0.1,10
2011,2530.97486858249,1764.21300842431,3630.98659561379,7.8363598310539,0.184135959409947,0.1,10
2012,3217.45087499365,2277.59226989498,4545.14632396198,8.07634467128648,0.176263713018697,0.1,10
2013,2828.74065043371,1909.00299184857,4191.59828537916,7.94758689174872,0.200641697445825,0.1,10
2014,2984.9562960816,2095.81799117415,4251.30623319325,8.00134038454083,0.180432488521082,0.1,10
2015,2469.14376101184,1792.45950424309,3401.28794994348,7.81162671406233,0.163412560712968,0.1,10
2016,3940.44486817354,2719.03613674779,5710.51835217131,8.27904890662199,0.189297443498519,0.1,10
2017,5461.04227841958,3932.6332645556,7583.46399484474,8.60539494400455,0.167518599442259,0.1,10
2018,3618.52628451145,2448.22419026993,5348.25712601776,8.19382211820448,0.199342386316662,0.1,10
2019,1544.44430082365,918.349979864332,2597.38471241546,7.34241944879068,0.265229817099954,0.1,10
2021,2735.24954716479,1919.72820230315,3897.21319731061,7.91397795280156,0.180635492230233,0.1,10
2022,2810.48677213699,1958.97750649318,4032.12179321901,7.94111297584396,0.18415391453597,0.1,10
2023,3639.90992885815,2601.19054020308,5093.41552855476,8.19971421550544,0.171426464400494,0.1,10
2003,3680.75674259515,2556.17958229734,5300.08544469461,8.21087364659744,0.186026160342366,0.1,2
