"term","estimate","std.error","conf.low","conf.high","effort","replicate"
"range",0.685818589034586,0.180719722320907,0.409175430886292,1.1494999493166,0.1,1
"sigma_O",2.66372279667605,0.406543987483429,1.97504290443397,3.59253924135138,0.1,1
"sigma_E",0.000117921300695182,0.156623246723535,0,Inf,0.1,1
"range",0.663274433975329,0.177055478430037,0.393072112759481,1.11921695913973,0.1,10
"sigma_O",2.90545810467675,0.477459168594933,2.10540249506305,4.00953585731312,0.1,10
"sigma_E",8.66205747681255e-05,NA,NA,NA,0.1,10
"range",0.963563358898346,0.359747780136994,0.463535439761024,2.00298459830844,0.1,2
"sigma_O",2.6850815161031,0.466315448400196,1.9104256730173,3.77385147715886,0.1,2
"sigma_E",3.56330902025352e-06,NA,NA,NA,0.1,2
"range",1.1495298633,0.385750352188809,0.595498427829274,2.21901325824718,0.1,3
"sigma_O",2.3128228209398,0.388041187842485,1.66467448869392,3.21333055644818,0.1,3
"sigma_E",0.21234872192697,0.766024729505009,0.000180481803364286,249.842249265449,0.1,3
"range",0.980943041583138,0.275761142619422,0.565399436349179,1.70189283711297,0.1,4
"sigma_O",2.46481250624345,0.391118139646079,1.80598710050181,3.36397789842798,0.1,4
"sigma_E",0.000177858055937477,0.185650407755658,0,Inf,0.1,4
"range",0.632537232734674,0.153050993856532,0.393664537449931,1.01635609188325,0.1,5
"sigma_O",2.97467285556312,0.481233022140843,2.16637960392373,4.084546670213,0.1,5
"sigma_E",0.000137795394311498,NA,NA,NA,0.1,5
"range",1.94165178461986,0.631452034355888,1.02647605560515,3.67277115927942,0.1,6
"sigma_O",2.15833006338699,0.427369205154719,1.46410466714869,3.18173199433356,0.1,6
"sigma_E",0.000155829662082967,0.0712854689243037,0,Inf,0.1,6
"range",0.75973094801691,0.23853089959387,0.41059165224311,1.40575462316735,0.1,7
"sigma_O",2.54211879195487,0.414516117921029,1.84671344404155,3.499388588555,0.1,7
"sigma_E",2.81037753681393e-06,NA,NA,NA,0.1,7
"range",1.11471485420202,0.381406864497111,0.570058859875673,2.17975597546128,0.1,8
"sigma_O",2.42094147842586,0.546680654841225,1.55514793289758,3.7687460581596,0.1,8
"sigma_E",5.31311661961562e-05,NA,NA,NA,0.1,8
"range",0.862062714594154,0.249867840405746,0.488448880668943,1.52145322326397,0.1,9
"sigma_O",2.55608107656959,0.425930130058743,1.84389195116484,3.54334778991238,0.1,9
"sigma_E",0.000160661125600873,0.168856559583999,0,Inf,0.1,9
"range",0.583489857664526,0.107073239262638,0.407224285621484,0.836051350615734,0.2,1
