"Year","est","lwr","upr","log_est","se","effort","replicate"
2003,4890.60448829478,3176.24107368021,7530.28869852627,8.49507119206713,0.220217040299783,0.1,1
2004,4395.88313158356,2746.58336120748,7035.57327968576,8.38842372999805,0.239958861280009,0.1,1
2005,4070.1123815356,2733.51281288783,6060.26601383602,8.31142589022634,0.203107346709545,0.1,1
2006,6366.70153887362,4223.32870846189,9597.85308775036,8.7588368026616,0.20942115076036,0.1,1
2007,4498.15615300606,2935.0642628368,6893.68510019276,8.41142284801406,0.217829625449479,0.1,1
2008,5037.12254228168,3414.45941295195,7430.92842448711,8.5245902738757,0.198379059659279,0.1,1
2009,2360.97585689661,1552.03208024321,3591.5539812651,7.76683031123764,0.214039616930382,0.1,1
2010,2738.25746277134,1846.88166388177,4059.84534854472,7.91507703457998,0.200933858430704,0.1,1
2011,3343.11454265125,2307.5136597184,4843.48805399932,8.11465814926455,0.189152589601,0.1,1
2012,3751.93205494618,2588.44526068295,5438.3974653644,8.23002620093927,0.189398129183912,0.1,1
2013,3458.45353224377,2170.00357913214,5511.92677731576,8.14857681213826,0.237806775997897,0.1,1
2014,3599.33216200718,2393.66851599804,5412.274893484,8.18850359668143,0.208126877771032,0.1,1
2015,4566.86996266664,3097.18569861558,6733.95246052874,8.4265833395295,0.1981333349037,0.1,1
2016,5770.91086805842,4015.61733192252,8293.47258323801,8.66058520979156,0.18502321557758,0.1,1
2017,5099.01846298442,3459.71658178383,7515.06335020378,8.5368033419516,0.197892100616905,0.1,1
2018,7252.13443878094,4961.58036760235,10600.141491524,8.88905110986907,0.193662496552488,0.1,1
2019,693.044669346017,369.859535371059,1298.63060912317,6.54109445504334,0.320399334156128,0.1,1
2021,6839.05578946753,4777.62885918583,9789.93669663576,8.83040495861235,0.183016276623281,0.1,1
2022,10311.7255891222,6951.83860825512,15295.4765806978,9.24103693343506,0.201164656607202,0.1,1
2023,10381.8559108663,7270.16812596693,14825.3699620811,9.24781493754556,0.181778973543899,0.1,1
2003,4708.4644009867,3364.92065414497,6588.457587566,8.45711710433678,0.171410008007721,0.1,10
2004,2748.70050040526,1811.65450345249,4170.41683529051,7.91888353366872,0.212701733255349,0.1,10
2005,4625.02954283355,3276.0966343265,6529.38562554967,8.43923803756581,0.175936955010506,0.1,10
2006,4161.79833153156,2880.23161955859,6013.60155715302,8.33370255107792,0.187797612929228,0.1,10
2007,5459.94315974106,3827.46851751387,7788.69353756746,8.60519365838093,0.181245552991918,0.1,10
2008,3142.45801938998,2115.31919965703,4668.34622653146,8.05276058139028,0.201942271692653,0.1,10
2009,2571.46400681644,1788.54224723329,3697.10424709356,7.85223066815665,0.185245489712825,0.1,10
2010,3047.88875567137,2173.91090104345,4273.23211015183,8.02220441865734,0.172412012854414,0.1,10
2011,2592.79023086121,1829.97257061395,3673.58576254176,7.86048988402527,0.177775525359694,0.1,10
2012,3659.22227778031,2557.66122752372,5235.21549066433,8.20500591140595,0.182736712167815,0.1,10
2013,2321.67176052925,1541.34683726971,3497.04533289012,7.75004279159763,0.208999202015251,0.1,10
2014,2742.19661425792,1923.17579483754,3910.01295431904,7.91651456224085,0.181014246515048,0.1,10
2015,3518.20779695476,2504.71296229097,4941.79823752411,8.16570699033959,0.173359088216928,0.1,10
2016,3794.38062584333,2711.82589153588,5309.08875039212,8.24127646856344,0.171380200605587,0.1,10
2017,4239.79965807055,2966.31010215998,6060.02087491987,8.35227129665461,0.182246832047219,0.1,10
2018,5311.18933197419,3775.89777507347,7470.73512061051,8.57757106881244,0.174073409962606,0.1,10
2019,1936.83411233495,1221.26286403903,3071.67808762948,7.56881001819848,0.235294773288103,0.1,10
2021,6826.05833215503,4893.89450129975,9521.06187446583,8.82850267501394,0.169778113583431,0.1,10
2022,8477.45795035805,5914.45267111393,12151.1316932313,9.04516591384099,0.183682800758417,0.1,10
