"term","estimate","std.error","conf.low","conf.high","effort","replicate"
"range",1.13123075264618,0.295750063081272,0.67766061795969,1.88838333203622,0.1,1
"sigma_O",2.41793400438276,0.347982960755949,1.82365072942376,3.20587969791662,0.1,1
"sigma_E",0.000246389530975331,NA,NA,NA,0.1,1
"range",1.03501332525001,0.282801080295145,0.605854772890968,1.76816727601791,0.1,10
"sigma_O",2.8429374635718,0.392378570269218,2.16912992047401,3.72605317251531,0.1,10
"sigma_E",0.000345030699034082,0.224547064970286,0,Inf,0.1,10
"range",0.850490686944529,0.199395952328041,0.537164064264533,1.34658004267233,0.1,2
"sigma_O",2.67958003395113,0.331339315364276,2.10287145487978,3.41444986648509,0.1,2
"sigma_E",0.000217362984874097,0.516120642575943,0,Inf,0.1,2
"range",1.09860188793355,0.312176863490217,0.629454500599617,1.91741596417446,0.1,3
"sigma_O",2.77974508362207,0.431684632632731,2.0502950612487,3.76871742802477,0.1,3
"sigma_E",1.17203282523805e-05,0.0173562495522802,0,Inf,0.1,3
"range",0.944090824464785,0.247450522819846,0.564819860750954,1.57803849824538,0.1,4
"sigma_O",2.87413343487148,0.390489656013853,2.20221520531984,3.75106074169823,0.1,4
"sigma_E",2.98773354397323e-05,NA,NA,NA,0.1,4
"range",1.32347271129486,0.398775615572572,0.733228639591461,2.38885924930333,0.1,5
"sigma_O",2.35496659252094,0.374999293410956,1.72361964854095,3.2175704521495,0.1,5
"sigma_E",0.377657779766937,0.259032136026116,0.0984615830758779,1.44853854836541,0.1,5
"range",0.988614556445606,0.259754361663206,0.59071409903824,1.65453769058062,0.1,6
"sigma_O",2.5786752781003,0.351596934645319,1.97395442691244,3.36865233524493,0.1,6
"sigma_E",0.000705870360942685,0.442131471312185,0,Inf,0.1,6
"range",1.0527322251287,0.283682886800193,0.620786270457649,1.78522817040948,0.1,7
"sigma_O",2.36956493012952,0.318222408264868,1.82119268278047,3.08305541263618,0.1,7
"sigma_E",0.255284274503021,0.40919324804109,0.0110316251582396,5.90756664351109,0.1,7
"range",1.51572443159461,0.535554539493463,0.758338619022336,3.02954444743255,0.1,8
"sigma_O",3.00046435428509,0.540229182196596,2.1082926227666,4.27017874279785,0.1,8
"sigma_E",0.00026376004304773,0.318996313715313,0,Inf,0.1,8
"range",0.78246778623926,0.171280876656591,0.509494953799747,1.2016916594287,0.1,9
"sigma_O",2.57770337664836,0.309361208618732,2.03740140888207,3.26128894827371,0.1,9
"sigma_E",0.000232131321251558,0.214514288896699,0,Inf,0.1,9
"range",1.07517722963543,0.240508090189376,0.693543079601801,1.66681221271827,0.2,1
"sigma_O",2.50267230781114,0.309166847156736,1.96449564134546,3.1882833173379,0.2,1
"sigma_E",0.000137120223259893,0.153377314563038,0,Inf,0.2,1
"range",0.783223730752466,0.149386188270519,0.538932127393462,1.13824984860469,0.2,10
"sigma_O",2.86413084763334,0.295752874393392,2.3393595389475,3.50662024190417,0.2,10
"sigma_E",0.416209187204944,0.19761902148363,0.164117631237883,1.05552393248175,0.2,10
"range",0.741008603939201,0.141230968219104,0.510023623190522,1.0766045456424,0.2,2
"sigma_O",2.62083041770253,0.262508935712127,2.15367637032715,3.18931487246221,0.2,2
"sigma_E",0.000204523287791334,0.210146240020248,0,Inf,0.2,2
"range",0.823696609993718,0.159577879281431,0.56345698091732,1.20413115516036,0.2,3
"sigma_O",2.80310498537421,0.315990462809091,2.24742131530919,3.49618360629848,0.2,3
"sigma_E",0.332000553655443,0.222286388707435,0.0893775739891961,1.23324412050885,0.2,3
"range",0.749903273846885,0.157644762780316,0.496667281816841,1.1322568260771,0.2,4
"sigma_O",2.77481276922012,0.303100591635342,2.24003368550953,3.43726344565021,0.2,4
"sigma_E",0.226185511803685,0.340284997716302,0.0118542437140444,4.31574438521819,0.2,4
"range",1.30658618021556,0.331056773008417,0.795178343892354,2.14689881765868,0.2,5
"sigma_O",2.85253062466175,0.475193850728835,2.05793381651226,3.95393228846565,0.2,5
"sigma_E",0.678070895459596,0.116277271542036,0.484516934941224,0.948945446716229,0.2,5
"range",0.977783439572387,0.202551148221496,0.65149846592467,1.46747921093732,0.2,6
"sigma_O",2.5670952603621,0.299018465893217,2.04311571728614,3.22545513208962,0.2,6
"sigma_E",0.363443392805335,0.188829142840971,0.131277419759883,1.00619817189779,0.2,6
"range",1.02680164757131,0.21775690084058,0.677594225253284,1.55597787608218,0.2,7
