"term","estimate","std.error","conf.low","conf.high","effort","replicate"
"factor(Year)2003",-5.83703607110701,1.02891906787658,-7.85368038715162,-3.82039175506239,0.1,1
"factor(Year)2004",-3.57357283643442,0.962386405073554,-5.45981552958957,-1.68733014327928,0.1,1
"factor(Year)2005",-3.88175877272246,0.904046532424491,-5.65365741662278,-2.10986012882214,0.1,1
"factor(Year)2006",-4.42277119751666,0.942806456246843,-6.27063789615231,-2.57490449888101,0.1,1
"factor(Year)2007",-3.93063028252714,0.902101875173532,-5.69871746825331,-2.16254309680097,0.1,1
"factor(Year)2008",-4.63453808006275,1.01098697985825,-6.61603614942384,-2.65304001070166,0.1,1
"factor(Year)2009",-4.39207456973614,0.925502488494025,-6.20602611478663,-2.57812302468566,0.1,1
"factor(Year)2010",-3.99792543505684,0.901599382112937,-5.76502775248176,-2.23082311763192,0.1,1
"factor(Year)2011",-3.99348075544419,0.925029842510873,-5.80650593139026,-2.18045557949812,0.1,1
"factor(Year)2012",-4.66764396905978,0.954119760526311,-6.53768433662933,-2.79760360149023,0.1,1
"factor(Year)2013",-3.73724490606349,0.930812658761409,-5.56160419358983,-1.91288561853716,0.1,1
"factor(Year)2014",-4.58530446720782,0.923086994088643,-6.3945217302189,-2.77608720419674,0.1,1
"factor(Year)2015",-3.78086588616889,0.90844879823553,-5.56139281250922,-2.00033895982856,0.1,1
"factor(Year)2016",-3.86629590748875,0.92876356982582,-5.68663905450021,-2.04595276047729,0.1,1
"factor(Year)2017",-4.43742015450755,0.932443711230369,-6.26497624612994,-2.60986406288516,0.1,1
"factor(Year)2018",-3.92591678182561,0.947878489148585,-5.78372448227707,-2.06810908137414,0.1,1
"factor(Year)2019",-4.71879211523581,1.09211257399737,-6.85929342733398,-2.57829080313763,0.1,1
"factor(Year)2021",-3.61857458106092,0.924044028614216,-5.42966759727408,-1.80748156484776,0.1,1
"factor(Year)2022",-3.72321536119854,0.920509536085825,-5.52738089935243,-1.91904982304465,0.1,1
"factor(Year)2023",-3.56114657984826,0.942607162226485,-5.40862266938168,-1.71367049031485,0.1,1
"Pass",-0.138100778372287,0.244413731833714,-0.617142890093397,0.340941333348824,0.1,1
"Depth_m",0.00973459009291954,0.00101513951538627,0.00774495320347902,0.0117242269823601,0.1,1
"factor(Year)2003",-7.73353756985339,1.35084769388473,-10.3811503984665,-5.08592474124033,0.1,10
"factor(Year)2004",-5.0395042354123,1.257725496119,-7.50460091024332,-2.57440756058129,0.1,10
"factor(Year)2005",-6.84377333781097,1.28635129695328,-9.36497555130579,-4.32257112431616,0.1,10
"factor(Year)2006",-6.97824619077767,1.23366395414444,-9.39618310992605,-4.5603092716293,0.1,10
"factor(Year)2007",-5.53006671215664,1.18133297736907,-7.84543680154949,-3.21469662276379,0.1,10
"factor(Year)2008",-6.55416242216557,1.25493900093585,-9.01379766679451,-4.09452717753664,0.1,10
"factor(Year)2009",-5.72765252139804,1.14912181025404,-7.97988988334544,-3.47541515945065,0.1,10
"factor(Year)2010",-5.98652138411317,1.2060946649819,-8.35042348942359,-3.62261927880275,0.1,10
"factor(Year)2011",-6.06512054259804,1.19359384834094,-8.40452149751484,-3.72571958768124,0.1,10
"factor(Year)2012",-6.00555817464968,1.19743164514528,-8.35248107308297,-3.65863527621639,0.1,10
"factor(Year)2013",-6.47882505625537,1.23357061702378,-8.89657903800883,-4.06107107450192,0.1,10
"factor(Year)2014",-6.26262777305831,1.23686376895481,-8.6868362139922,-3.83841933212442,0.1,10
"factor(Year)2015",-6.66718083776609,1.22512896703342,-9.06838948956836,-4.26597218596382,0.1,10
"factor(Year)2016",-6.62856581470745,1.2522910071239,-9.08301108683368,-4.17412054258122,0.1,10
"factor(Year)2017",-6.05867253765741,1.23065198053959,-8.47070609701789,-3.64663897829693,0.1,10
"factor(Year)2018",-7.11981453768237,1.29429093560539,-9.65657815698559,-4.58305091837915,0.1,10
"factor(Year)2019",-5.85486564010353,1.33926187233455,-8.47977067574692,-3.22996060446014,0.1,10
"factor(Year)2021",-4.53055165971347,1.1306388027865,-6.7465629926985,-2.31454032672844,0.1,10
"factor(Year)2022",-5.78348821533914,1.23047077156502,-8.1951666116358,-3.37180981904249,0.1,10
"factor(Year)2023",-5.49455009341464,1.1771523965004,-7.80172639487044,-3.18737379195884,0.1,10
"Pass",0.31415974552137,0.286372887628485,-0.247120800379197,0.875440291421936,0.1,10
"Depth_m",0.0144413285968925,0.00183273448374137,0.0108492350155348,0.0180334221782502,0.1,10
"factor(Year)2003",-3.98524997009833,0.975081020916871,-5.89637365310395,-2.07412628709272,0.1,2
"factor(Year)2004",-3.44248504645187,0.967669492700819,-5.33908240108362,-1.54588769182012,0.1,2
"factor(Year)2005",-4.15416811409936,0.937971413988551,-5.99255830404502,-2.31577792415369,0.1,2
"factor(Year)2006",-4.51450689917255,0.962575150130748,-6.40111952584206,-2.62789427250305,0.1,2
"factor(Year)2007",-3.78946980595627,0.930546515180021,-5.61330746164837,-1.96563215026418,0.1,2
"factor(Year)2008",-4.32316384134186,0.977121328171715,-6.23828645308436,-2.40804122959935,0.1,2
"factor(Year)2009",-4.17178276213941,0.908924151959046,-5.95324136465775,-2.39032415962107,0.1,2
"factor(Year)2010",-3.84653360712012,0.916949983711039,-5.64372255081834,-2.04934466342189,0.1,2
"factor(Year)2011",-3.93703945969606,0.938863449804675,-5.77717800771425,-2.09690091167787,0.1,2
"factor(Year)2012",-4.17284308683682,0.945522806085578,-6.0260337333258,-2.31965244034784,0.1,2
"factor(Year)2013",-3.92270050763359,1.00910589798262,-5.90051172426647,-1.94488929100071,0.1,2
"factor(Year)2014",-4.01892644736199,0.938126000711288,-5.85761962171671,-2.18023327300727,0.1,2
"factor(Year)2015",-4.54880362573998,0.92938774708339,-6.37037013769625,-2.72723711378372,0.1,2
"factor(Year)2016",-4.27963700611758,0.947219720522098,-6.13615354378699,-2.42312046844818,0.1,2
"factor(Year)2017",-4.63310375898704,0.931898626911442,-6.45959150497579,-2.80661601299828,0.1,2
"factor(Year)2018",-3.94882922110341,0.936923359425502,-5.78516526185167,-2.11249318035515,0.1,2
"factor(Year)2019",-3.64204249061528,1.0300849838638,-5.66097196000385,-1.62311302122671,0.1,2
"factor(Year)2021",-4.15752867231475,0.96035971549131,-6.03979912688085,-2.27525821774865,0.1,2
"factor(Year)2022",-4.36272783162709,0.957963715703781,-6.24030221290267,-2.48515345035151,0.1,2
"factor(Year)2023",-3.61271531187814,0.934334279895358,-5.4439768499942,-1.78145377376207,0.1,2
"Pass",-0.298219896239037,0.234281369283761,-0.757402942283937,0.160963149805864,0.1,2
"Depth_m",0.00935985079339816,0.000940009466369824,0.00751746609418659,0.0112022354926097,0.1,2
"factor(Year)2003",-6.36004028075382,1.34817439647902,-9.00241354273173,-3.71766701877592,0.1,3
"factor(Year)2004",-6.45338143133761,1.39617983868625,-9.1898436311036,-3.71691923157162,0.1,3
"factor(Year)2005",-6.52483618629775,1.35785820868602,-9.18618937143442,-3.86348300116109,0.1,3
"factor(Year)2006",-6.87659356999266,1.36876111712759,-9.55931606300155,-4.19387107698376,0.1,3
"factor(Year)2007",-5.6787351910276,1.31068182040375,-8.24762435421034,-3.10984602784486,0.1,3
"factor(Year)2008",-5.62862442126853,1.30423167499269,-8.18487153175055,-3.07237731078651,0.1,3
"factor(Year)2009",-7.27491621720725,1.4140283704322,-10.0463608963722,-4.50347153804227,0.1,3
"factor(Year)2010",-6.97966168197813,1.38248279156041,-9.68927816268293,-4.27004520127333,0.1,3
"factor(Year)2011",-6.20196442386232,1.3343395938907,-8.81722197103389,-3.58670687669075,0.1,3
"factor(Year)2012",-6.3569956488181,1.39539345052327,-9.09191655610677,-3.62207474152942,0.1,3
"factor(Year)2013",-6.42246942105383,1.41253319881577,-9.1909836176999,-3.65395522440776,0.1,3
"factor(Year)2014",-6.81414821250714,1.35942325707999,-9.47856883613005,-4.14972758888423,0.1,3
"factor(Year)2015",-6.82107574929797,1.37816730252303,-9.52223402691383,-4.11991747168212,0.1,3
"factor(Year)2016",-6.11229631351518,1.31746750298405,-8.69448517016583,-3.53010745686453,0.1,3
"factor(Year)2017",-6.43927016660146,1.36152390872395,-9.1078079917906,-3.77073234141233,0.1,3
"factor(Year)2018",-6.11649034105327,1.31659174197312,-8.69696273766343,-3.53601794444311,0.1,3
"factor(Year)2019",-5.29980588760014,1.36086687077381,-7.96705594207053,-2.63255583312975,0.1,3
"factor(Year)2021",-5.79077110801278,1.30700019318304,-8.35244441443843,-3.22909780158712,0.1,3
"factor(Year)2022",-6.80469405537687,1.39648189438009,-9.54174827342412,-4.06763983732962,0.1,3
"factor(Year)2023",-5.50145353536712,1.32545980710123,-8.09930702024095,-2.9036000504933,0.1,3
"Pass",0.391061020026612,0.269918839472075,-0.137970184087504,0.920092224140728,0.1,3
"Depth_m",0.0126754662701937,0.0014901011758864,0.00975492163213554,0.0155960109082518,0.1,3
"factor(Year)2003",-4.08362307813158,1.02940439578523,-6.10121861939786,-2.06602753686531,0.1,4
"factor(Year)2004",-4.93692693761587,1.05078991657769,-6.99643732942599,-2.87741654580576,0.1,4
"factor(Year)2005",-3.83238193672515,0.973874089400521,-5.74114007742691,-1.92362379602339,0.1,4
"factor(Year)2006",-3.48110373265836,0.984265606960837,-5.41022887352305,-1.55197859179366,0.1,4
"factor(Year)2007",-3.85274899053366,0.94473163075906,-5.70438896187721,-2.00110901919011,0.1,4
"factor(Year)2008",-4.87347734538191,1.0309254470877,-6.89405409241965,-2.85290059834416,0.1,4
"factor(Year)2009",-3.79693924840833,0.978744525300151,-5.71524326806237,-1.87863522875428,0.1,4
"factor(Year)2010",-4.93608218591555,0.961353969014619,-6.82030134157884,-3.05186303025227,0.1,4
"factor(Year)2011",-4.26264947768692,0.967057575964116,-6.15804749755319,-2.36725145782064,0.1,4
"factor(Year)2012",-4.80381196916524,0.967664761037052,-6.70040004990642,-2.90722388842406,0.1,4
"factor(Year)2013",-5.02695904960923,1.00134595371596,-6.98956105495743,-3.06435704426103,0.1,4
"factor(Year)2014",-4.02003757146252,0.944768595789401,-5.87174999293422,-2.16832514999081,0.1,4
"factor(Year)2015",-4.61064719651824,0.989955643675511,-6.55092460441441,-2.67036978862207,0.1,4
"factor(Year)2016",-4.42637005971432,1.00047751203516,-6.38726995064546,-2.46547016878318,0.1,4
"factor(Year)2017",-4.61262598252724,0.990880011776701,-6.5547151186102,-2.67053684644428,0.1,4
"factor(Year)2018",-3.92668708053002,0.958455295675995,-5.80522494084665,-2.04814922021338,0.1,4
"factor(Year)2019",-2.59314441941278,1.06276092223009,-4.67611755116034,-0.510171287665224,0.1,4
"factor(Year)2021",-3.55451561049286,0.937588475828766,-5.39215525543705,-1.71687596554868,0.1,4
"factor(Year)2022",-4.13637717605758,0.998157447192609,-6.09272982345554,-2.18002452865963,0.1,4
"factor(Year)2023",-3.71788406837965,0.951137157443496,-5.58207864132671,-1.8536894954326,0.1,4
"Pass",-0.0452581143251588,0.247946910798264,-0.531225129567721,0.440708900917403,0.1,4
"Depth_m",0.00978323713318744,0.000996292419202476,0.0078305398734803,0.0117359343928946,0.1,4
"factor(Year)2003",-5.41368722468683,1.04824896932674,-7.46821745139847,-3.35915699797519,0.1,5
"factor(Year)2004",-5.74803876074868,1.15929698573394,-8.02021910017305,-3.47585842132431,0.1,5
"factor(Year)2005",-4.74125385640057,1.00307974728673,-6.7072540347041,-2.77525367809704,0.1,5
"factor(Year)2006",-5.63260800501235,1.03519011549707,-7.66154334853846,-3.60367266148624,0.1,5
"factor(Year)2007",-5.43291163125177,0.991422082750593,-7.37606320692062,-3.48976005558292,0.1,5
"factor(Year)2008",-5.07277615210131,0.991124815511189,-7.01534509468715,-3.13020720951547,0.1,5
"factor(Year)2009",-5.57130757102107,0.9880598836045,-7.50786935745472,-3.63474578458741,0.1,5
"factor(Year)2010",-5.18791516987026,1.01328866431747,-7.17392445787519,-3.20190588186533,0.1,5
"factor(Year)2011",-5.46423183432231,0.990883745002743,-7.40632828739386,-3.52213538125076,0.1,5
"factor(Year)2012",-6.40092190991903,1.03145086855909,-8.42252846411739,-4.37931535572066,0.1,5
"factor(Year)2013",-5.30994533177255,1.08793975378438,-7.4422680665393,-3.1776225970058,0.1,5
"factor(Year)2014",-5.20323373267364,0.981956868761153,-7.12783382981722,-3.27863363553005,0.1,5
"factor(Year)2015",-4.83174217984898,0.98928962527458,-6.77071421566628,-2.89277014403168,0.1,5
"factor(Year)2016",-5.01802700966167,0.970351587118535,-6.91988117275528,-3.11617284656806,0.1,5
"factor(Year)2017",-5.02881952354103,0.963681528923103,-6.9176006127968,-3.14003843428525,0.1,5
"factor(Year)2018",-4.72305609088883,0.938493871240127,-6.56247027823105,-2.88364190354661,0.1,5
"factor(Year)2019",-4.16286162185913,1.05674851286619,-6.23405064779312,-2.09167259592514,0.1,5
"factor(Year)2021",-5.41250104285838,0.983584612594751,-7.34029145929187,-3.48471062642489,0.1,5
"factor(Year)2022",-5.09006564387278,0.990708944793987,-7.03181949483067,-3.14831179291488,0.1,5
"factor(Year)2023",-5.46424582409895,0.991533818799517,-7.40761639839946,-3.52087524979843,0.1,5
"Pass",0.00805915043051452,0.23793295927317,-0.458280880479933,0.474399181340962,0.1,5
"Depth_m",0.0118566031127456,0.00118325920506892,0.00953745768643504,0.0141757485390562,0.1,5
"factor(Year)2003",-4.7162762276975,1.06637085424532,-6.80632469618155,-2.62622775921345,0.1,6
"factor(Year)2004",-5.95228062683765,1.15113903843199,-8.20847168336242,-3.69608957031288,0.1,6
"factor(Year)2005",-5.26054959397586,0.99325926201892,-7.20730197484378,-3.31379721310795,0.1,6
"factor(Year)2006",-5.18112800892572,1.01006701341585,-7.16082297719273,-3.20143304065871,0.1,6
"factor(Year)2007",-4.49202170590264,0.98284056594347,-6.41835381769681,-2.56568959410848,0.1,6
"factor(Year)2008",-4.42056884618207,1.00346357887261,-6.38732132057006,-2.45381637179408,0.1,6
"factor(Year)2009",-5.86124191698865,1.04275751498588,-7.90500909096946,-3.81747474300783,0.1,6
"factor(Year)2010",-4.31454452653397,0.971989614435581,-6.21960916417468,-2.40947988889326,0.1,6
"factor(Year)2011",-5.95338165626439,1.04361814126755,-7.99883562676142,-3.90792768576735,0.1,6
"factor(Year)2012",-4.99191340621865,0.993246941707148,-6.93864163971922,-3.04518517271809,0.1,6
"factor(Year)2013",-4.51924571216678,1.02564365171026,-6.52947033049103,-2.50902109384252,0.1,6
"factor(Year)2014",-4.44723238613632,0.974914923377099,-6.35803052394606,-2.53643424832658,0.1,6
"factor(Year)2015",-5.89238454308585,1.05856282601224,-7.96712955744278,-3.81763952872892,0.1,6
"factor(Year)2016",-6.07760327446962,1.08844158899351,-8.21090958817245,-3.94429696076679,0.1,6
"factor(Year)2017",-5.07831170402612,1.0081325602692,-7.05421521379592,-3.10240819425633,0.1,6
"factor(Year)2018",-4.84644938806586,0.977841141352546,-6.76298280771839,-2.92991596841333,0.1,6
"factor(Year)2019",-5.7511989097659,1.22221091223027,-8.14668827924907,-3.35570954028272,0.1,6
"factor(Year)2021",-5.27939506609684,0.99805182932089,-7.2355407062701,-3.32324942592358,0.1,6
"factor(Year)2022",-6.07262767067379,1.121526029045,-8.2707782953262,-3.87447704602138,0.1,6
"factor(Year)2023",-5.00810744652619,1.02252634199875,-7.01222225008722,-3.00399264296515,0.1,6
"Pass",-0.100077693316967,0.251865377591158,-0.593724762348218,0.393569375714284,0.1,6
"Depth_m",0.0116884521594256,0.00132297789984695,0.00909546312338318,0.0142814411954681,0.1,6
"factor(Year)2003",-4.61565069010153,0.97774559740442,-6.53199684705679,-2.69930453314627,0.1,7
"factor(Year)2004",-5.37462104278468,1.05935600779963,-7.45092066487808,-3.29832142069128,0.1,7
"factor(Year)2005",-3.90793649492904,0.9622885288699,-5.79398735425007,-2.021885635608,0.1,7
"factor(Year)2006",-4.67335481333345,0.936937716374562,-6.50971899318479,-2.8369906334821,0.1,7
"factor(Year)2007",-4.99888029833689,0.938834068290595,-6.83896125964567,-3.1587993370281,0.1,7
"factor(Year)2008",-5.10952332563397,0.97343012068364,-7.01741130364038,-3.20163534762755,0.1,7
"factor(Year)2009",-4.22870901166086,0.92086352522231,-6.03356835577318,-2.42384966754854,0.1,7
"factor(Year)2010",-4.48120065992318,0.928952200392069,-6.30191351605087,-2.6604878037955,0.1,7
"factor(Year)2011",-5.90159850205749,0.996535328942607,-7.85477185610678,-3.94842514800821,0.1,7
"factor(Year)2012",-4.95926380790002,0.992111245463849,-6.90376611766634,-3.0147614981337,0.1,7
"factor(Year)2013",-4.87911524051277,1.00454978072042,-6.84799663140241,-2.91023384962314,0.1,7
"factor(Year)2014",-4.69724538842708,0.936083955608658,-6.53193622792584,-2.86255454892832,0.1,7
"factor(Year)2015",-4.25950911569673,0.935500966563474,-6.09305731766355,-2.42596091372992,0.1,7
"factor(Year)2016",-5.14377224536413,0.965793049046901,-7.03669183801518,-3.25085265271308,0.1,7
"factor(Year)2017",-4.61059254730861,0.936951461880959,-6.44698366785745,-2.77420142675978,0.1,7
"factor(Year)2018",-4.69578969911679,0.946687424457283,-6.55126295567005,-2.84031644256353,0.1,7
"factor(Year)2019",-4.23763125239213,1.18752129896835,-6.56513022924431,-1.91013227553995,0.1,7
"factor(Year)2021",-3.90555874837718,0.968379606836818,-5.8035479011404,-2.00756959561396,0.1,7
"factor(Year)2022",-4.70309189819172,0.9992774877332,-6.66163978471045,-2.74454401167298,0.1,7
"factor(Year)2023",-4.84329711541912,1.01293561566555,-6.8286144407815,-2.85797979005675,0.1,7
"Pass",0.279845909849546,0.228520349232509,-0.168045744380686,0.727737564079778,0.1,7
"Depth_m",0.00802099571913011,0.000872350441887476,0.00631122027113306,0.00973077116712717,0.1,7
"factor(Year)2003",-7.2023117729594,NA,NA,NA,0.1,8
"factor(Year)2004",-6.31407013621859,NA,NA,NA,0.1,8
"factor(Year)2005",-6.63893688679378,NA,NA,NA,0.1,8
"factor(Year)2006",-6.68790930574863,NA,NA,NA,0.1,8
"factor(Year)2007",-6.19684668931384,NA,NA,NA,0.1,8
"factor(Year)2008",-7.57015296081679,NA,NA,NA,0.1,8
"factor(Year)2009",-5.99881840180663,NA,NA,NA,0.1,8
"factor(Year)2010",-6.27897975962709,NA,NA,NA,0.1,8
"factor(Year)2011",-5.68061433860449,NA,NA,NA,0.1,8
"factor(Year)2012",-5.76970153488219,NA,NA,NA,0.1,8
"factor(Year)2013",-5.37967019348937,NA,NA,NA,0.1,8
"factor(Year)2014",-6.61724670675456,NA,NA,NA,0.1,8
"factor(Year)2015",-7.28620570023533,NA,NA,NA,0.1,8
"factor(Year)2016",-5.99765158546327,NA,NA,NA,0.1,8
"factor(Year)2017",-5.84635030177609,NA,NA,NA,0.1,8
"factor(Year)2018",-6.02805860410587,NA,NA,NA,0.1,8
"factor(Year)2019",-6.07145777677596,NA,NA,NA,0.1,8
"factor(Year)2021",-5.6385606231288,NA,NA,NA,0.1,8
"factor(Year)2022",-5.53431139177425,NA,NA,NA,0.1,8
"factor(Year)2023",-5.74219986913883,NA,NA,NA,0.1,8
"Pass",0.22049335868789,NA,NA,NA,0.1,8
"Depth_m",0.0128451037561251,NA,NA,NA,0.1,8
"factor(Year)2003",-3.13905920196343,0.836340173539456,-4.77825582092474,-1.49986258300211,0.1,9
"factor(Year)2004",-3.16034329136945,0.872963113248492,-4.87131955316845,-1.44936702957044,0.1,9
"factor(Year)2005",-3.33752038494086,0.796760821122061,-4.89914289863266,-1.77589787124906,0.1,9
"factor(Year)2006",-3.22107721853562,0.801227335265526,-4.79145393908505,-1.65070049798619,0.1,9
"factor(Year)2007",-1.70479053345935,0.850210639745442,-3.37117276663317,-0.038408300285522,0.1,9
"factor(Year)2008",-3.43670091446088,0.835736497980813,-5.0747143510689,-1.79868747785286,0.1,9
"factor(Year)2009",-3.02785177431176,0.803147894061104,-4.60199272093072,-1.45371082769281,0.1,9
"factor(Year)2010",-3.08279526059655,0.801600146369941,-4.65390267748367,-1.51168784370943,0.1,9
"factor(Year)2011",-3.65303897348821,0.824804954615747,-5.26962697880527,-2.03645096817115,0.1,9
"factor(Year)2012",-3.49299241897001,0.843067906329581,-5.14537515189758,-1.84060968604245,0.1,9
"factor(Year)2013",-3.40008455489818,0.89900717559379,-5.16210624090508,-1.63806286889127,0.1,9
"factor(Year)2014",-3.67871063866294,0.816729821540099,-5.27947167398136,-2.07794960334452,0.1,9
"factor(Year)2015",-2.5291785113063,0.825396204368532,-4.14692534484469,-0.911431677767919,0.1,9
"factor(Year)2016",-3.5506030736025,0.811007345199061,-5.1401482613901,-1.9610578858149,0.1,9
"factor(Year)2017",-2.95845025307487,0.812390240826066,-4.55070586648578,-1.36619463966396,0.1,9
"factor(Year)2018",-2.6311726175041,0.808770186206624,-4.21633305423884,-1.04601218076936,0.1,9
"factor(Year)2019",-2.35575367061142,0.892465879651478,-4.10495465215918,-0.606552689063668,0.1,9
"factor(Year)2021",-3.18658182770048,0.816100128727432,-4.78610868778475,-1.58705496761622,0.1,9
"factor(Year)2022",-3.21723672989885,0.847859635727302,-4.87901107986961,-1.55546237992809,0.1,9
"factor(Year)2023",-3.27804139881777,0.847735253432199,-4.93957196396981,-1.61651083366572,0.1,9
"Pass",-0.270064190115307,0.217051502717618,-0.695477318232135,0.155348938001521,0.1,9
"Depth_m",0.00748030413287865,0.000759841927283049,0.00599104132146037,0.00896956694429693,0.1,9
"factor(Year)2003",-5.23131405507387,0.816748677953306,-6.83211204828305,-3.63051606186469,0.2,1
"factor(Year)2004",-4.21086021647119,0.825385845737098,-5.82858674746504,-2.59313368547735,0.2,1
"factor(Year)2005",-4.27396507844541,0.778998745924219,-5.80077456445875,-2.74715559243208,0.2,1
"factor(Year)2006",-4.41229525412165,0.772455401926731,-5.92628002156146,-2.89831048668185,0.2,1
"factor(Year)2007",-4.64197010156932,0.77985399520756,-6.17045584537581,-3.11348435776283,0.2,1
"factor(Year)2008",-4.33273819148253,0.790491624970972,-5.88207330650618,-2.78340307645889,0.2,1
"factor(Year)2009",-4.74810769579021,0.77696225213424,-6.27092572732044,-3.22528966425997,0.2,1
"factor(Year)2010",-4.93162504461157,0.775974715414194,-6.45250753973711,-3.41074254948604,0.2,1
"factor(Year)2011",-4.8026455251094,0.780003070221776,-6.33142345057475,-3.27386759964406,0.2,1
"factor(Year)2012",-4.97962531426347,0.803710921851094,-6.5548697750731,-3.40438085345384,0.2,1
"factor(Year)2013",-3.74886100181888,0.791764716125482,-5.3006913296544,-2.19703067398335,0.2,1
"factor(Year)2014",-4.48939230183486,0.773141844103135,-6.00472247121789,-2.97406213245183,0.2,1
"factor(Year)2015",-4.1684361094206,0.776734017007944,-5.6908068083233,-2.64606541051791,0.2,1
"factor(Year)2016",-4.35430352433646,0.770236738065951,-5.86393979051533,-2.84466725815758,0.2,1
"factor(Year)2017",-4.77029525331263,0.792187828464064,-6.32295486609319,-3.21763564053207,0.2,1
"factor(Year)2018",-4.36728511871209,0.779692480889872,-5.89545430027292,-2.83911593715126,0.2,1
"factor(Year)2019",-5.26390090049798,0.90781693922556,-7.04318940593546,-3.48461239506049,0.2,1
"factor(Year)2021",-4.40987034272927,0.790579113379544,-5.95937693188278,-2.86036375357575,0.2,1
"factor(Year)2022",-4.64035082811074,0.793912556032231,-6.19639084480805,-3.08431081141343,0.2,1
"factor(Year)2023",-4.13035969765607,0.791384930523275,-5.68144565938942,-2.57927373592272,0.2,1
"Pass",-0.00242787724916619,0.181011060010975,-0.357203035674096,0.352347281175763,0.2,1
"Depth_m",0.00913353750985169,0.000773228798490801,0.00761803691300054,0.0106490381067028,0.2,1
"factor(Year)2003",-5.42346709937824,0.854588220705027,-7.09842923357226,-3.74850496518423,0.2,10
"factor(Year)2004",-4.46992465770992,0.851746321467789,-6.13931677175126,-2.80053254366858,0.2,10
"factor(Year)2005",-4.7711950516763,0.826521867944513,-6.39114814528231,-3.15124195807028,0.2,10
"factor(Year)2006",-4.86299064470126,0.81728642229659,-6.46484259745617,-3.26113869194635,0.2,10
