"term","estimate","std.error","conf.low","conf.high","effort","replicate"
"factor(Year)2003",-3.91473335043778,1.15953494247502,-6.18738007650455,-1.64208662437101,0.1,7
"factor(Year)2004",-3.36070786664433,1.19223700780738,-5.69744946298259,-1.02396627030607,0.1,7
"factor(Year)2005",-3.80241428762473,1.15510988903325,-6.06638806831596,-1.5384405069335,0.1,7
"factor(Year)2006",-2.94709537977999,0.830340136818789,-4.57453214286288,-1.3196586166971,0.1,7
"factor(Year)2007",-2.35446720707751,0.742666947455906,-3.81006767659939,-0.898866737555639,0.1,7
"factor(Year)2008",-3.82247926171376,1.1763587011714,-6.12809994891002,-1.5168585745175,0.1,7
"factor(Year)2009",-2.36533381789565,0.776129390223243,-3.88651947007624,-0.844148165715055,0.1,7
"factor(Year)2010",-2.16651024777802,0.714465114241687,-3.56683613990202,-0.766184355654016,0.1,7
"factor(Year)2011",-2.06629388008201,0.717592166978284,-3.4727486829475,-0.659839077216522,0.1,7
"factor(Year)2012",-2.71353089183099,0.836803538506673,-4.35363568943974,-1.07342609422223,0.1,7
"factor(Year)2013",-3.44617394960841,1.17214611462025,-5.74353811888266,-1.14880978033416,0.1,7
"factor(Year)2014",-3.30540085828843,0.907507083762321,-5.08408205817755,-1.5267196583993,0.1,7
"factor(Year)2015",-3.12791691332329,0.902060596929236,-4.8959231951773,-1.35991063146929,0.1,7
"factor(Year)2016",-2.10692278617829,0.736739664851508,-3.55090599526936,-0.662939577087226,0.1,7
"factor(Year)2017",-2.55819833291311,0.783275657827387,-4.09339041222171,-1.02300625360452,0.1,7
"factor(Year)2018",-2.12868139694495,0.721702421026949,-3.54319214971314,-0.714170644176773,0.1,7
"factor(Year)2019",-2.73345834274564,1.17820574448806,-5.04269916832044,-0.424217517170849,0.1,7
"factor(Year)2021",-3.22787533170928,0.916299520574425,-5.02378939108647,-1.43196127233208,0.1,7
"factor(Year)2022",-3.84606239222104,1.18339540828205,-6.16547477192393,-1.52665001251815,0.1,7
"factor(Year)2023",-2.61218140377038,0.82115795028858,-4.22162141195473,-1.00274139558603,0.1,7
