"term","estimate","std.error","conf.low","conf.high","effort","replicate"
"range",0.0172451653892002,NA,NA,NA,0.1,7
"sigma_O",50.8476077908094,NA,NA,NA,0.1,7
"range",0.0138156137462289,0.195333826691765,1.27511103545758e-14,14968985278.7207,0.2,1
"sigma_O",94.5690830580052,1318.72204264547,1.2768447065774e-10,70042280195565.2,0.2,1
"range",0.0167380524678848,0.115022955375572,2.36753159337717e-08,11833.5232020294,0.2,10
"sigma_O",32.0795282453092,220.133764803166,4.62568157260606e-05,22247448.64705,0.2,10
"range",2.80130474181742,3.24279401905905,0.289739923368766,27.0839729826984,0.2,6
"sigma_O",1.45788219114457,0.793606935747728,0.501609500258723,4.23720141297211,0.2,6
"range",0.239370808615116,0.142201587954249,0.0747141681014931,0.766901184514554,0.2,7
"sigma_O",2.04787128650104,0.78362300456586,0.9673603538634,4.33527877106654,0.2,7
"range",0.324322440176091,0.140742506703175,0.138544976420457,0.759212263911742,0.2,8
"sigma_O",1.78875444449016,0.507909247935222,1.0253110858467,3.12065528877125,0.2,8
"range",0.00947978452885459,0.213064702047653,7.00577395010525e-22,128274642250141776,0.3,1
"sigma_O",32.8960710845767,739.254487616987,2.44670302886584e-18,4.42289677183729e+20,0.3,1
"range",0.211771301073892,0.139050624026305,0.0584738635169504,0.766959480033826,0.3,10
"sigma_O",2.07432941551368,0.979974342716605,0.821760067867493,5.23612997554314,0.3,10
"range",0.0189526872585348,NA,NA,NA,0.3,2
"sigma_O",15.0639115080826,NA,NA,NA,0.3,2
"range",0.388681590711511,0.245774134053646,0.112552633818327,1.34224650132915,0.3,3
"sigma_O",1.53989821268257,0.75407173959247,0.58974965149447,4.0208357892437,0.3,3
"range",0.0933414394401044,NA,NA,NA,0.3,4
"sigma_O",5.15302220387501,NA,NA,NA,0.3,4
"range",0.0481006823734082,NA,NA,NA,0.3,6
"sigma_O",10.8913719703837,NA,NA,NA,0.3,6
"range",0.0263944641680919,0.465372596515737,2.59177884131641e-17,26879906866082.8,0.3,7
"sigma_O",18.7181621470399,329.941664309281,1.85475820317198e-14,18890311069317828,0.3,7
"range",0.266013583934612,0.0951247811096241,0.1319834592958,0.536152236161222,0.3,8
"sigma_O",1.65049349057351,0.339560079576441,1.10279307866849,2.47020843267772,0.3,8
"range",0.408028250726299,0.288309609509163,0.102149865576695,1.6298313507399,0.3,9
"sigma_O",1.73795413110823,0.894939951885486,0.633463563759918,4.76820567848941,0.3,9
"range",0.0307168623043013,0.18247933456239,2.69558461647651e-07,3500.2634458373,0.4,1
"sigma_O",18.007236758944,106.881934302912,0.000159639822328927,2031201.05599057,0.4,1
"range",0.374130002416723,0.131035671180128,0.188320173523047,0.74327277895805,0.4,10
"sigma_O",1.59055865463275,0.302240314426182,1.09598121258378,2.30832135147916,0.4,10
"range",0.160566356482259,0.105592408422632,0.04424695199252,0.58267414303128,0.4,2
"sigma_O",2.23899075351418,1.10696502951884,0.849601392088671,5.90050774516479,0.4,2
"range",0.459709314946296,0.219137825724005,0.180603393306412,1.17014774960427,0.4,3
"sigma_O",1.36918630636616,0.326012282087491,0.858590048289154,2.18342985138963,0.4,3
"range",0.252301093998943,0.120932891022763,0.0986101101557515,0.645530584364232,0.4,4
"sigma_O",1.94899141649662,0.555961660311943,1.11429326884623,3.40894775888816,0.4,4
"range",0.142575771406874,0.245634922849408,0.0048703880901557,4.17376402372392,0.4,5
"sigma_O",2.79342159024853,4.1324171142537,0.153787474092278,50.740180414072,0.4,5
"range",0.354066934647906,0.159612516010834,0.146340919125517,0.856653046598949,0.4,6
"sigma_O",1.64577330892433,0.472709104244351,0.937308782911078,2.88973050690456,0.4,6
"range",0.0390550942916515,0.209137181479359,1.08032769194696e-06,1411.88678351927,0.4,7
"sigma_O",14.8186562539908,79.2152444928318,0.000417435464987712,526051.549502163,0.4,7
"range",0.259942809989362,0.258416325944649,0.0370403301173744,1.82423494204958,0.4,8
"sigma_O",1.99641520249183,1.74457626211152,0.360101252399936,11.0682027184786,0.4,8
"range",0.0156312302011245,0.00893360557406237,0.00509931697343682,0.0479153107903133,0.4,9
"sigma_O",47.3820114984139,26.4244185316831,15.8820990969074,141.357574961423,0.4,9
"range",0.384966270855311,0.136063488553131,0.192562525835104,0.76961511100634,0.5,1
"sigma_O",1.4820648780828,0.255913443777126,1.05654305675263,2.07896525258306,0.5,1
"range",0.343040224145869,0.105210698556846,0.188053267776247,0.625762034202266,0.5,10
"sigma_O",1.66565502039334,0.27989480253195,1.19825735929964,2.31536791777615,0.5,10
"range",0.00412482936494491,0.192939204488244,6.31523676355687e-43,2.69415350950817e+37,0.5,2
"sigma_O",68.3361898917101,3196.12228606442,1.05553520580421e-38,4.42413935910165e+41,0.5,2
"range",0.00884597244212926,0.113521458386466,1.05480190287371e-13,741857103.535005,0.5,3
"sigma_O",32.3557437180859,414.8080951285,3.95686588811473e-10,2645766071311.69,0.5,3
"range",0.288315455850554,0.103754280353265,0.142413561460409,0.583693022138357,0.5,4
"sigma_O",1.99881761389859,0.406780255162076,1.34135819203896,2.97852719530355,0.5,4
"range",0.0320399086435835,0.174831354844166,7.26041509434468e-07,1413.9077897747,0.5,5
"sigma_O",16.0915882983666,87.6725468377277,0.000370644932598423,698617.979608746,0.5,5
"range",0.326496223788919,0.193623576938492,0.102114201395498,1.04392711975049,0.5,6
"sigma_O",1.83412173309543,0.811981171151998,0.770183215211649,4.36779517570833,0.5,6
"range",0.0196181153,0.740589576850943,1.44394502338949e-34,2.66540928975717e+30,0.5,7
"sigma_O",35.7162837934597,1347.72264857247,2.71345403235125e-31,4.70121444036244e+33,0.5,7
"range",0.0712076551659551,0.749684547758348,7.77952474103058e-11,65177890.9769477,0.5,8
"sigma_O",7.1696059472943,75.3775516866302,8.06120168247207e-09,6376623667.81454,0.5,8
"range",0.440051031913452,0.135297248279298,0.240876396736671,0.803918164301456,0.5,9
"sigma_O",1.7481648016344,0.303298410375423,1.24423635925213,2.45618941364994,0.5,9
"range",0.233175897969202,0.108244419019495,0.0938729982899297,0.579197430402904,0.6,1
"sigma_O",2.09603754401569,0.743086616507596,1.04624003730067,4.1992021231173,0.6,1
"range",0.276747938083006,0.120390720765153,0.117976419894361,0.649192620879457,0.6,10
"sigma_O",1.76128165276314,0.512346611458661,0.995908002212541,3.11485905672842,0.6,10
"range",0.355283076933038,0.137272604093514,0.16660624373254,0.757631058279201,0.6,2
"sigma_O",1.76801097621968,0.447048915730465,1.07709773514073,2.90211622404428,0.6,2
"range",0.280088929274909,0.111866823403874,0.128034838782901,0.612722357821581,0.6,3
"sigma_O",1.93783532181571,0.529845387067505,1.13391438310679,3.31171893612265,0.6,3
"range",0.385109175525251,0.215017050253245,0.128924252167521,1.15035824974986,0.6,4
"sigma_O",1.58021172252857,0.594655410685931,0.755781797886836,3.30395505025195,0.6,4
"range",0.0615032636516987,0.50619265737814,6.07046032358622e-09,623124.316472875,0.6,5
"sigma_O",9.73433179546946,80.0609766986918,9.7166080313401e-07,97520878.8896871,0.6,5
"range",0.289782996449766,0.097920512555215,0.149431983441225,0.561955901926675,0.6,6
"sigma_O",1.87711247954278,0.416997712038489,1.21449898267027,2.90123854456276,0.6,6
"range",0.318489405453155,0.137538022684458,0.136618009102792,0.742475329951437,0.6,7
"sigma_O",1.84849122317415,0.54156882228277,1.04095833854656,3.28247507669015,0.6,7
"range",0.38664676064998,0.10468629275489,0.227430054044369,0.657326131101205,0.6,8
"sigma_O",1.57671911333508,0.2271989102947,1.18877482271082,2.09126498548071,0.6,8
"range",0.0218169370099373,0.21799638805663,6.81596495778354e-11,6983292.07153601,0.6,9
"sigma_O",17.9725293923307,179.527185064833,5.64906347290083e-08,5717971028.43175,0.6,9
"range",0.343192738745013,0.0910379805199524,0.204052413252517,0.577210796235708,0.7,1
"sigma_O",1.75020242430679,0.231853746656893,1.34998038217383,2.26907632621801,0.7,1
"range",0.213825186028593,0.181402232820155,0.0405440897010286,1.12769112630989,0.7,10
"sigma_O",2.30624178222993,1.70055476466161,0.543568008291555,9.78488630120085,0.7,10
"range",0.365241166766752,0.12504110302221,0.18671062512897,0.71448054875823,0.7,2
"sigma_O",1.8021271117117,0.373808191428674,1.20011815945809,2.70611864437816,0.7,2
"range",0.293091341573702,0.0988492242357041,0.151329347618991,0.567652843662246,0.7,3
"sigma_O",1.85710932836603,0.393421137235222,1.22606600295662,2.81294404150129,0.7,3
"range",0.488874790611455,0.179110665720031,0.238418599533652,1.00243253405094,0.7,4
"sigma_O",1.54754217496649,0.297853235913917,1.06123837577626,2.25669070961388,0.7,4
"range",0.235384800273152,0.35197616655235,0.0125590755588247,4.41163077171713,0.7,5
"sigma_O",2.36703673771368,3.28587323485569,0.155805927790501,35.960524719059,0.7,5
"range",0.266887353587225,0.104089949566986,0.124264481884201,0.573203689620411,0.7,6
"sigma_O",1.74055910886011,0.459281093746269,1.03772514861336,2.91941080495548,0.7,6
"range",0.243618983819347,0.121215406015962,0.0918726162815111,0.646005433167525,0.7,7
"sigma_O",2.01619693052063,0.789097677899861,0.936246727520945,4.34185769963063,0.7,7
"range",0.485184818337427,0.164929957703827,0.249204777307962,0.944621971087712,0.7,8
"sigma_O",1.7839033168593,0.361462388714228,1.19921509748053,2.65366159130872,0.7,8
"range",0.232975094624148,0.313082307250822,0.0167273427710265,3.24483066187564,0.7,9
"sigma_O",2.52146351255875,3.0890362318667,0.228480226283717,27.8263828278526,0.7,9
"range",0.508709696156645,0.168559581567837,0.265721494859978,0.973897708576993,0.8,1
"sigma_O",2.09225398624043,0.472528934090434,1.3439194279218,3.25728362280487,0.8,1
"range",0.184639336560455,0.365717649648354,0.00380485172215954,8.96005602713351,0.8,10
"sigma_O",2.63542690017062,4.91978795133949,0.06789482131385,102.297565730924,0.8,10
"range",0.493517870515486,0.129165690795119,0.295476286171082,0.82429589079483,0.8,2
"sigma_O",1.45388752538154,0.184053512501154,1.1344196957344,1.8633217885834,0.8,2
"range",0.415262630058662,0.124508778928723,0.230730970764925,0.747377135161133,0.8,3
"sigma_O",1.69686729580284,0.275263445045685,1.23471621853808,2.33200032228818,0.8,3
"range",0.354705155617143,0.25719040592902,0.0856399462689558,1.46912454879703,0.8,4
"sigma_O",2.06868191352904,1.17637713238155,0.678655311172256,6.30577082196584,0.8,4
"range",0.374123703659274,0.115843969761237,0.203914675517783,0.68640741665269,0.8,5
"sigma_O",1.74363327592979,0.332921094913864,1.19930805310479,2.53500924392111,0.8,5
"range",0.482353293348618,0.118856227367227,0.297592146397736,0.781824058264288,0.8,6
"sigma_O",1.46461037032783,0.188316139535792,1.13835212456046,1.88437609997002,0.8,6
"range",0.389276233713537,0.0927824152412269,0.24399304445303,0.621066827842987,0.8,7
"sigma_O",1.58445466507736,0.203403533639581,1.23199024044783,2.0377568776623,0.8,7
"range",0.287043408094638,0.0896754836211297,0.155604787543147,0.529507603406726,0.8,8
"sigma_O",1.81682505724361,0.304886760973826,1.30758663913711,2.52438591052485,0.8,8
"range",0.335335790751311,0.108290903448384,0.178073406926089,0.631481670957642,0.8,9
"sigma_O",1.87099491147189,0.381038194154318,1.25522281966948,2.78884505913896,0.8,9
"range",0.3779464294634,0.134176959698517,0.188469134948262,0.757914570910222,0.9,1
"sigma_O",1.96148174171739,0.468809009276091,1.22783680322308,3.13348696910796,0.9,1
"range",0.342857305468225,0.104077261341771,0.189114101753306,0.621588399929446,0.9,10
"sigma_O",1.75875307132833,0.29974390157993,1.25931615841304,2.45626354052731,0.9,10
"range",0.361201541692873,0.121971953720806,0.186342757820675,0.700142872452607,0.9,2
"sigma_O",1.75417486902286,0.320328418837175,1.22640998175142,2.50905448985091,0.9,2
"range",0.377690464357879,0.128765037897282,0.193614584697853,0.736773456862686,0.9,3
"sigma_O",1.86573178476928,0.370413276590153,1.26431652119122,2.75323072533977,0.9,3
"range",0.422897637739939,0.118130653310035,0.244604130177404,0.73115041792758,0.9,4
"sigma_O",1.71100326432674,0.239763895396283,1.30008415237808,2.25180205849122,0.9,4
"range",0.324144847821291,0.162411135952361,0.12140844495702,0.865424826141902,0.9,5
"sigma_O",1.86238198501853,0.665430696270416,0.924557047528264,3.75149015130463,0.9,5
"range",0.261711535159695,0.134621159781474,0.0954938436762297,0.717249667610702,0.9,6
"sigma_O",2.11933808797303,0.845899962931528,0.969296705194092,4.63386897640776,0.9,6
"range",0.351571541066335,0.118507519134501,0.181589703391663,0.680669367145585,0.9,7
"sigma_O",1.84250087958152,0.387997706565764,1.2194384775067,2.78391206598613,0.9,7
"range",0.370742458717654,0.148857702361377,0.168773529594404,0.814404788632026,0.9,8
"sigma_O",1.98666083009704,0.512222983131286,1.19855366290102,3.29298668554302,0.9,8
"range",0.343100804324485,0.138423182405551,0.155598909990199,0.756548756900184,0.9,9
"sigma_O",1.98119276836234,0.591311895675785,1.10376070694796,3.55613744963319,0.9,9
"range",0.321104782619907,0.0867896255941748,0.189051550552394,0.545397703008007,1,1
"sigma_O",2.01226868845592,0.339976808543209,1.44501971027603,2.80219380105662,1,1
