"term","estimate","std.error","conf.low","conf.high","effort","replicate"
"factor(Year)2003",-3.777308521998,1.12974631532353,-5.99157061169895,-1.56304643229706,0.1,1
"factor(Year)2004",-3.27599965279378,1.11703826078631,-5.46535441328821,-1.08664489229934,0.1,1
"factor(Year)2005",-3.31082388729505,1.08146296876371,-5.43045235668568,-1.19119541790442,0.1,1
"factor(Year)2006",-3.53135100924998,1.08558891012647,-5.65906617511395,-1.40363584338601,0.1,1
"factor(Year)2007",-3.73546347253584,1.04921188464114,-5.79188097858387,-1.6790459664878,0.1,1
"factor(Year)2008",-3.41195996184481,1.08156274553394,-5.5317839901116,-1.29213593357802,0.1,1
"factor(Year)2009",-3.563605103047,1.08070292102918,-5.68174390625143,-1.44546629984257,0.1,1
"factor(Year)2010",-2.94766372597616,1.03251385654317,-4.97135369833933,-0.923973753612984,0.1,1
"factor(Year)2011",-4.71316273388087,1.163757292877,-6.99408511466562,-2.43224035309613,0.1,1
"factor(Year)2012",-3.60160040912664,1.10049892635421,-5.75853866980589,-1.44466214844739,0.1,1
"factor(Year)2013",-4.28999490199541,1.18529495099549,-6.61313031700374,-1.96685948698708,0.1,1
"factor(Year)2014",-4.98260594019535,1.22634061808304,-7.3861893844167,-2.579022495974,0.1,1
"factor(Year)2015",-3.59598184836519,1.08453836914624,-5.72163799174363,-1.47032570498674,0.1,1
"factor(Year)2016",-2.71884753408892,1.02759928352858,-4.73290512034409,-0.704789947833746,0.1,1
"factor(Year)2017",-3.19541391379966,1.0533239314726,-5.25989088354009,-1.13093694405922,0.1,1
"factor(Year)2018",-2.77953531836461,1.06312391958589,-4.86321991185601,-0.695850724873213,0.1,1
"factor(Year)2019",-3.21875722193217,1.13805423027046,-5.44930252571572,-0.988211918148615,0.1,1
"factor(Year)2021",-3.60264892078917,1.09681755690254,-5.75237182992935,-1.45292601164899,0.1,1
"factor(Year)2022",-3.77287297617671,1.10995618147899,-5.94834711629312,-1.59739883606029,0.1,1
"factor(Year)2023",-3.69171126195572,1.07467187177163,-5.79802942582635,-1.58539309808508,0.1,1
"Pass",-0.126225779109933,0.265016559520678,-0.645648691077178,0.393197132857312,0.1,1
"factor(Year)2003",-2.96916281227842,0.920570435088404,-4.77344771028405,-1.16487791427278,0.1,10
"factor(Year)2004",-3.88532410911757,1.00835907064887,-5.86167157107363,-1.9089766471615,0.1,10
"factor(Year)2005",-2.56934822229068,0.748268969375829,-4.0359284530162,-1.10276799156515,0.1,10
"factor(Year)2006",-3.14349787716149,0.871789087506348,-4.85217309078897,-1.43482266353402,0.1,10
"factor(Year)2007",-2.97626714852864,0.842313910170867,-4.62717207614065,-1.32536222091664,0.1,10
"factor(Year)2008",-3.01280755814006,0.853198537722708,-4.6850459637388,-1.34056915254131,0.1,10
"factor(Year)2009",-4.00533499815339,0.937180808025568,-5.84217562888564,-2.16849436742113,0.1,10
"factor(Year)2010",-4.69157422473963,1.05653679130506,-6.76234828403906,-2.6208001654402,0.1,10
"factor(Year)2011",-3.88404777292802,0.951227634378699,-5.7484196774095,-2.01967586844653,0.1,10
"factor(Year)2012",-3.39553999081399,0.876081611829155,-5.11262839751694,-1.67845158411105,0.1,10
"factor(Year)2013",-1.91365947913138,0.746673520015867,-3.37711268657222,-0.450206271690531,0.1,10
"factor(Year)2014",-3.38624437102382,0.855761748889984,-5.0635065781952,-1.70898216385245,0.1,10
"factor(Year)2015",-2.36116457625738,0.741487555620102,-3.81445348025742,-0.907875672257335,0.1,10
"factor(Year)2016",-1.56303825694607,0.764267119166471,-3.06097428508053,-0.0651022288116039,0.1,10
"factor(Year)2017",-3.30797987224322,0.836472232246673,-4.94743532151452,-1.66852442297192,0.1,10
"factor(Year)2018",-2.40676961857658,0.821967995372185,-4.01779728595065,-0.795741951202511,0.1,10
"factor(Year)2019",-1.70905162464978,0.890525612653928,-3.45444975276194,0.0363465034623838,0.1,10
"factor(Year)2021",-4.73855854427916,1.29016630411208,-7.26723803440598,-2.20987905415234,0.1,10
