"Year","est","lwr","upr","log_est","se","effort","replicate"
2003,3674.2323094184,1502.22037718656,8986.6861537703,8.2090994944289,0.456334890553115,0.1,1
2004,1818.97238443096,1155.67297224673,2862.97301639764,7.50602699667168,0.231427152243699,0.1,1
2005,2063.92952741785,1252.15760258556,3401.97199246427,7.63236698232564,0.254975888266532,0.1,1
2006,2979.65825359017,1658.16149305006,5354.34174861758,7.9995638929199,0.299035678343539,0.1,1
2007,3497.94366979549,2286.63464702657,5350.92474566188,8.15993055190271,0.216888741864685,0.1,1
2008,2273.91307667525,1493.62188731293,3461.84045921885,7.72925744872292,0.214441798855526,0.1,1
2009,2588.37462410098,1726.75970316514,3879.91634412676,7.85878539943431,0.206525974635955,0.1,1
2010,3573.23706177055,2374.11628391865,5378.01083548277,8.18122720392506,0.208599061465361,0.1,1
2011,2208.36419970939,1458.13103792385,3344.60505381053,7.70000733931553,0.211787848623975,0.1,1
2012,3598.42915949599,2335.73563075157,5543.73202404953,8.18825268463375,0.22049921440713,0.1,1
2013,3984.27860443922,2283.32875494623,6952.33919487249,8.29011154709258,0.284047010062846,0.1,1
2014,1707.65789982998,1158.2820131843,2517.60406331006,7.44287806144764,0.198057158868707,0.1,1
2015,1853.94733260472,1252.82833355462,2743.48896813347,7.52507233828148,0.19995948915827,0.1,1
2016,2094.00851859176,1326.55714465522,3305.45253448128,7.64683545951761,0.232908977509671,0.1,1
2017,1941.07730541002,1275.15854722359,2954.7550097056,7.5709984099957,0.214377719531971,0.1,1
2018,1550.03508814305,982.886679360684,2444.44128191604,7.34603284716871,0.232422135134267,0.1,1
2019,366.923133340386,205.267117679323,655.889688043726,5.9051523801787,0.296352504809696,0.1,1
2021,1521.6046051207,917.192098010612,2524.313695404,7.32752071828543,0.258271981868626,0.1,1
2022,2949.38899005677,1904.45633391643,4567.65285701206,7.98935330586649,0.223168104877076,0.1,1
2023,3993.63303794701,2704.89323740552,5896.38978027834,8.29245663142395,0.198799014985647,0.1,1
2003,3358.76297184009,1963.16229223099,5746.48807469898,8.11932802202573,0.273992869148753,0.1,1
2004,2545.81542524726,1205.32218820524,5377.13172697629,7.84220628051424,0.381488690670831,0.1,1
2005,3539.34907608763,2047.61363173934,6117.84942638878,8.171698112409,0.279223396318254,0.1,1
2006,2893.39768464881,1472.02506566677,5687.23342882685,7.97018675997702,0.344798393163097,0.1,1
2007,4364.35621219904,2548.08268638241,7475.26964048517,8.38122596878199,0.274560913045704,0.1,1
2008,1793.06163320713,1054.69724169117,3048.33452993979,7.491679847363,0.270755392203189,0.1,1
2009,3769.93846166835,2297.35489276488,6186.43469040238,8.23481395714394,0.252708859738548,0.1,1
2010,5268.72493815348,3401.89420838762,8160.00168537792,8.569543665042,0.223195932633526,0.1,1
2011,2498.21526419491,1566.52781020207,3984.02088083669,7.82333186159036,0.238124272668094,0.1,1
2012,2955.77318016223,1735.40089387421,5034.33824622634,7.99151554710856,0.271699797989779,0.1,1
2013,3227.89919594479,1871.95899601516,5566.00504677753,8.07958680088017,0.277987785601296,0.1,1
2014,7493.33498898984,4364.02146445714,12866.5886991012,8.92176923629009,0.275831584195094,0.1,1
2015,3084.3734420987,1828.76322854216,5202.07284455712,8.03410381752707,0.266692977875807,0.1,1
2016,2714.74108719977,1741.57240818515,4231.70414040407,7.90645186398996,0.226487935744422,0.1,1
2017,1616.20006346122,902.746213992292,2893.50717249792,7.38783303306504,0.297144014569021,0.1,1
2018,2519.01509406841,1168.50285107136,5430.39928257477,7.83162326842216,0.391917749797441,0.1,1
2019,2856.76893832927,1133.40139600558,7200.56353888833,7.95744652333163,0.471676038535285,0.1,1
2021,1151.68623967355,651.248579888403,2036.67422181664,7.04898244276425,0.290868115327363,0.1,1
2022,1383.92659116249,811.738131496613,2359.4466434581,7.23268009370332,0.272200054654289,0.1,1
2023,3609.55146123076,2340.01400397969,5567.85631586596,8.19133879464084,0.22114008477661,0.1,1
2003,2311.8348499853,1428.14120146401,3742.33329878567,7.74579679557365,0.245753381584954,0.1,2
2004,2472.95211114726,1519.91395791143,4023.57785596706,7.81316790265428,0.248350939554444,0.1,2
2005,1788.90834492337,1074.77814255728,2977.53828424727,7.48936084962131,0.259949322229344,0.1,2
2006,1680.06740997096,1021.51719619474,2763.17081353217,7.42658919657503,0.253854127996958,0.1,2
2007,2059.48588977344,1306.9378219562,3245.35877600309,7.63021166256519,0.232029530522691,0.1,2
2008,2267.13403269862,1472.51240038839,3490.56260637573,7.72627177213812,0.220180798593964,0.1,2
2009,4199.52178124046,2688.63879269397,6559.44682455545,8.34272593617932,0.227522352551178,0.1,2
2010,3110.04817353797,2005.7696389046,4822.28838951277,8.04239349493691,0.22378491263537,0.1,2
2011,2058.37069272249,1307.45149301765,3240.57139502742,7.62967002297388,0.231552686852032,0.1,2
2012,4326.55983505905,2642.75796415589,7083.17608355982,8.3725280098504,0.251509558087766,0.1,2
2013,2281.58259790821,1430.26979517865,3639.60643553085,7.73262460304688,0.238272862825578,0.1,2
2014,3462.33198131252,2237.20010438458,5358.36858103361,8.1496976240655,0.222818999687881,0.1,2
2015,2631.12299186226,1847.41333583989,3747.29794572956,7.87516602713972,0.180423868545184,0.1,2
2016,1625.48951092269,1068.38928248022,2473.08372841958,7.39356428689182,0.214114565568727,0.1,2
2017,4733.61919125902,2979.08940659509,7521.47639417969,8.4624453456172,0.236265760352017,0.1,2
2018,1260.99008011841,743.988855391046,2137.25779712287,7.13965246925548,0.269202096573986,0.1,2
2019,912.964043530829,455.328464709599,1830.55400525367,6.81669649704927,0.354943990588541,0.1,2
2021,1448.41641080219,852.519932442313,2460.83407466024,7.27822610812431,0.270428192689647,0.1,2
2022,2903.72678028516,1665.33752234178,5063.01521549142,7.97375028759467,0.28366194174407,0.1,2
2023,4414.92695262187,2372.87299642126,8214.337651608,8.39274656762868,0.316786348006094,0.1,2
2003,1491.72150002307,896.996396970289,2480.76028080723,7.30768610115723,0.259512041993664,0.1,3
2004,2682.76699276171,1311.06098370298,5489.62925974941,7.89460400087038,0.365318958358653,0.1,3
2005,2286.58690865366,1447.44287982939,3612.21832217832,7.73481555184599,0.233301125960496,0.1,3
2006,1037.87878041128,546.978925241146,1969.34893305644,6.94493427502892,0.326803964918263,0.1,3
2007,1153.37752729626,719.42326430036,1849.09188579792,7.0504498971145,0.240820765902801,0.1,3
2008,2288.16807561446,1518.63073809474,3447.65387063736,7.73550680942337,0.209158145256144,0.1,3
2009,1972.75607331023,1206.9300383693,3224.51708140481,7.58718686599746,0.250694203411691,0.1,3
2010,3265.33855146916,2113.21084865636,5045.60908462598,8.09111872744345,0.222021900321338,0.1,3
2011,4171.77529642556,2798.15456195048,6219.70971887095,8.33609695475299,0.203769846818444,0.1,3
2012,2240.1211138173,1421.64312512317,3529.8187821471,7.71428521205587,0.232002528433288,0.1,3
2013,1024.35262245456,627.13426717623,1673.16370679943,6.93181610418767,0.250339010371266,0.1,3
2014,2449.60313243312,1511.35261391342,3970.32132090514,7.80368130365551,0.246392794875522,0.1,3
2015,2705.30561705642,1788.50189791401,4092.07196828419,7.9029701671745,0.211144975399484,0.1,3
2016,2266.35482657035,1505.73030034332,3411.21128979578,7.72592801651849,0.20862358229982,0.1,3
2017,1390.44001985095,887.368529328972,2178.71536447782,7.23737553707371,0.229144599700442,0.1,3
2018,2605.79693248901,1474.07395666595,4606.40229254651,7.86549383158225,0.290672987083726,0.1,3
2019,2158.81214871164,1233.98322196296,3776.76925461863,7.67731341825859,0.285367902044038,0.1,3
2021,1853.58119794698,1069.1056947499,3213.67968972079,7.52487482953359,0.280768960650524,0.1,3
2022,1537.02303428527,915.643203530505,2580.08774467444,7.33760272994892,0.264278303600421,0.1,3
2023,3363.6467619103,1808.10155237735,6257.45800839199,8.12078101020195,0.316714137286853,0.1,3
2003,3384.02578871243,1793.38199548162,6385.49431605921,8.12682134147498,0.32396658680312,0.1,4
2004,2656.00053313261,1552.78849583628,4543.0133279043,7.88457671132394,0.273866812037507,0.1,4
2005,3052.7138786489,1787.28242756902,5214.09592638973,8.02378627024575,0.273134979086902,0.1,4
2006,2027.37254689853,1195.22924832018,3438.87120374144,7.61449592181811,0.269598135690682,0.1,4
2007,2821.59645610882,1752.49663447202,4542.89406582764,7.94505812293467,0.242994987765007,0.1,4
2008,1513.85357182788,960.27801501487,2386.55118736687,7.32241371322226,0.232244508216851,0.1,4
2009,2292.65728200482,1489.3860591278,3529.15711847598,7.73746680897674,0.220079317378092,0.1,4
2010,2701.00688350875,1726.39258143339,4225.82804352902,7.90137990229316,0.228366749827989,0.1,4
2011,2836.70837118616,1854.46538232329,4339.20981208956,7.95039963473701,0.216865160883637,0.1,4
2012,1810.39096352723,1001.13616510428,3273.79586819707,7.50129810288356,0.302254178350765,0.1,4
2013,2045.8932483341,1100.72526118811,3802.65569544673,7.62358976936058,0.31626356625538,0.1,4
2014,2752.13406744173,1794.07943036407,4221.79854302009,7.92013191423354,0.218312479415322,0.1,4
2015,2772.11342511187,1849.23764964166,4155.55720660057,7.9273652776227,0.206553043294278,0.1,4
2016,2502.93609853799,1579.30188972277,3966.74578440749,7.82521976115701,0.234943896090312,0.1,4
2017,1773.39072291462,1089.9680537745,2885.3273682921,7.48064865568976,0.248343843662036,0.1,4
2018,2027.66856557016,1215.91852588788,3381.3448222603,7.61464192214903,0.260916459505548,0.1,4
2019,1241.22110551221,620.381290701549,2483.35959813802,7.12385093654842,0.353841533825589,0.1,4
2021,1065.6825034312,584.617830081466,1942.60102871159,6.97137072118015,0.306338470542268,0.1,4
2022,2994.72954326381,1810.30180318491,4954.09385414006,8.00460920372203,0.256821224900766,0.1,4
2023,3376.11683055331,1995.41078591334,5712.18965739335,8.12448146132362,0.268309137115681,0.1,4
2003,1673.39854429583,925.231869671201,3026.55234849025,7.42261189395304,0.302335921788542,0.1,5
2004,2407.02859031708,1348.05404992539,4297.88897182908,7.78614831570052,0.295786521191781,0.1,5
2005,4305.19887108377,2480.61812539646,7471.82209539759,8.36757861116856,0.281288617190373,0.1,5
2006,873.569726129714,516.7544240192,1476.76348946359,6.77258795023462,0.26787236633618,0.1,5
2007,1572.97981466004,993.389957772332,2490.72932333286,7.36072707059199,0.234496031836221,0.1,5
2008,1313.38552229455,787.239388135532,2191.17787571365,7.18036345062207,0.261143099787424,0.1,5
2009,3112.18226398423,1905.87271349017,5082.01747981423,8.04307945170156,0.250200593273588,0.1,5
2010,3059.63836748851,2060.44423996983,4543.38280949783,8.02605200740324,0.201725705939861,0.1,5
2011,2373.70986259543,1557.3528984607,3617.99725505503,7.77220935312432,0.215037907565572,0.1,5
2012,3907.24181093224,2536.06190408491,6019.78151420785,8.2705869848553,0.220524082522577,0.1,5
2013,1260.34137782239,658.802741074113,2411.13202726118,7.139137898029,0.330982479343307,0.1,5
2014,3210.71452965911,1903.97203932145,5414.30629130351,8.07424878626287,0.26661268287149,0.1,5
2015,2499.46657297193,1501.43590513438,4160.90565573953,7.82383261727827,0.260033052652652,0.1,5
2016,2825.59498439177,1814.90471628836,4399.12186252284,7.94647423534853,0.225864348239173,0.1,5
2017,1371.79413651258,860.518311185966,2186.84382250598,7.22387475075414,0.237932869839751,0.1,5
2018,2678.49306890933,1611.77386882863,4451.1983094808,7.89300962764148,0.259147105918494,0.1,5
2019,893.240861317073,422.712596091197,1887.52179070228,6.79485626602787,0.381723218218816,0.1,5
2021,1025.1755832111,585.608656855374,1794.68825146105,6.93261917759598,0.285702919336095,0.1,5
2022,2031.32157701569,1298.33566404177,3178.12062283209,7.61644188337263,0.228373287526718,0.1,5
2023,2362.7913675669,1465.8633583309,3808.52895661809,7.7675989819504,0.243575552793213,0.1,5
2003,2834.23654241286,1707.02085993479,4705.7988375463,7.94952788268598,0.258689926822259,0.1,6
2004,1533.94057256241,832.223979657114,2827.33222986745,7.33559524099583,0.311992278893324,0.1,6
2005,2418.36093600915,1470.34363037987,3977.62094246234,7.79084529051026,0.253879091563608,0.1,6
2006,853.121935482536,423.118502906762,1720.12576099006,6.74890248625849,0.357787287553321,0.1,6
2007,3043.83749155972,1882.16210534353,4922.50197191891,8.02087433107806,0.245258527105498,0.1,6
2008,4889.53261394032,3402.40992668883,7026.64572991428,8.49485199792956,0.185009897783694,0.1,6
2009,4146.52449269483,2808.43644004733,6122.14865301647,8.33002579070966,0.198800903153174,0.1,6
2010,2994.39366214172,1935.15891955623,4633.41450320301,8.00449704001762,0.22273486268114,0.1,6
2011,2546.9778730795,1523.11417047399,4259.10047435103,7.84266278749747,0.262326490317807,0.1,6
2012,2824.62331257498,1757.83453352548,4538.82132008212,7.94613029400846,0.241990335502799,0.1,6
2013,1177.95397814283,665.111518791424,2086.22995605891,7.0715342956579,0.29162758914935,0.1,6
2014,4311.86445608716,2757.11267355477,6743.34976078318,8.36912567797769,0.228160518837423,0.1,6
2015,2568.77591512268,1528.2982805091,4317.61900557544,7.85118476680589,0.26494089201081,0.1,6
2016,2538.1997492633,1519.34840004614,4240.27692856005,7.83921034859082,0.261828030968857,0.1,6
2017,1359.39871648064,826.145893494295,2236.85051868139,7.21479776073131,0.254099759091959,0.1,6
2018,2054.90951007798,1259.56191445913,3352.47759251453,7.62798709193549,0.2497330783857,0.1,6
2019,503.72068995336,230.539958209509,1100.60978347407,6.22202192785274,0.39878167768246,0.1,6
