"","X.3","X.2","X.1","X","srvy","common_name","species_code","filter_lat_lt","filter_lat_gt","filter_depth","model_fn","model_family","model_anisotropy","model_spatiotemporal","file_name","effort","term","estimate","std.error","conf.low","conf.high"
"1",1,1,1,1,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3","factor(year)1991",18.8645900151054,1396.84550445535,-2718.90229068406,2756.63147071427
"2",2,2,2,2,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3","factor(year)1994",18.6141164123919,1055.33351293785,-2049.80156062393,2087.02979344871
"3",3,3,3,3,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3","factor(year)1997",18.3568755244881,955.054155844857,-1853.51487321674,1890.22862426571
"4",4,4,4,4,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3","factor(year)2000",19.3303230818884,1468.8298264782,-2859.52323623359,2898.18388239737
"5",5,5,5,5,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3","factor(year)2002",20.1007432475458,2321.01381978374,-4529.00275114832,4569.20423764341
"6",6,6,6,6,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3","factor(year)2004",20.2235956092792,2279.37964861389,-4447.2784227675,4487.72561398606
"7",7,7,7,7,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3","factor(year)2006",20.4582324522247,2720.72818145774,-5312.07101492811,5352.98747983256
"8",8,8,8,8,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3","factor(year)2010",19.9062035542976,2005.76133074192,-3911.31376628299,3951.12617339159
"9",9,9,9,9,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3","factor(year)2012",18.6118541521514,1021.59711528599,-1983.6816985184,2020.9054068227
"10",10,10,10,10,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3","factor(year)2014",20.2410402464857,2215.9103297605,-4322.86339905436,4363.34547954733
"11",11,11,11,11,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3","factor(year)2016",20.1044927340875,1988.43395353536,-3877.15444183181,3917.36342729998
"12",12,12,12,12,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3","factor(year)2018",19.1143813501509,1234.72986827931,-2400.91169111318,2439.14045381348
"13",13,13,13,13,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3","factor(year)2022",21.0494340809081,3185.47803617759,-6222.37279037055,6264.47165853236
"14",14,14,14,14,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3","factor(year)2024",19.4126324772272,1627.57693000165,-3170.57953239428,3209.40479734873
"15",15,15,15,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1","factor(year)1991",19.1299161850929,1288.90059039674,-2507.06882064494,2545.32865301512
"16",16,16,16,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1","factor(year)1994",19.3282247162634,1018.34989178594,-1976.60088684444,2015.25733627696
"17",17,17,17,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1","factor(year)1997",19.2376740645336,1213.42895946932,-2359.03938429324,2397.51473242231
"18",18,18,18,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1","factor(year)2000",19.3414815464552,1156.76113078454,-2247.86867350707,2286.55163659998
"19",19,19,19,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1","factor(year)2002",19.2432372549326,1329.88898490288,-2587.29127659124,2625.77775110111
"20",20,20,20,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1","factor(year)2004",19.4048573973322,1155.19584704793,-2244.73739790686,2283.54711270152
"21",21,21,21,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1","factor(year)2006",19.2545618231523,884.499596103041,-1714.33279087903,1752.84191452534
"22",22,22,22,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1","factor(year)2010",19.3688826524563,1360.79227609472,-2647.73496893349,2686.4727342384
"23",23,23,23,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1","factor(year)2012",19.4350829763133,1262.42393835324,-2454.87036941726,2493.74053536988
"24",24,24,24,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1","factor(year)2014",19.4666497104087,1216.59307802743,-2365.01196706407,2403.94526648489
"25",25,25,25,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1","factor(year)2016",19.5166130040551,567.372850129434,-1092.51373905548,1131.54696506359
"26",26,26,26,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1","factor(year)2018",19.5166126409797,1251.74100629425,-2433.85067766767,2472.88390294963
"27",27,27,27,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1","factor(year)2022",19.5252532441928,1302.42737047953,-2533.1854853749,2572.23599186328
"28",28,28,28,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1","factor(year)2024",19.2661578693961,1330.1132358661,-2587.7078797882,2626.24019552699
"29",29,29,NA,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3","factor(year)1991",18.8645900151054,1396.84550445535,-2718.90229068406,2756.63147071427
"30",30,30,NA,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3","factor(year)1994",18.6141164123919,1055.33351293785,-2049.80156062393,2087.02979344871
"31",31,31,NA,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3","factor(year)1997",18.3568755244881,955.054155844857,-1853.51487321674,1890.22862426571
"32",32,32,NA,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3","factor(year)2000",19.3303230818884,1468.8298264782,-2859.52323623359,2898.18388239737
"33",33,33,NA,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3","factor(year)2002",20.1007432475458,2321.01381978374,-4529.00275114832,4569.20423764341
"34",34,34,NA,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3","factor(year)2004",20.2235956092792,2279.37964861389,-4447.2784227675,4487.72561398606
"35",35,35,NA,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3","factor(year)2006",20.4582324522247,2720.72818145774,-5312.07101492811,5352.98747983256
