"","X.3","X.2","X.1","X","srvy","common_name","species_code","filter_lat_lt","filter_lat_gt","filter_depth","model_fn","model_family","model_anisotropy","model_spatiotemporal","file_name","effort","year","est","lwr","upr","log_est","se","type"
"1",1,1,1,1,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3",1991,1003367.73561822,675616.458938064,1490115.87796729,13.8188726354607,0.201785243506715,"index"
"2",2,2,2,2,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3",1994,1298209.69778064,894878.469852195,1883326.59259315,14.0764967177282,0.189826711358247,"index"
"3",3,3,3,3,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3",1997,887367.215163462,608594.963066286,1293833.5384501,13.6960141724208,0.192404521331859,"index"
"4",4,4,4,4,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3",2000,746057.919490488,520022.301104253,1070343.36422216,13.5225585162397,0.184152128666535,"index"
"5",5,5,5,5,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3",2002,792123.389519008,534154.334986148,1174678.22149071,13.582472453509,0.201040612788861,"index"
"6",6,6,6,6,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3",2004,1574598.92195678,1095567.71266469,2263084.00326715,14.2695111450865,0.185068655349722,"index"
"7",7,7,7,7,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3",2006,848870.787272008,589308.854146499,1222757.14748495,13.6516622596849,0.186205750205836,"index"
"8",8,8,8,8,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3",2010,915424.057349632,628562.725580225,1333202.19394318,13.7271426875529,0.191815557045368,"index"
"9",9,9,9,9,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3",2012,539367.066275182,374989.717621627,775799.491323224,13.1981516316042,0.185461441929795,"index"
"10",10,10,10,10,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3",2014,968142.358893063,679561.575519709,1379271.07836579,13.7831344204179,0.180580508558106,"index"
"11",11,11,11,11,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3",2016,599899.695489263,422422.138637235,851943.143437292,13.3045177460386,0.17896110707036,"index"
"12",12,12,12,12,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3",2018,878053.938847751,625222.517713106,1233126.92310904,13.6854633044976,0.173268699567907,"index"
"13",13,13,13,13,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3",2022,789462.895274853,534810.82192466,1165368.45827617,13.5791081138215,0.198697403333387,"index"
"14",14,14,14,14,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3",2024,561958.843046722,371599.126128232,849834.456202231,13.2391838931812,0.211030897593521,"index"
"15",15,15,15,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1",1991,1162229.45765535,828344.287253619,1630695.51275638,13.9658506647615,0.17279221180947,"index"
"16",16,16,16,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1",1994,1565713.9725205,1101449.53649435,2225667.32521249,14.2638524903963,0.179449654400207,"index"
"17",17,17,17,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1",1997,1048454.98791764,732721.86114883,1500238.9309988,13.8628281984242,0.182812921626206,"index"
"18",18,18,18,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1",2000,682812.534283401,482499.011283469,966287.901262885,13.4339756269152,0.177167274015541,"index"
"19",19,19,19,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1",2002,801636.602168029,560147.063847236,1147236.65160684,13.5944106696576,0.182889088900498,"index"
"20",20,20,20,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1",2004,1203389.60265608,860641.398558352,1682636.38979779,14.0006528017577,0.171033550552365,"index"
"21",21,21,21,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1",2006,825430.568687817,580428.68614489,1173848.98435949,13.6236604306134,0.179665651938392,"index"
"22",22,22,22,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1",2010,990934.110481619,707679.01593855,1387564.68568409,13.8064033231921,0.171767146382413,"index"
"23",23,23,23,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1",2012,544544.956989956,395490.181926498,749776.413509813,13.2077057835849,0.163178785265881,"index"
"24",24,24,24,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1",2014,1174555.7163228,854149.606534603,1615151.63174249,13.9764005202895,0.162522822908194,"index"
"25",25,25,25,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1",2016,735403.767672146,529588.045783491,1021206.39960118,13.5081749711325,0.167513414804147,"index"
"26",26,26,26,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1",2018,783798.366542818,571800.74809228,1074395.02561834,13.5719070807226,0.160901534941205,"index"
"27",27,27,27,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1",2022,915284.387945037,637434.248835296,1314246.15534328,13.7269901024646,0.184586907568051,"index"
"28",28,28,28,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1",2024,528051.860906303,363279.327083125,767560.240890904,13.1769497792784,0.190831295266272,"index"
"29",29,29,NA,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3",1991,1003367.73561822,675616.458938064,1490115.87796729,13.8188726354607,0.201785243506715,"index"
"30",30,30,NA,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3",1994,1298209.69778064,894878.469852195,1883326.59259315,14.0764967177282,0.189826711358247,"index"
"31",31,31,NA,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3",1997,887367.215163462,608594.963066286,1293833.5384501,13.6960141724208,0.192404521331859,"index"
"32",32,32,NA,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3",2000,746057.919490488,520022.301104253,1070343.36422216,13.5225585162397,0.184152128666535,"index"
"33",33,33,NA,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3",2002,792123.389519008,534154.334986148,1174678.22149071,13.582472453509,0.201040612788861,"index"
"34",34,34,NA,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3",2004,1574598.92195678,1095567.71266469,2263084.00326715,14.2695111450865,0.185068655349722,"index"
"35",35,35,NA,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3",2006,848870.787272008,589308.854146499,1222757.14748495,13.6516622596849,0.186205750205836,"index"
"36",36,36,NA,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3",2010,915424.057349632,628562.725580225,1333202.19394318,13.7271426875529,0.191815557045368,"index"
"37",37,37,NA,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3",2012,539367.066275182,374989.717621627,775799.491323224,13.1981516316042,0.185461441929795,"index"
"38",38,38,NA,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3",2014,968142.358893063,679561.575519709,1379271.07836579,13.7831344204179,0.180580508558106,"index"
"39",39,39,NA,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3",2016,599899.695489263,422422.138637235,851943.143437292,13.3045177460386,0.17896110707036,"index"
"40",40,40,NA,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3",2018,878053.938847751,625222.517713106,1233126.92310904,13.6854633044976,0.173268699567907,"index"
"41",41,41,NA,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3",2022,789462.895274853,534810.82192466,1165368.45827617,13.5791081138215,0.198697403333387,"index"
"42",42,42,NA,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3",2024,561958.843046722,371599.126128232,849834.456202231,13.2391838931812,0.211030897593521,"index"
"43",43,NA,NA,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1",1991,1162229.45765535,828344.287253619,1630695.51275638,13.9658506647615,0.17279221180947,"index"
"44",44,NA,NA,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1",1994,1565713.9725205,1101449.53649435,2225667.32521249,14.2638524903963,0.179449654400207,"index"
"45",45,NA,NA,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1",1997,1048454.98791764,732721.86114883,1500238.9309988,13.8628281984242,0.182812921626206,"index"
"46",46,NA,NA,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1",2000,682812.534283401,482499.011283469,966287.901262885,13.4339756269152,0.177167274015541,"index"
"47",47,NA,NA,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1",2002,801636.602168029,560147.063847236,1147236.65160684,13.5944106696576,0.182889088900498,"index"
"48",48,NA,NA,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1",2004,1203389.60265608,860641.398558352,1682636.38979779,14.0006528017577,0.171033550552365,"index"
"49",49,NA,NA,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1",2006,825430.568687817,580428.68614489,1173848.98435949,13.6236604306134,0.179665651938392,"index"
"50",50,NA,NA,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1",2010,990934.110481619,707679.01593855,1387564.68568409,13.8064033231921,0.171767146382413,"index"
"51",51,NA,NA,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1",2012,544544.956989956,395490.181926498,749776.413509813,13.2077057835849,0.163178785265881,"index"
"52",52,NA,NA,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1",2014,1174555.7163228,854149.606534603,1615151.63174249,13.9764005202895,0.162522822908194,"index"
"53",53,NA,NA,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1",2016,735403.767672146,529588.045783491,1021206.39960118,13.5081749711325,0.167513414804147,"index"
"54",54,NA,NA,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1",2018,783798.366542818,571800.74809228,1074395.02561834,13.5719070807226,0.160901534941205,"index"
"55",55,NA,NA,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1",2022,915284.387945037,637434.248835296,1314246.15534328,13.7269901024646,0.184586907568051,"index"
"56",56,NA,NA,NA,"AI","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1",2024,528051.860906303,363279.327083125,767560.240890904,13.1769497792784,0.190831295266272,"index"
"57",1,1,1,1,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3",1991,6459004.80482466,3641613.55298606,11456114.8407797,15.6809858089104,0.292376996848645,"index"
"58",2,2,2,2,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3",1994,6205380.07374899,3120154.31355129,12341294.0483234,15.6409272275651,0.350789205798749,"index"
"59",3,3,3,3,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3",1997,3047553.33614491,1525838.41330257,6086870.83486491,14.9298496417906,0.352963141711879,"index"
"60",4,4,4,4,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3",2000,10855220.8376329,5502104.51808847,21416499.6405264,16.2001567054112,0.346697946545893,"index"
"61",5,5,5,5,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3",2002,5863252.62000658,3027761.00161637,11354175.995946,15.584215062176,0.337190431261767,"index"
"62",6,6,6,6,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3",2004,10373332.1284355,5896997.66348969,18247594.0448572,16.154748852453,0.288165980673924,"index"
"63",7,7,7,7,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3",2006,9117585.77529,4939666.73246971,16829145.5420126,16.0257156093849,0.312713493918197,"index"
"64",8,8,8,8,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3",2010,13369634.8719766,7560846.08666081,23641155.3100291,16.4084966392046,0.290823191437273,"index"
"65",9,9,9,9,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3",2012,9885663.19162042,5445933.18253672,17944828.4550267,16.1065961030415,0.304197640718743,"index"
"66",10,10,10,10,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3",2014,24608199.2766249,13574500.3696729,44610369.0851848,17.018590249297,0.303519164669912,"index"
"67",11,11,11,11,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3",2016,9581367.34699027,5202772.33442727,17644938.955046,16.0753308690931,0.311550972972614,"index"
"68",12,12,12,12,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3",2018,9949352.08854457,5757951.46372546,17191809.9007001,16.1130179902854,0.279048836531774,"index"
"69",13,13,13,13,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3",2022,9138927.23905876,4957406.56212601,16847516.9494657,16.0280535666359,0.312077303482652,"index"
"70",14,14,14,14,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3",2024,16702608.2067869,9310350.52481006,29964190.9470553,16.6310754452393,0.298188207002379,"index"
"71",15,15,15,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1",1991,4776554.15744444,2897032.57976015,7875461.87032825,15.3792299569393,0.255123276836406,"index"
"72",16,16,16,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1",1994,11072283.9872546,5372373.485488,22819610.9271953,16.2199556056485,0.36897374271556,"index"
"73",17,17,17,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1",1997,3118847.27108236,1654639.24844409,5878748.68161422,14.9529740271202,0.323414341211469,"index"
"74",18,18,18,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1",2000,8831723.48365297,4582074.58854802,17022712.7874896,15.9938607385457,0.334801212296756,"index"
"75",19,19,19,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1",2002,7555464.49869813,4022101.59256413,14192839.8568112,15.8377816340886,0.321672505643273,"index"
"76",20,20,20,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1",2004,13244199.8620223,7737950.3462481,22668642.4875084,16.3990702682952,0.274200380815064,"index"
"77",21,21,21,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1",2006,8573254.00515475,4693659.10580226,15659570.1946145,15.9641579157248,0.307370385941741,"index"
"78",22,22,22,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1",2010,12599236.8220647,7314040.93448882,21703565.7744189,16.3491468004099,0.277474652745183,"index"
"79",23,23,23,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1",2012,10648609.7989328,5907433.64002683,19194949.5431679,16.1809399062878,0.300626876885978,"index"
"80",24,24,24,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1",2014,20144949.571533,11343545.2991902,35775322.6646506,16.8184641733298,0.293018001271328,"index"
"81",25,25,25,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1",2016,11910359.0273691,6664762.89449555,21284575.9716361,16.2929190859123,0.296216743903974,"index"
"82",26,26,26,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1",2018,13331127.7453132,7729499.96661536,22992298.0437865,16.4056122906253,0.278095701668642,"index"
"83",27,27,27,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1",2022,14838126.6193297,8142557.03301825,27039417.7994048,16.5127105491451,0.306176916213007,"index"
"84",28,28,28,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1",2024,15699532.0620096,8893119.20873454,27715282.0265794,16.5691414649068,0.289981375328862,"index"
"85",29,29,NA,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3",1991,6459004.80482466,3641613.55298606,11456114.8407797,15.6809858089104,0.292376996848645,"index"
"86",30,30,NA,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3",1994,6205380.07374899,3120154.31355129,12341294.0483234,15.6409272275651,0.350789205798749,"index"
"87",31,31,NA,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3",1997,3047553.33614491,1525838.41330257,6086870.83486491,14.9298496417906,0.352963141711879,"index"
"88",32,32,NA,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3",2000,10855220.8376329,5502104.51808847,21416499.6405264,16.2001567054112,0.346697946545893,"index"
"89",33,33,NA,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3",2002,5863252.62000658,3027761.00161637,11354175.995946,15.584215062176,0.337190431261767,"index"
"90",34,34,NA,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3",2004,10373332.1284355,5896997.66348969,18247594.0448572,16.154748852453,0.288165980673924,"index"
"91",35,35,NA,NA,"AI","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3",2006,9117585.77529,4939666.73246971,16829145.5420126,16.0257156093849,0.312713493918197,"index"
