"","X.2","X.1","X","srvy","common_name","species_code","filter_lat_lt","filter_lat_gt","filter_depth","model_fn","model_family","model_anisotropy","model_spatiotemporal","file_name","effort","term","estimate","std.error","conf.low","conf.high"
"1","1","1","1","AI","flathead sole","10130",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","flathead_sole","08_3","range","0.501200119088302","NaN","NaN","NaN"
"2","2","2","2","AI","flathead sole","10130",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","flathead_sole","08_3","sigma_O","0.481116858500426","NaN","NaN","NaN"
"3","3","3","3","AI","flathead sole","10130",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","flathead_sole","08_3","sigma_E","0.223746316743324","187.621609922193","0","Inf"
"4","4","4",NA,"AI","flathead sole","10130",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","flathead_sole","1_1","range","2.82606511972872","NaN","NaN","NaN"
"5","5","5",NA,"AI","flathead sole","10130",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","flathead_sole","1_1","sigma_O","0.281743653618377","NaN","NaN","NaN"
"6","6","6",NA,"AI","flathead sole","10130",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","flathead_sole","1_1","sigma_E","0.281744144512887","NaN","NaN","NaN"
"7","7",NA,NA,"AI","flathead sole","10130",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","flathead_sole","08_3","range","0.501200119088302","NaN","NaN","NaN"
"8","8",NA,NA,"AI","flathead sole","10130",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","flathead_sole","08_3","sigma_O","0.481116858500426","NaN","NaN","NaN"
"9","9",NA,NA,"AI","flathead sole","10130",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","flathead_sole","08_3","sigma_E","0.223746316743324","187.621609922193","0","Inf"
"10",NA,NA,NA,"AI","flathead sole","10130",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","flathead_sole","1_1","range","2.82606511972872","NaN","NaN","NaN"
"11",NA,NA,NA,"AI","flathead sole","10130",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","flathead_sole","1_1","sigma_O","0.281743653618377","NaN","NaN","NaN"
"12",NA,NA,NA,"AI","flathead sole","10130",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","flathead_sole","1_1","sigma_E","0.281744144512887","NaN","NaN","NaN"
