"","X.2","X.1","X","srvy","common_name","species_code","filter_lat_lt","filter_lat_gt","filter_depth","model_fn","model_family","model_anisotropy","model_spatiotemporal","file_name","effort","term","estimate","std.error","conf.low","conf.high"
"1","1","1","1","AI","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","08_3","factor(year)1991","18.0922991786734","861.525388769074","-1670.46643457558","1706.65103293293"
"2","2","2","2","AI","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","08_3","factor(year)1994","17.830416767919","789.02836120425","-1528.63675397307","1564.29758750891"
"3","3","3","3","AI","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","08_3","factor(year)1997","18.2712565910484","918.785070810218","-1782.51439173006","1819.05690491216"
"4","4","4","4","AI","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","08_3","factor(year)2000","18.5833384395242","1034.15363244491","-2008.32053563376","2045.48721251281"
"5","5","5","5","AI","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","08_3","factor(year)2002","19.3530595675316","1414.2384225699","-2752.5033142222","2791.20943335726"
"6","6","6","6","AI","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","08_3","factor(year)2004","21.4602673790068","3569.2515115087","-6974.1441469432","7017.06468170121"
"7","7","7","7","AI","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","08_3","factor(year)2006","19.5034844792832","1507.01492875019","-2934.19150003529","2973.19846899386"
"8","8","8","8","AI","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","08_3","factor(year)2010","21.2724847601287","3279.51709962139","-6406.46291718104","6449.0078867013"
"9","9","9","9","AI","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","08_3","factor(year)2012","20.3723109265487","2195.7153779545","-4283.15075016503","4323.89537201812"
"10","10","10","10","AI","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","08_3","factor(year)2014","21.0257266322013","2935.55360446772","-5732.55361281127","5774.60506607567"
