"","X.2","X.1","X","srvy","common_name","species_code","filter_lat_lt","filter_lat_gt","filter_depth","model_fn","model_family","model_anisotropy","model_spatiotemporal","file_name","effort","year","est","lwr","upr","log_est","se","type"
"1","1","1","1","AI","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","08_3","1991","8858936.68475595","7093052.78701434","11064454.4092769","15.9969373023719","0.113426023049844","index"
"2","2","2","2","AI","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","08_3","1994","8550485.68535624","6994288.30338267","10452929.917133","15.9614986446044","0.102498938196261","index"
"3","3","3","3","AI","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","08_3","1997","3890269.61182991","3045902.65569716","4968706.93632303","15.1739890221466","0.124839624721228","index"
"4","4","4","4","AI","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","08_3","2000","4916846.80237528","3765757.9209573","6419791.97427603","15.4081779891821","0.136083257295629","index"
"5","5","5","5","AI","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","08_3","2002","3588420.13901705","2735858.46174202","4706661.28170389","15.0932225909069","0.138403954603027","index"
"6","6","6","6","AI","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","08_3","2004","4317303.03405645","3287595.2743406","5669525.57492392","15.2781414675932","0.139020172771666","index"
"7","7","7","7","AI","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","08_3","2006","3228235.6914035","2384212.20649252","4371047.86682675","14.9874463203916","0.15462886399226","index"
"8","8","8","8","AI","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","08_3","2010","3046658.32201798","2338629.82722434","3969044.96088555","14.9295559158147","0.134941328507063","index"
"9","9","9","9","AI","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","08_3","2012","2953396.89286044","2233823.26389134","3904764.24332824","14.8984665549661","0.142472725847277","index"
"10","10","10","10","AI","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","08_3","2014","4070410.44654684","3043046.38898575","5444623.27729412","15.2192543991515","0.148413301566841","index"
"11","11","11","11","AI","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","08_3","2016","3043568.23604535","2312448.45252959","4005843.93452364","14.9285411469195","0.140167723368527","index"
