"","X.2","X.1","X","srvy","common_name","species_code","filter_lat_lt","filter_lat_gt","filter_depth","model_fn","model_family","model_anisotropy","model_spatiotemporal","file_name","effort","year","est","lwr","upr","log_est","se","type"
"1","1","1","1","AI","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","08_3","1991","27322446.2078901","18311309.6754362","40768032.4354117","17.1232191277467","0.204182163005643","index"
"2","2","2","2","AI","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","08_3","1994","45623856.649756","30088324.0172682","69180865.4547477","17.6359413098216","0.212398577241377","index"
"3","3","3","3","AI","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","08_3","1997","54151089.8297121","36883268.0434984","79503273.0366323","17.8072886573345","0.195932218522253","index"
"4","4","4","4","AI","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","08_3","2000","38827626.7139631","26933997.7256609","55973294.8519015","17.4746425799317","0.186606835771329","index"
"5","5","5","5","AI","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","08_3","2002","29488805.4332412","20017033.3543904","43442483.7329266","17.1995212724512","0.197670538199971","index"
"6","6","6","6","AI","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","08_3","2004","44036727.7702557","31664477.5587225","61243182.9678939","17.6005345657471","0.168282958037066","index"
"7","7","7","7","AI","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","08_3","2006","46319939.1186226","32033110.6404827","66978720.3632173","17.6510830768634","0.188167969633208","index"
"8","8","8","8","AI","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","08_3","2010","60474219.7965062","42587333.8058914","85873684.3368725","17.9177277131205","0.17891159090574","index"
"9","9","9","9","AI","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","08_3","2012","57594518.3533441","41864777.7130956","79234352.2539731","17.8689379536607","0.162749189363793","index"
"10","10","10","10","AI","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","08_3","2014","62773805.8349436","45456282.164153","86688803.205968","17.955048439887","0.164690194291096","index"
"11","11","11","11","AI","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","08_3","2016","69898410.9653057","51290116.7935534","95257881.2627863","18.0625534739743","0.157933941609023","index"
"12","12","12","12","AI","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","08_3","2018","67440777.1040576","49310393.5504208","92237317.3061071","18.0267603944868","0.159755463692115","index"
"13","13","13","13","AI","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","08_3","2022","56547677.2253587","40588786.4235554","78781360.1080623","17.8505946849765","0.1691828511307","index"
"14","14","14","14","AI","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","08_3","2024","56124138.8676501","39189064.5827652","80377498.0896216","17.8430765607936","0.183252479387007","index"
"15","15","15",NA,"AI","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","1_1","1991","19560318.54052","13394448.726041","28564524.6946788","16.789013507741","0.193198755598569","index"
"16","16","16",NA,"AI","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","1_1","1994","38410255.4840061","26428305.7152146","55824529.2847994","17.4638350517971","0.190763133827197","index"
"17","17","17",NA,"AI","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","1_1","1997","41538400.5525563","28875841.4562355","59753712.219251","17.5421288718808","0.185520247834038","index"
"18","18","18",NA,"AI","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","1_1","2000","31129032.3407021","22191022.7349327","43667056.9916128","17.2536514574728","0.172683312751392","index"
"19","19","19",NA,"AI","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","1_1","2002","26474842.9423137","18634326.6933828","37614308.2791972","17.0917055171325","0.179181638515498","index"
"20","20","20",NA,"AI","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","1_1","2004","42476966.50069","31113580.090504","57990519.8261456","17.5644725222891","0.158838419503781","index"
"21","21","21",NA,"AI","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","1_1","2006","48214532.2150409","34044494.4985854","68282438.9362519","17.6911710318167","0.177550274295614","index"
"22","22","22",NA,"AI","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","1_1","2010","63650876.5675529","45269947.7998682","89495002.4181307","17.9689236545548","0.173865280645795","index"
"23","23","23",NA,"AI","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","1_1","2012","57368736.0826404","42234505.3679172","77926137.669881","17.8650100453547","0.156258961961269","index"
"24","24","24",NA,"AI","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","1_1","2014","56533021.2626471","40899309.8473241","78142699.8404969","17.8503354725205","0.165162078666626","index"
