"","X.5","X.4","X.3","X.2","X.1","X","srvy","common_name","file_name","species_code","filter_lat_lt","filter_lat_gt","filter_depth","model_fn","model_family","model_anisotropy","model_spatiotemporal","effort","term","estimate","std.error","conf.low","conf.high","X.14","X.13","X.12","X.11","X.10","X.9","X.8","X.7","X.6","X.21","X.20","X.19","X.18","X.17","X.16","X.15"
"1",1,1,1,1,1,1,"EBS","walleye pollock","walleye_pollock_test",21740,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","05_1","factor(year)2015",19.7711681538617,1391.12336348758,-2706.78052233402,2746.32285864175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,2,2,2,2,2,"EBS","walleye pollock","walleye_pollock_test",21740,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","05_1","factor(year)2016",19.9063397854005,1384.99026178078,-2694.62469224362,2734.43737181442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,3,3,3,3,3,"EBS","walleye pollock","walleye_pollock_test",21740,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","05_1","factor(year)2017",19.8600652694612,1340.32067144983,-2607.12017850674,2646.84030904566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,4,4,4,4,4,"EBS","walleye pollock","walleye_pollock_test",21740,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","05_1","factor(year)2018",19.8007076153162,1454.16721362916,-2830.31465859681,2869.91607382744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,5,5,5,5,5,"EBS","walleye pollock","walleye_pollock_test",21740,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","05_1","factor(year)2019",20.1184359121756,1272.46601203949,-2473.86911923654,2514.10599106089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,6,6,6,6,6,"EBS","walleye pollock","walleye_pollock_test",21740,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","05_1","factor(year)2021",19.7194338409549,1278.25342698652,-2485.61124616753,2525.05011384944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,7,7,7,7,7,"EBS","walleye pollock","walleye_pollock_test",21740,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","05_1","factor(year)2022",19.7343176468037,774.53547512943,-1498.3273183555,1537.79595364911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,8,8,8,8,8,"EBS","walleye pollock","walleye_pollock_test",21740,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","05_1","factor(year)2023",19.8257148691598,1362.21586111367,-2650.06831208284,2689.71974182116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,9,9,9,9,9,"EBS","walleye pollock","walleye_pollock_test",21740,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","05_1","factor(year)2024",19.4626441881557,1249.78017214844,-2430.06148181506,2468.98677019138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,10,10,10,10,NA,"EBS","walleye pollock","walleye_pollock_test",21740,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","05_2","factor(year)2015",19.0757493379419,312.905838631882,-594.208424932848,632.359923608731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
