"","X.5","X.4","X.3","X.2","X.1","X","srvy","common_name","file_name","species_code","filter_lat_lt","filter_lat_gt","filter_depth","model_fn","model_family","model_anisotropy","model_spatiotemporal","effort","year","est","lwr","upr","log_est","se","type","X.14","X.13","X.12","X.11","X.10","X.9","X.8","X.7","X.6","X.21","X.20","X.19","X.18","X.17","X.16","X.15"
"1",1,1,1,1,1,1,"EBS","walleye pollock","walleye_pollock_test",21740,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","05_1",2015,311329657.707847,254290108.938923,381163688.092034,19.5563629013777,0.103255247843441,"index",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,2,2,2,2,2,"EBS","walleye pollock","walleye_pollock_test",21740,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","05_1",2016,245697311.501342,201795592.053551,299150086.801536,19.3196108952311,0.100433005036051,"index",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,3,3,3,3,3,"EBS","walleye pollock","walleye_pollock_test",21740,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","05_1",2017,241587104.800469,198504083.406401,294020798.989723,19.3027406484302,0.100216341107674,"index",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,4,4,4,4,4,"EBS","walleye pollock","walleye_pollock_test",21740,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","05_1",2018,127954658.407146,101264146.641089,161680072.870393,18.667186527935,0.119361149325883,"index",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,5,5,5,5,5,"EBS","walleye pollock","walleye_pollock_test",21740,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","05_1",2019,206496852.744605,166663256.610339,255850935.95718,19.145795729303,0.109343755202833,"index",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,6,6,6,6,6,"EBS","walleye pollock","walleye_pollock_test",21740,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","05_1",2021,142822420.891912,115820004.171776,176120213.906858,18.7771126045921,0.106922754940271,"index",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,7,7,7,7,7,"EBS","walleye pollock","walleye_pollock_test",21740,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","05_1",2022,216484017.731889,177040721.49782,264714973.689925,19.1930272815821,0.102622779873495,"index",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,8,8,8,8,8,"EBS","walleye pollock","walleye_pollock_test",21740,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","05_1",2023,168205043.042208,134684557.650529,210068154.793542,18.9406942874687,0.113394070987105,"index",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,9,9,9,9,9,"EBS","walleye pollock","walleye_pollock_test",21740,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","05_1",2024,185178673.686389,148349910.633483,231150400.036107,19.0368317206645,0.113138516889032,"index",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,10,10,10,10,NA,"EBS","walleye pollock","walleye_pollock_test",21740,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","05_2",2015,309124707.988389,257670714.689265,370853494.950501,19.5492553391662,0.0928906411211785,"index",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
