"","X.4","X.3","X.2","X.1","X","srvy","common_name","file_name","species_code","filter_lat_lt","filter_lat_gt","filter_depth","model_fn","model_family","model_anisotropy","model_spatiotemporal","effort","term","estimate","std.error","conf.low","conf.high"
"1","1","1","1","1","1","EBS","walleye pollock","walleye_pollock_test","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","05_1","range","3.72980992410144","3393.69025224349","0","Inf"
"2","2","2","2","2","2","EBS","walleye pollock","walleye_pollock_test","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","05_1","sigma_O","0.181289232988055","140.507321139013","0","Inf"
"3","3","3","3","3","3","EBS","walleye pollock","walleye_pollock_test","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","05_1","sigma_E","0.371750270371324","336.22672596309","0","Inf"
"4","4","4","4","4",NA,"EBS","walleye pollock","walleye_pollock_test","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","05_2","range","2.8284007353565","NaN","NaN","NaN"
"5","5","5","5","5",NA,"EBS","walleye pollock","walleye_pollock_test","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","05_2","sigma_O","0.282090877383181","NaN","NaN","NaN"
"6","6","6","6","6",NA,"EBS","walleye pollock","walleye_pollock_test","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","05_2","sigma_E","0.282090872979766","NaN","NaN","NaN"
"7","7","7","7",NA,NA,"EBS","walleye pollock","walleye_pollock_test","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","05_3","range","2.82841032141614","NaN","NaN","NaN"
"8","8","8","8",NA,NA,"EBS","walleye pollock","walleye_pollock_test","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","05_3","sigma_O","0.282092297476136","177.607711106279","0","Inf"
"9","9","9","9",NA,NA,"EBS","walleye pollock","walleye_pollock_test","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","05_3","sigma_E","0.28209230720746","NaN","NaN","NaN"
"10","10","10",NA,NA,NA,"EBS","walleye pollock","simple_walleye_pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","05_1","range","3.72980992410144","3393.69025224349","0","Inf"
"11","11","11",NA,NA,NA,"EBS","walleye pollock","simple_walleye_pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","05_1","sigma_O","0.181289232988055","140.507321139013","0","Inf"
"12","12","12",NA,NA,NA,"EBS","walleye pollock","simple_walleye_pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","05_1","sigma_E","0.371750270371324","336.22672596309","0","Inf"
"13","13",NA,NA,NA,NA,"EBS","walleye pollock","simple_walleye_pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","05_2","range","2.8284007353565","NaN","NaN","NaN"
"14","14",NA,NA,NA,NA,"EBS","walleye pollock","simple_walleye_pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","05_2","sigma_O","0.282090877383181","NaN","NaN","NaN"
"15","15",NA,NA,NA,NA,"EBS","walleye pollock","simple_walleye_pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","05_2","sigma_E","0.282090872979766","NaN","NaN","NaN"
"16",NA,NA,NA,NA,NA,"EBS","walleye pollock","simple_walleye_pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","05_3","range","2.82841032141614","NaN","NaN","NaN"
"17",NA,NA,NA,NA,NA,"EBS","walleye pollock","simple_walleye_pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","05_3","sigma_O","0.282092297476136","177.607711106279","0","Inf"
"18",NA,NA,NA,NA,NA,"EBS","walleye pollock","simple_walleye_pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","05_3","sigma_E","0.28209230720746","NaN","NaN","NaN"
