"","X.1","X","srvy","common_name","species_code","filter_lat_lt","filter_lat_gt","filter_depth","model_fn","model_family","model_anisotropy","model_spatiotemporal","file_name","effort","term","estimate","std.error","conf.low","conf.high"
"1",1,1,"GOA","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3","factor(year)1990",22.2096246968503,3623.12984378746,-7078.99438043881,7123.41362983251
"2",2,2,"GOA","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3","factor(year)1993",22.1542474222739,3324.97807247423,-6494.68302401262,6538.99151885717
"3",3,3,"GOA","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3","factor(year)1996",22.0277079055757,3275.99617999106,-6398.80681836769,6442.86223417885
"4",4,4,"GOA","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3","factor(year)1999",23.3406047596497,6546.77447182863,-12808.1015749307,12854.78278445
"5",5,5,"GOA","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3","factor(year)2001",21.6608811266312,3589.08265074371,-7012.81185186858,7056.13361412184
"6",6,6,"GOA","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3","factor(year)2003",22.0969823172474,3319.43318446163,-6483.87250831464,6528.06647294913
"7",7,7,"GOA","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3","factor(year)2005",22.2575762627092,3703.38995855518,-7236.25336321273,7280.76851573815
"8",8,8,"GOA","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3","factor(year)2007",22.8165433196667,4877.67066642788,-9537.24229132647,9582.8753779658
"9",9,9,"GOA","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3","factor(year)2009",22.5883643249266,4129.10814929347,-8070.31489656111,8115.49162521097
"10",10,10,"GOA","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3","factor(year)2011",23.3194207212316,6693.06321718882,-13094.8434312186,13141.4822726611
"11",11,11,"GOA","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3","factor(year)2013",21.9929676774309,3853.5476084587,-7530.82155761208,7574.80749296694
