"","X.1","X","srvy","common_name","species_code","filter_lat_lt","filter_lat_gt","filter_depth","model_fn","model_family","model_anisotropy","model_spatiotemporal","file_name","effort","year","est","lwr","upr","log_est","se","type"
"1",1,1,"GOA","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3",1990,13633865.1358045,11327309.6563526,16410099.5011696,16.4280673391004,0.0945630577177572,"index"
"2",2,2,"GOA","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3",1993,12573857.7514652,10014298.404776,15787616.1028596,16.3471304349508,0.116127626098612,"index"
"3",3,3,"GOA","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3",1996,9991137.3918481,7583963.82084619,13162355.2987424,16.1172089971818,0.140646688872163,"index"
"4",4,4,"GOA","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3",1999,7146545.68398241,5486662.45308359,9308594.36861178,15.7821396768082,0.134853998499991,"index"
"5",5,5,"GOA","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3",2001,11322791.4698479,8269929.88974411,15502623.1635475,16.2423281966158,0.160304786103755,"index"
"6",6,6,"GOA","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3",2003,11073004.5800506,8457789.28577157,14496865.1129781,16.2200206843034,0.137462883365804,"index"
"7",7,7,"GOA","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3",2005,9887254.77517861,7490130.16642585,13051549.8151804,16.1067570892515,0.141666049684686,"index"
"8",8,8,"GOA","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3",2007,16049136.1174786,12307891.8638813,20927610.7530027,16.5911655816356,0.135417974097295,"index"
"9",9,9,"GOA","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3",2009,8611718.75204412,6526864.51339621,11362530.9230938,15.9686344792513,0.141429772130397,"index"
"10",10,10,"GOA","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3",2011,8431413.98681567,6207232.0008997,11452567.2323456,15.9474750486308,0.156252578644013,"index"
"11",11,11,"GOA","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3",2013,10851428.4988773,7955373.94261617,14801755.5573915,16.1998072881672,0.158395289262443,"index"
"12",12,12,"GOA","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3",2015,11052113.2231244,8322596.23546133,14676815.171725,16.2181322095553,0.144720719431897,"index"
"13",13,13,"GOA","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3",2017,10934405.7953797,7989734.24883177,14964356.3070342,16.2074248709165,0.160082948806025,"index"
"14",14,14,"GOA","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3",2019,8037298.94983767,5902328.59277324,10944523.5712826,15.8996036331981,0.157526427975527,"index"
"15",15,15,"GOA","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3",2021,6101960.4521033,4251030.06746862,8758799.81277207,15.624120663101,0.184416032948487,"index"
"16",16,16,"GOA","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","08_3",2023,5757063.9163702,4070959.7588711,8141516.22721092,15.5659381659709,0.17681387316026,"index"
"17",17,NA,"GOA","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1",1990,13727369.8100124,11675601.2168166,16139698.3676888,16.4349021942084,0.0825986289569184,"index"
"18",18,NA,"GOA","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1",1993,12829349.413061,10283340.8082141,16005713.4575309,16.367246027049,0.112864461925719,"index"
"19",19,NA,"GOA","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1",1996,9561963.44774985,7402797.36368442,12350891.2218283,16.0733036455035,0.130581550814555,"index"
"20",20,NA,"GOA","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1",1999,6509635.37170732,5083476.79269461,8335899.70027602,15.6887940021257,0.126169669754749,"index"
"21",21,NA,"GOA","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1",2001,10344819.6730572,7733446.2373583,13837982.5479497,16.1519964376959,0.148437059288067,"index"
"22",22,NA,"GOA","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1",2003,11990182.6358384,9291572.93420921,15472566.4490517,16.2995987592345,0.130094404804534,"index"
"23",23,NA,"GOA","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1",2005,10757097.8810378,8241848.23983329,14039952.1387656,16.1910763626604,0.135890856707938,"index"
"24",24,NA,"GOA","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1",2007,14423249.4489189,11210622.6550155,18556518.319049,16.4843520076334,0.128563418262145,"index"
"25",25,NA,"GOA","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1",2009,8849219.11308525,6775671.23918694,11557331.5391244,15.9958397772815,0.136222289629004,"index"
"26",26,NA,"GOA","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1",2011,9287126.39106588,6997274.69274419,12326329.9485826,16.0441397401267,0.144445735103636,"index"
"27",27,NA,"GOA","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1",2013,11164282.6107797,8340043.14171918,14944911.4465451,16.2282301877912,0.148804387683742,"index"
"28",28,NA,"GOA","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1",2015,10550443.4974409,7989891.68392375,13931585.3576164,16.1716784546749,0.141834592713031,"index"
"29",29,NA,"GOA","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1",2017,9612550.49945202,7173562.13718332,12880787.1650773,16.0785801463013,0.14932276719433,"index"
"30",30,NA,"GOA","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1",2019,7048118.49001395,5270251.51749426,9425731.2168841,15.7682712583203,0.148310180674121,"index"
"31",31,NA,"GOA","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1",2021,7364728.98620521,5266605.15249159,10298708.8399044,15.8122128096737,0.171082878544908,"index"
"32",32,NA,"GOA","flathead sole",10130,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","flathead_sole","1_1",2023,5648696.78894394,4062671.6574465,7853889.78086417,15.5469354196932,0.168158223020809,"index"
"33",1,1,"GOA","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3",1990,23610601.4932696,12565836.738063,44363182.0541955,16.9772063849451,0.321798803659055,"index"
"34",2,2,"GOA","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3",1993,17335837.7416235,9036400.02416184,33257853.7249707,16.6682864625343,0.332411739212718,"index"
"35",3,3,"GOA","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3",1996,22060325.7672807,10397153.3906431,46806847.4777447,16.9092913390097,0.383807422348584,"index"
"36",4,4,"GOA","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3",1999,7419979.20917638,3791134.85734188,14522324.7223687,15.8196868131418,0.34261387022761,"index"
"37",5,5,"GOA","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3",2001,10943081.6491487,5354522.98202937,22364463.9087066,16.2082180016858,0.36468314132998,"index"
"38",6,6,"GOA","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3",2003,5937650.8480965,2861267.36687216,12321706.8080015,15.5968241329975,0.372480779670166,"index"
"39",7,7,"GOA","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3",2005,19679780.2719709,10179456.0197442,38046605.909182,16.7951022844839,0.336342993136265,"index"
"40",8,8,"GOA","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3",2007,30312354.9214677,15753881.9619021,58324599.8101976,17.2270659405546,0.333918673546641,"index"
"41",9,9,"GOA","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3",2009,11631471.6847291,5752031.57536464,23520582.5594024,16.2692250585982,0.359272617418577,"index"
"42",10,10,"GOA","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3",2011,18903215.6188105,9232904.67344229,38701965.7810477,16.7548426041193,0.365597711804224,"index"
"43",11,11,"GOA","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3",2013,29194980.6650328,13679059.4069587,62310343.9113683,17.1895073574297,0.386808457918727,"index"
"44",12,12,"GOA","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3",2015,13968543.2073174,6379633.65503781,30584859.552337,16.4523184457181,0.399852864168907,"index"
"45",13,13,"GOA","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3",2017,11879604.2484173,5856186.26912052,24098447.4560109,16.2903335589211,0.360886435736335,"index"
"46",14,14,"GOA","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3",2019,19447829.9283765,8321090.84822144,45452945.5118133,16.7832460499983,0.433141701034583,"index"
"47",15,15,"GOA","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3",2021,10307457.4678887,4451655.29013073,23866106.5442051,16.1483782172281,0.428370961692994,"index"
"48",16,16,"GOA","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","08_3",2023,5454060.72877112,2163565.93935794,13748958.5558695,15.5118709770472,0.471744719833111,"index"
"49",17,NA,"GOA","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1",1990,13733741.1312359,8506598.76429227,22172862.584226,16.4353662192328,0.244399120353415,"index"
"50",18,NA,"GOA","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1",1993,17657464.2244256,9465560.5877365,32938993.9398643,16.6866691541794,0.318117368882279,"index"
"51",19,NA,"GOA","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1",1996,19223628.3170619,9596631.99242363,38508081.3731626,16.7716507218931,0.354459554672514,"index"
"52",20,NA,"GOA","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1",1999,7451086.17560797,3854906.22798134,14402084.4899797,15.8238703751122,0.33623736987241,"index"
"53",21,NA,"GOA","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1",2001,19208249.7760641,10071270.7596141,36634588.4512596,16.7708504205505,0.329420834411774,"index"
"54",22,NA,"GOA","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1",2003,7620605.04931546,3986858.05998448,14566262.5666383,15.8463663273079,0.330542962725069,"index"
"55",23,NA,"GOA","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1",2005,13691545.3207109,7193263.950018,26060271.744736,16.4322890704202,0.328390466314727,"index"
"56",24,NA,"GOA","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1",2007,21116285.5748036,11208217.5076518,39783089.1640216,16.8655551289298,0.323167854435605,"index"
"57",25,NA,"GOA","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1",2009,13917055.4196333,7597614.13167126,25492796.5801469,16.4486256545478,0.308822423980851,"index"
"58",26,NA,"GOA","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1",2011,18563489.3572573,9001363.07989591,38283439.3033936,16.7367072718143,0.369303058816065,"index"
"59",27,NA,"GOA","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1",2013,26615990.7752344,12410763.6445496,57080368.7215872,17.0970227500932,0.389266367244706,"index"
"60",28,NA,"GOA","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1",2015,20195033.0179023,9981080.12904379,40861244.8073029,16.8209472419326,0.35957057154988,"index"
"61",29,NA,"GOA","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1",2017,12937637.9518889,6900158.00530996,24257774.3357977,16.3756512918809,0.320718354119592,"index"
"62",30,NA,"GOA","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1",2019,11422089.5425083,5158737.53725476,25289933.5496147,16.2510597176534,0.405546877250321,"index"
"63",31,NA,"GOA","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1",2021,12578353.8922179,5691096.16138585,27800441.6286907,16.3474879494998,0.404637289876101,"index"
"64",32,NA,"GOA","northern rockfish",30420,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","northern_rockfish","1_1",2023,7370435.34442398,3193991.2667436,17007972.9810028,15.8129873322207,0.426643277801326,"index"
"65",1,1,"GOA","Pacific cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_cod","08_3",1990,20737736.035763,17957058.9913508,23949005.0178108,16.8474655954902,0.0734563198416445,"index"
"66",2,2,"GOA","Pacific cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_cod","08_3",1993,22286674.6269854,19187202.7218152,25886830.5677715,16.9194995074666,0.076402127172579,"index"
"67",3,3,"GOA","Pacific cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_cod","08_3",1996,15543576.1301184,12959085.0341818,18643504.4044791,16.5591580006325,0.0927824974770596,"index"
"68",4,4,"GOA","Pacific cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_cod","08_3",1999,10980053.688633,8815375.32717903,13676284.279531,16.2115908837088,0.112034167104065,"index"
"69",5,5,"GOA","Pacific cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_cod","08_3",2001,10458657.5889663,8132623.65573051,13449966.8487878,16.1629406707902,0.128342423855209,"index"
"70",6,6,"GOA","Pacific cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_cod","08_3",2003,10582992.1593935,8512679.77403175,13156811.4881336,16.1747587572075,0.111069086411165,"index"
"71",7,7,"GOA","Pacific cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_cod","08_3",2005,10227683.2226618,8304146.51507807,12596779.682678,16.1406086433318,0.106299461024335,"index"
"72",8,8,"GOA","Pacific cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_cod","08_3",2007,8861538.55727303,7194781.56693304,10914419.6903688,15.9972309595679,0.106310331402674,"index"
"73",9,9,"GOA","Pacific cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_cod","08_3",2009,18563858.5796796,14980660.5564401,23004115.4772842,16.7367271613267,0.109418607712483,"index"
"74",10,10,"GOA","Pacific cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_cod","08_3",2011,14091121.895798,11255629.3807782,17640925.2263873,16.4610555042535,0.114633000994704,"index"
"75",11,11,"GOA","Pacific cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_cod","08_3",2013,16869994.4800945,13140357.766608,21658216.5275308,16.6410471273196,0.127475979838915,"index"
"76",12,12,"GOA","Pacific cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_cod","08_3",2015,10834242.0971293,8676373.78953224,13528785.7193086,16.1982222410025,0.113322494489408,"index"
"77",13,13,"GOA","Pacific cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_cod","08_3",2017,6524444.43369075,4890282.96783167,8704685.48514135,15.6910663632861,0.147097415641883,"index"
"78",14,14,"GOA","Pacific cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_cod","08_3",2019,6846200.57841897,5334254.56947445,8786693.95123413,15.7392043962728,0.127321057858799,"index"
"79",15,15,"GOA","Pacific cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_cod","08_3",2021,9188351.68483877,7172154.94770273,11771330.555445,16.0334471185974,0.126395384071246,"index"
"80",16,16,"GOA","Pacific cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_cod","08_3",2023,8619612.08099053,6608265.73742728,11243148.4112326,15.969550639422,0.135573323613011,"index"
"81",17,NA,"GOA","Pacific cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_cod","1_1",1990,21005774.6429616,18407242.0572359,23971139.5644648,16.860307940885,0.0673753225653435,"index"
"82",18,NA,"GOA","Pacific cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_cod","1_1",1993,22015599.0523382,19202704.2673467,25240538.7744009,16.9072618079005,0.0697462477071826,"index"
"83",19,NA,"GOA","Pacific cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_cod","1_1",1996,17373345.3920335,14724163.2561573,20499170.2998588,16.6704477156451,0.0844134156402483,"index"
"84",20,NA,"GOA","Pacific cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_cod","1_1",1999,10363294.1188196,8481736.0259808,12662250.3534872,16.1537807093924,0.102223818453863,"index"
"85",21,NA,"GOA","Pacific cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_cod","1_1",2001,11275457.4922736,9034653.97902711,14072032.1946142,16.2381390183412,0.113043319495935,"index"
"86",22,NA,"GOA","Pacific cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_cod","1_1",2003,10673551.0903311,8707129.64672221,13084069.8944681,16.1832793786239,0.103893047315426,"index"
"87",23,NA,"GOA","Pacific cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_cod","1_1",2005,8979833.0032905,7397788.87294215,10900203.0406574,16.0104918435899,0.098879434799755,"index"
"88",24,NA,"GOA","Pacific cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_cod","1_1",2007,10035467.3287408,8263364.88958715,12187602.2482236,16.1216361090077,0.0991312475003154,"index"
"89",25,NA,"GOA","Pacific cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_cod","1_1",2009,16559732.0333316,13620983.6741967,20132519.9100881,16.6224845252284,0.0996765491185407,"index"
"90",26,NA,"GOA","Pacific cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_cod","1_1",2011,15966148.4942371,13047482.7009201,19537707.2791254,16.5859813197983,0.102999618740888,"index"
"91",27,NA,"GOA","Pacific cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_cod","1_1",2013,15179430.7882639,12096249.3959665,19048476.227063,16.5354518317494,0.115841841124942,"index"
"92",28,NA,"GOA","Pacific cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_cod","1_1",2015,9041427.69962811,7329847.55299108,11152675.9945019,16.0173276512733,0.107074607984684,"index"
"93",29,NA,"GOA","Pacific cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_cod","1_1",2017,5767037.05034058,4424843.59080829,7516359.76672467,15.5676689971201,0.135167538852917,"index"
"94",30,NA,"GOA","Pacific cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_cod","1_1",2019,6754770.28766334,5341323.68693874,8542249.88286556,15.7257595225308,0.119785599487839,"index"
"95",31,NA,"GOA","Pacific cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_cod","1_1",2021,8401138.01507089,6695516.83523785,10541250.4643134,15.9438777326219,0.115782230227902,"index"
"96",32,NA,"GOA","Pacific cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_cod","1_1",2023,9008788.79549233,7141611.98062307,11364139.6062949,16.013711191635,0.118503256712197,"index"
