"","X","srvy","common_name","species_code","filter_lat_lt","filter_lat_gt","filter_depth","model_fn","model_family","model_anisotropy","model_spatiotemporal","file_name","effort","year","est","lwr","upr","log_est","se","type"
"1","1","GOA","flathead sole","10130",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","flathead_sole","08_3","1990","13633865.1358045","11327309.6563526","16410099.5011696","16.4280673391004","0.0945630577177572","index"
"2","2","GOA","flathead sole","10130",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","flathead_sole","08_3","1993","12573857.7514652","10014298.404776","15787616.1028596","16.3471304349508","0.116127626098612","index"
"3","3","GOA","flathead sole","10130",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","flathead_sole","08_3","1996","9991137.3918481","7583963.82084619","13162355.2987424","16.1172089971818","0.140646688872163","index"
"4","4","GOA","flathead sole","10130",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","flathead_sole","08_3","1999","7146545.68398241","5486662.45308359","9308594.36861178","15.7821396768082","0.134853998499991","index"
"5","5","GOA","flathead sole","10130",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","flathead_sole","08_3","2001","11322791.4698479","8269929.88974411","15502623.1635475","16.2423281966158","0.160304786103755","index"
"6","6","GOA","flathead sole","10130",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","flathead_sole","08_3","2003","11073004.5800506","8457789.28577157","14496865.1129781","16.2200206843034","0.137462883365804","index"
"7","7","GOA","flathead sole","10130",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","flathead_sole","08_3","2005","9887254.77517861","7490130.16642585","13051549.8151804","16.1067570892515","0.141666049684686","index"
"8","8","GOA","flathead sole","10130",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","flathead_sole","08_3","2007","16049136.1174786","12307891.8638813","20927610.7530027","16.5911655816356","0.135417974097295","index"
"9","9","GOA","flathead sole","10130",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","flathead_sole","08_3","2009","8611718.75204412","6526864.51339621","11362530.9230938","15.9686344792513","0.141429772130397","index"
"10","10","GOA","flathead sole","10130",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","flathead_sole","08_3","2011","8431413.98681567","6207232.0008997","11452567.2323456","15.9474750486308","0.156252578644013","index"
"11","11","GOA","flathead sole","10130",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","flathead_sole","08_3","2013","10851428.4988773","7955373.94261617","14801755.5573915","16.1998072881672","0.158395289262443","index"
"12","12","GOA","flathead sole","10130",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","flathead_sole","08_3","2015","11052113.2231244","8322596.23546133","14676815.171725","16.2181322095553","0.144720719431897","index"
"13","13","GOA","flathead sole","10130",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","flathead_sole","08_3","2017","10934405.7953797","7989734.24883177","14964356.3070342","16.2074248709165","0.160082948806025","index"
"14","14","GOA","flathead sole","10130",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","flathead_sole","08_3","2019","8037298.94983767","5902328.59277324","10944523.5712826","15.8996036331981","0.157526427975527","index"
"15","15","GOA","flathead sole","10130",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","flathead_sole","08_3","2021","6101960.4521033","4251030.06746862","8758799.81277207","15.624120663101","0.184416032948487","index"
"16","16","GOA","flathead sole","10130",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","flathead_sole","08_3","2023","5757063.9163702","4070959.7588711","8141516.22721092","15.5659381659709","0.17681387316026","index"
"17",NA,"GOA","flathead sole","10130",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","flathead_sole","1_1","1990","13727369.8100124","11675601.2168166","16139698.3676888","16.4349021942084","0.0825986289569184","index"
"18",NA,"GOA","flathead sole","10130",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","flathead_sole","1_1","1993","12829349.413061","10283340.8082141","16005713.4575309","16.367246027049","0.112864461925719","index"
"19",NA,"GOA","flathead sole","10130",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","flathead_sole","1_1","1996","9561963.44774985","7402797.36368442","12350891.2218283","16.0733036455035","0.130581550814555","index"
"20",NA,"GOA","flathead sole","10130",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","flathead_sole","1_1","1999","6509635.37170732","5083476.79269461","8335899.70027602","15.6887940021257","0.126169669754749","index"
