"","X","srvy","common_name","species_code","filter_lat_lt","filter_lat_gt","filter_depth","model_fn","model_family","model_anisotropy","model_spatiotemporal","file_name","effort","term","estimate","std.error","conf.low","conf.high"
"1","1","GOA","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","08_3","factor(year)1990","20.5340254568113","3528.41474554825","-6895.03179833782","6936.09984925145"
"2","2","GOA","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","08_3","factor(year)1993","20.3161680767593","2209.13803385309","-4309.51481515292","4350.14715130644"
"3","3","GOA","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","08_3","factor(year)1996","20.6431020749202","3301.36772407451","-6449.91873683409","6491.20494098393"
"4","4","GOA","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","08_3","factor(year)1999","20.594756891863","3242.17466848929","-6333.95082493524","6375.14033871897"
"5","5","GOA","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","08_3","factor(year)2001","20.539016310377","4012.17341190973","-7843.17637076188","7884.25440338264"
"6","6","GOA","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","08_3","factor(year)2003","20.3662493864911","2608.61746794084","-5092.43003721963","5133.16253599261"
"7","7","GOA","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","08_3","factor(year)2005","20.3652641958967","2347.85485698574","-4581.3456964236","4622.0762248154"
"8","8","GOA","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","08_3","factor(year)2007","20.4712777602061","2604.35577829323","-5083.9722506233","5124.91480614371"
"9","9","GOA","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","08_3","factor(year)2009","20.6042904148283","2166.66961681469","-4225.99012493917","4267.19870576882"
"10","10","GOA","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","08_3","factor(year)2011","20.5991228361918","3138.90775993671","-6131.54703743305","6172.74528310543"
"11","11","GOA","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","08_3","factor(year)2013","20.4618521540253","2897.75891234207","-5659.04125191638","5699.96495622443"
"12","12","GOA","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","08_3","factor(year)2015","20.5991328775672","3834.37233261139","-7494.63254235759","7535.83080811272"
"13","13","GOA","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","08_3","factor(year)2017","20.7289009368821","4492.19804334756","-8783.81747544563","8825.27527731939"
