"","X","srvy","common_name","species_code","filter_lat_lt","filter_lat_gt","filter_depth","model_fn","model_family","model_anisotropy","model_spatiotemporal","file_name","effort","year","est","lwr","upr","log_est","se","type"
"1","1","GOA","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","08_3","1990","23610601.4932696","12565836.738063","44363182.0541955","16.9772063849451","0.321798803659055","index"
"2","2","GOA","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","08_3","1993","17335837.7416235","9036400.02416184","33257853.7249707","16.6682864625343","0.332411739212718","index"
"3","3","GOA","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","08_3","1996","22060325.7672807","10397153.3906431","46806847.4777447","16.9092913390097","0.383807422348584","index"
"4","4","GOA","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","08_3","1999","7419979.20917638","3791134.85734188","14522324.7223687","15.8196868131418","0.34261387022761","index"
"5","5","GOA","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","08_3","2001","10943081.6491487","5354522.98202937","22364463.9087066","16.2082180016858","0.36468314132998","index"
"6","6","GOA","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","08_3","2003","5937650.8480965","2861267.36687216","12321706.8080015","15.5968241329975","0.372480779670166","index"
"7","7","GOA","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","08_3","2005","19679780.2719709","10179456.0197442","38046605.909182","16.7951022844839","0.336342993136265","index"
"8","8","GOA","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","08_3","2007","30312354.9214677","15753881.9619021","58324599.8101976","17.2270659405546","0.333918673546641","index"
"9","9","GOA","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","08_3","2009","11631471.6847291","5752031.57536464","23520582.5594024","16.2692250585982","0.359272617418577","index"
"10","10","GOA","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","08_3","2011","18903215.6188105","9232904.67344229","38701965.7810477","16.7548426041193","0.365597711804224","index"
"11","11","GOA","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","08_3","2013","29194980.6650328","13679059.4069587","62310343.9113683","17.1895073574297","0.386808457918727","index"
"12","12","GOA","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","08_3","2015","13968543.2073174","6379633.65503781","30584859.552337","16.4523184457181","0.399852864168907","index"
"13","13","GOA","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","08_3","2017","11879604.2484173","5856186.26912052","24098447.4560109","16.2903335589211","0.360886435736335","index"
"14","14","GOA","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","08_3","2019","19447829.9283765","8321090.84822144","45452945.5118133","16.7832460499983","0.433141701034583","index"
"15","15","GOA","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","08_3","2021","10307457.4678887","4451655.29013073","23866106.5442051","16.1483782172281","0.428370961692994","index"
"16","16","GOA","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","08_3","2023","5454060.72877112","2163565.93935794","13748958.5558695","15.5118709770472","0.471744719833111","index"
"17",NA,"GOA","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","1_1","1990","13733741.1312359","8506598.76429227","22172862.584226","16.4353662192328","0.244399120353415","index"
"18",NA,"GOA","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","1_1","1993","17657464.2244256","9465560.5877365","32938993.9398643","16.6866691541794","0.318117368882279","index"
"19",NA,"GOA","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","1_1","1996","19223628.3170619","9596631.99242363","38508081.3731626","16.7716507218931","0.354459554672514","index"
"20",NA,"GOA","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","1_1","1999","7451086.17560797","3854906.22798134","14402084.4899797","15.8238703751122","0.33623736987241","index"
"21",NA,"GOA","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","1_1","2001","19208249.7760641","10071270.7596141","36634588.4512596","16.7708504205505","0.329420834411774","index"
"22",NA,"GOA","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","1_1","2003","7620605.04931546","3986858.05998448","14566262.5666383","15.8463663273079","0.330542962725069","index"
"23",NA,"GOA","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","1_1","2005","13691545.3207109","7193263.950018","26060271.744736","16.4322890704202","0.328390466314727","index"
"24",NA,"GOA","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","1_1","2007","21116285.5748036","11208217.5076518","39783089.1640216","16.8655551289298","0.323167854435605","index"
