"","X","srvy","common_name","species_code","filter_lat_lt","filter_lat_gt","filter_depth","model_fn","model_family","model_anisotropy","model_spatiotemporal","file_name","effort","term","estimate","std.error","conf.low","conf.high"
"1","1","GOA","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","08_3","factor(year)1990","24.1731020057235","7874.04550002143","-15408.672490666","15457.0186946774"
"2","2","GOA","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","08_3","factor(year)1993","23.9825658527166","6931.25855822309","-13561.0345757996","13608.999707505"
"3","3","GOA","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","08_3","factor(year)1996","23.8854766881458","5932.4665997136","-11603.5353982373","11651.3063516136"
"4","4","GOA","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","08_3","factor(year)1999","23.9670253006563","7087.50411405517","-13867.2857785269","13915.2198291282"
"5","5","GOA","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","08_3","factor(year)2001","23.2264296021004","6765.40386319262","-13236.7214831236","13283.1743423278"
"6","6","GOA","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","08_3","factor(year)2003","23.7093976939851","6253.94963520334","-12233.806648432","12281.2254438199"
"7","7","GOA","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","08_3","factor(year)2005","23.9971305205198","6531.99423518033","-12778.4763176562","12826.4705786972"
"8","8","GOA","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","08_3","factor(year)2007","23.6465345348409","6201.50951951806","-12131.0887735029","12178.3818425725"
"9","9","GOA","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","08_3","factor(year)2009","23.7966071515109","5840.38515137578","-11423.1479453875","11470.7411596905"
"10","10","GOA","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","08_3","factor(year)2011","23.9425666417156","7030.31996699566","-13755.2313684626","13803.116501746"
"11","11","GOA","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","08_3","factor(year)2013","23.4945152673472","6537.97435645489","-12790.6997552307","12837.6887857654"
"12","12","GOA","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","08_3","factor(year)2015","23.9467775501173","5202.48439065621","-10172.7352582679","10220.6288133681"
"13","13","GOA","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","08_3","factor(year)2017","23.3394725180884","7500.71669512294","-14677.7951081612","14724.4740531974"
"14","14","GOA","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","08_3","factor(year)2019","23.329387353419","4569.00074699239","-8931.74752208826","8978.4062967951"
"15","15","GOA","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","08_3","factor(year)2021","23.2716802919667","6368.88260803751","-12459.5088532251","12506.052213809"
"16","16","GOA","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","08_3","factor(year)2023","23.388055517791","6814.72041859586","-13333.2185296398","13379.9946406754"
"17",NA,"GOA","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","1_1","factor(year)1990","26.9660629627401","28329.3695929941","-55497.5780440298","55551.5101699553"
"18",NA,"GOA","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","1_1","factor(year)1993","25.9536412062212","15949.8112464177","-31235.1019619844","31287.0092443968"
"19",NA,"GOA","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","1_1","factor(year)1996","26.4883271975542","23763.1192714041","-46548.3696050841","46601.3462594792"
"20",NA,"GOA","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","1_1","factor(year)1999","26.8105265874769","28380.2206844501","-55597.3998882334","55651.0209414083"
"21",NA,"GOA","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","1_1","factor(year)2001","25.3292152223414","18244.9185996545","-35734.0541409654","35784.7125714101"
"22",NA,"GOA","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","1_1","factor(year)2003","26.5764749579866","25360.2147143752","-49678.5310054201","49731.6839553361"
"23",NA,"GOA","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","1_1","factor(year)2005","26.2282222845431","22103.4011066932","-43295.641882677","43348.0983272461"
"24",NA,"GOA","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","1_1","factor(year)2007","25.8619305626071","17244.4600387133","-33772.6586781557","33824.3825392809"
"25",NA,"GOA","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","1_1","factor(year)2009","27.083505632438","31249.6484737684","-61221.1020324907","61275.2690437556"
"26",NA,"GOA","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","1_1","factor(year)2011","26.6377156208467","26131.9556130223","-51191.0541315022","51244.3295627439"
"27",NA,"GOA","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","1_1","factor(year)2013","26.3632952891159","25265.4988821305","-49493.1045651237","49545.8311557019"
"28",NA,"GOA","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","1_1","factor(year)2015","26.2417686633699","19226.466755839","-37656.9406227377","37709.4241600645"
"29",NA,"GOA","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","1_1","factor(year)2017","25.6254905034253","18530.0543381373","-36292.6136438159","36343.8646248228"
"30",NA,"GOA","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","1_1","factor(year)2019","26.7995920748944","34127.6435423049","-66862.1526280636","66915.7518122134"
"31",NA,"GOA","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","1_1","factor(year)2021","26.2832062823867","27403.483641814","-53683.5577826055","53736.1241951703"
"32",NA,"GOA","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","1_1","factor(year)2023","25.9064211215837","20689.2265713391","-40524.2325266921","40576.0453689353"
