"","X","srvy","common_name","species_code","filter_lat_lt","filter_lat_gt","filter_depth","model_fn","model_family","model_anisotropy","model_spatiotemporal","file_name","effort","year","est","lwr","upr","log_est","se","type"
"1","1","GOA","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","08_3","1990","20737736.035763","17957058.9913508","23949005.0178108","16.8474655954902","0.0734563198416445","index"
"2","2","GOA","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","08_3","1993","22286674.6269854","19187202.7218152","25886830.5677715","16.9194995074666","0.076402127172579","index"
"3","3","GOA","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","08_3","1996","15543576.1301184","12959085.0341818","18643504.4044791","16.5591580006325","0.0927824974770596","index"
"4","4","GOA","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","08_3","1999","10980053.688633","8815375.32717903","13676284.279531","16.2115908837088","0.112034167104065","index"
"5","5","GOA","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","08_3","2001","10458657.5889663","8132623.65573051","13449966.8487878","16.1629406707902","0.128342423855209","index"
"6","6","GOA","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","08_3","2003","10582992.1593935","8512679.77403175","13156811.4881336","16.1747587572075","0.111069086411165","index"
"7","7","GOA","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","08_3","2005","10227683.2226618","8304146.51507807","12596779.682678","16.1406086433318","0.106299461024335","index"
"8","8","GOA","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","08_3","2007","8861538.55727303","7194781.56693304","10914419.6903688","15.9972309595679","0.106310331402674","index"
"9","9","GOA","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","08_3","2009","18563858.5796796","14980660.5564401","23004115.4772842","16.7367271613267","0.109418607712483","index"
"10","10","GOA","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","08_3","2011","14091121.895798","11255629.3807782","17640925.2263873","16.4610555042535","0.114633000994704","index"
