"","X","srvy","common_name","species_code","filter_lat_lt","filter_lat_gt","filter_depth","model_fn","model_family","model_anisotropy","model_spatiotemporal","file_name","effort","term","estimate","std.error","conf.low","conf.high"
"1","1","GOA","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","08_3","factor(year)1990","22.0197424524506","3673.12800800081","-7177.17886383448","7221.21834873938"
"2","2","GOA","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","08_3","factor(year)1993","22.1572532861583","3845.57112106927","-7515.02364399693","7559.33815056925"
"3","3","GOA","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","08_3","factor(year)1996","22.0489728719761","3520.71250011216","-6878.42072726783","6922.51867301178"
"4","4","GOA","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","08_3","factor(year)1999","21.9342820390238","3155.797858101","-6163.31586232757","6207.18442640562"
"5","5","GOA","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","08_3","factor(year)2001","21.1925841041617","3108.40943325709","-6071.1779542843","6113.56312249262"
"6","6","GOA","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","08_3","factor(year)2003","22.0570885981463","3516.72929342569","-6870.60566989319","6914.71984708948"
"7","7","GOA","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","08_3","factor(year)2005","22.4038587535064","3202.49821371361","-6254.37730067903","6299.18501818604"
"8","8","GOA","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","08_3","factor(year)2007","22.1377084405994","3769.41421602445","-7365.7783977806","7410.0538146618"
"9","9","GOA","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","08_3","factor(year)2009","22.9841909696216","4928.53186180136","-9636.76075481918","9682.72913675842"
"10","10","GOA","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","08_3","factor(year)2011","21.8601013536817","3249.62941787046","-6347.29652077428","6391.01672348164"
