"","X","srvy","common_name","species_code","filter_lat_lt","filter_lat_gt","filter_depth","model_fn","model_family","model_anisotropy","model_spatiotemporal","file_name","effort","year","est","lwr","upr","log_est","se","type"
"1","1","GOA","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","08_3","1990","17655112.2065146","12563811.7837715","24809587.4396371","16.6865359428336","0.173577058857335","index"
"2","2","GOA","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","08_3","1993","33721893.08621","19925246.9188068","57071617.6292121","17.3336578308687","0.2684537369275","index"
"3","3","GOA","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","08_3","1996","52099532.4908028","31360463.2647268","86553609.3279985","17.7686665333782","0.258988436304252","index"
"4","4","GOA","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","08_3","1999","21132022.2609111","12846413.6534666","34761636.7401605","16.8663000906877","0.253945918076723","index"
"5","5","GOA","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","08_3","2001","44014699.9432983","24380229.4117519","79461672.7504938","17.6000342257074","0.301409178209461","index"
"6","6","GOA","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","08_3","2003","31296365.3430693","19757683.8065062","49573750.3079351","17.2590125255429","0.234677525723603","index"
"7","7","GOA","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","08_3","2005","41826013.7833057","26577033.0387317","65824331.3484916","17.5490290432357","0.23136703817961","index"
"8","8","GOA","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","08_3","2007","57457290.4077069","36040168.4035117","91601686.8743011","17.866552454255","0.237967531320495","index"
"9","9","GOA","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","08_3","2009","36905298.1402166","22888172.7017008","59506761.3552684","17.4238656797397","0.243746734282566","index"
"10","10","GOA","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","08_3","2011","43151831.0351888","26626853.1965359","69932429.0386572","17.5802354087809","0.246333417038151","index"
"11","11","GOA","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","08_3","2013","121220460.798076","71561545.4615556","205339334.43335","18.6131214358172","0.268909544705493","index"
"12","12","GOA","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","08_3","2015","87419767.3421008","54704826.1640385","139699113.552267","18.2862319860152","0.239172503435112","index"
"13","13","GOA","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","08_3","2017","88530590.1549452","52517372.1720413","149239481.509233","18.2988587017228","0.266435574581856","index"
"14","14","GOA","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","08_3","2019","96839267.2886388","59157829.6308388","158522443.225533","18.3885631237998","0.25145544458099","index"
"15","15","GOA","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","08_3","2021","129692894.252262","77917669.6713771","215872046.616243","18.6806798617586","0.259962201146427","index"
"16","16","GOA","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","08_3","2023","78034300.8942026","44772937.4730247","136005195.542859","18.1726590430438","0.283446332090737","index"
"17",NA,"GOA","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","1_1","1990","21009118.2879473","15624765.0610638","28248940.0328244","16.8604671056363","0.151073892474616","index"
"18",NA,"GOA","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","1_1","1993","33420063.1584765","20284667.2733128","55061323.2382663","17.3246669709704","0.254745047877398","index"
"19",NA,"GOA","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","1_1","1996","59744461.5501397","38680798.4892239","92278360.9782647","17.9055870507581","0.221806718075403","index"
"20",NA,"GOA","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","1_1","1999","19606487.3067108","12594791.2934478","30521692.3053104","16.7913710544736","0.2258088214481","index"
"21",NA,"GOA","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","1_1","2001","30947330.6010191","18207619.8379587","52600904.4483731","17.2477973046198","0.270640977058965","index"
"22",NA,"GOA","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","1_1","2003","32733818.5495129","21879770.3978042","48972309.0028388","17.3039193078516","0.20553758603118","index"
"23",NA,"GOA","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","1_1","2005","41530838.5234791","27567744.292623","62566256.0619748","17.5419468061924","0.209080292919761","index"
"24",NA,"GOA","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","1_1","2007","43834254.0316856","29041491.8986558","66161953.1537663","17.5959261252185","0.210049780477584","index"
"25",NA,"GOA","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","1_1","2009","43292130.156709","28561123.5846103","65620966.4845018","17.5834814248767","0.212210220339682","index"
"26",NA,"GOA","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","1_1","2011","48317520.533398","31374644.9393154","74409855.3150437","17.6933047968098","0.220307190100819","index"
"27",NA,"GOA","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","1_1","2013","104834594.570539","66335924.9163609","165676324.444505","18.4678943762438","0.23350031812084","index"
"28",NA,"GOA","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","1_1","2015","80037472.0887772","52849263.4102652","121212605.909613","18.1980054840823","0.21176468268687","index"
"29",NA,"GOA","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","1_1","2017","74736109.0383535","47543733.8718319","117481012.518915","18.1294739207033","0.230776364143076","index"
"30",NA,"GOA","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","1_1","2019","91161574.0004042","59165525.8190709","140460723.693128","18.328144028542","0.220562436788309","index"
"31",NA,"GOA","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","1_1","2021","122377431.215944","78304715.433041","191255859.729409","18.6226205255507","0.227811402291459","index"
"32",NA,"GOA","Pacific ocean perch","30060",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_ocean_perch","1_1","2023","78050946.210599","47977348.0677059","126975550.957356","18.1728723279861","0.248286595874013","index"
