"","X","srvy","common_name","species_code","filter_lat_lt","filter_lat_gt","filter_depth","model_fn","model_family","model_anisotropy","model_spatiotemporal","file_name","effort","term","estimate","std.error","conf.low","conf.high"
"1","1","GOA","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","factor(year)1990","23.0582260463644","4232.88211552084","-8273.23827117819","8319.35472327092"
"2","2","GOA","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","factor(year)1993","23.1733274050028","4356.01278292213","-8514.45484331846","8560.80149812846"
"3","3","GOA","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","factor(year)1996","23.2220065093601","NaN","NaN","NaN"
"4","4","GOA","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","factor(year)1999","23.1056508639437","3293.62719416214","-6432.28502819556","6478.49632992345"
"5","5","GOA","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","factor(year)2001","22.6596121392606","1056.45003180561","-2047.94440166593","2093.26362594445"
"6","6","GOA","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","factor(year)2003","23.0329763013205","3129.86452107282","-6111.38876149111","6157.45471409375"
"7","7","GOA","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","factor(year)2005","23.0312570586663","4753.573112142","-9293.80084061764","9339.86335473497"
"8","8","GOA","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","factor(year)2007","23.1086616793528","404.287064111122","-769.279423393882","815.496746752587"
"9","9","GOA","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","factor(year)2009","23.1010982612716","3144.01746310663","-6139.0598961927","6185.26209271524"
"10","10","GOA","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","factor(year)2011","22.986795414321","4643.13124822106","-9077.38322659146","9123.3568174201"
"11","11","GOA","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","factor(year)2013","22.9174569547426","NaN","NaN","NaN"
"12","12","GOA","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","factor(year)2015","23.1486693344346","NaN","NaN","NaN"
"13","13","GOA","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","factor(year)2017","22.901108033017","4941.15373189031","-9661.58224854766","9707.3844646137"
"14","14","GOA","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","factor(year)2019","22.9154332891118","NaN","NaN","NaN"
"15","15","GOA","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","factor(year)2021","22.8948812048196","2961.69343167776","-5781.91757813244","5827.70734054208"
"16","16","GOA","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","factor(year)2023","22.9194750112632","4932.65438866863","-9644.90547496268","9690.74442498521"
"17",NA,"GOA","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","1_1","factor(year)1990","24.5131346445215","6744.87561378045","-13195.2001485676","13244.2264178567"
"18",NA,"GOA","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","1_1","factor(year)1993","23.9805643398543","5317.8576883938","-10398.8289798214","10446.7901085011"
