"","X","srvy","common_name","species_code","filter_lat_lt","filter_lat_gt","filter_depth","model_fn","model_family","model_anisotropy","model_spatiotemporal","file_name","effort","year","est","lwr","upr","log_est","se","type"
"1","1","GOA","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","1990","44987516.6051524","36738920.8036576","55088081.1419307","17.6218956004753","0.103342887233068","index"
"2","2","GOA","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","1993","32984249.3272532","27058738.5061617","40207369.7350917","17.3115407123766","0.101032545860988","index"
"3","3","GOA","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","1996","14768024.1876977","12035170.5760189","18121433.0973419","16.5079748735686","0.104405526200728","index"
"4","4","GOA","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","1999","12484338.8877714","9313921.26578242","16733952.6518565","16.3399855277727","0.149474572448411","index"
"5","5","GOA","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","2001","7222932.3007979","4804298.24375875","10859182.4185113","15.7927715642628","0.208039548095254","index"
"6","6","GOA","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","2003","16669435.9227906","11849907.3117332","23449136.4931513","16.6290874162895","0.17411381804008","index"
"7","7","GOA","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","2005","15662988.8746618","10823948.177779","22665409.7431312","16.5668110907663","0.188543989876522","index"
"8","8","GOA","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","2007","8998371.95075564","6223452.14315674","13010576.1081782","16.0125542245767","0.188125348113895","index"
"9","9","GOA","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","2009","24729396.8182258","17242215.1018466","35467778.5528716","17.0235032485097","0.183999272548964","index"
"10","10","GOA","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","2011","20377968.4590017","13982069.6406178","29699580.1901699","16.8299648977186","0.19218647583042","index"
"11","11","GOA","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","2013","29643165.0589333","19040310.4240208","46150362.8429606","17.204742136056","0.225857846659735","index"
"12","12","GOA","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","2015","20176447.4865744","14038492.509837","28998058.936402","16.8200265160931","0.185061021146854","index"
"13","13","GOA","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","2017","5057639.73792619","3341954.02610584","7654120.76851833","15.4364104774844","0.21140401002847","index"
"14","14","GOA","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","2019","8627501.8108688","5791596.81039254","12852031.9927967","15.9704655438492","0.203344014397","index"
"15","15","GOA","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","2021","14066269.390711","9333943.40178778","21197893.1149461","16.4592902475728","0.209249817341194","index"
"16","16","GOA","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","08_3","2023","25211230.8943548","16915729.6302104","37574859.4416716","17.042800123611","0.203598449967616","index"
"17",NA,"GOA","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","1_1","1990","45031237.3285875","37748856.9147864","53718509.6735807","17.6228669697725","0.0900022747183566","index"
"18",NA,"GOA","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","1_1","1993","30459861.1880058","25549020.7425339","36314626.4172848","17.2319203482313","0.0897010367746638","index"
"19",NA,"GOA","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","1_1","1996","19460711.7836191","15833918.5248624","23918229.876605","16.7839082108065","0.105228092615256","index"
"20",NA,"GOA","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","1_1","1999","12548832.0907517","9633300.81072518","16346752.783486","16.3451381587138","0.134901290248088","index"
"21",NA,"GOA","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","1_1","2001","7674384.66570862","5310957.8659023","11089558.8864284","15.8533986743744","0.18781769015618","index"
"22",NA,"GOA","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","1_1","2003","15593167.125608","11393858.5341118","21340168.5021092","16.5623433714989","0.160083721359935","index"
"23",NA,"GOA","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","1_1","2005","15076550.592415","10828120.2658918","20991859.3610052","16.5286511538229","0.168877652775341","index"
"24",NA,"GOA","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","1_1","2007","9422828.193692","6719535.59112869","13213664.8379479","16.0586458343677","0.172511451938129","index"
"25",NA,"GOA","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","1_1","2009","29695079.6116161","21191346.5632729","41611218.5465588","17.2064919204056","0.172140124885407","index"
"26",NA,"GOA","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","1_1","2011","18788708.260339","13322229.3128779","26498234.62736","16.748766622903","0.175422635676438","index"
"27",NA,"GOA","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","1_1","2013","21364123.7178215","14445994.45854","31595317.5491188","16.8772236113734","0.1996444222778","index"
"28",NA,"GOA","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","1_1","2015","22551404.2745871","16164008.4030219","31462853.8958684","16.9313078957916","0.169906321431269","index"
"29",NA,"GOA","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","1_1","2017","5064265.15641803","3376725.12932943","7595164.12862509","15.4377196024974","0.206790892366904","index"
"30",NA,"GOA","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","1_1","2019","7576094.9408141","5235930.99336066","10962179.3383088","15.840508445556","0.188500003985574","index"
"31",NA,"GOA","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","1_1","2021","17166514.1944836","11893346.3904982","24777652.9761917","16.6584711950517","0.187238910042842","index"
"32",NA,"GOA","walleye pollock","21740",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","walleye_pollock","1_1","2023","26361380.9751127","18360712.0902632","37848336.3552958","17.087410655267","0.184537537854126","index"
