"","X.3","X.2","X.1","X","srvy","common_name","species_code","filter_lat_lt","filter_lat_gt","filter_depth","model_fn","model_family","model_anisotropy","model_spatiotemporal","file_name","effort","term","estimate","std.error","conf.low","conf.high"
"1","1","1","1","1","NBS","blue king crab","69323",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","blue_king_crab","08_3","range","2.82510101092475","NaN","NaN","NaN"
"2","2","2","2","2","NBS","blue king crab","69323",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","blue_king_crab","08_3","sigma_O","0.281645868478064","NaN","NaN","NaN"
"3","3","3","3","3","NBS","blue king crab","69323",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","blue_king_crab","08_3","sigma_E","0.281617138989023","NaN","NaN","NaN"
"4","4","4","4",NA,"NBS","blue king crab","69323",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","blue_king_crab","1_1","range","1.87091439690524","3779.79079334146","0","Inf"
"5","5","5","5",NA,"NBS","blue king crab","69323",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","blue_king_crab","1_1","sigma_O","0.0788286830284032","292.370978899904","0","Inf"
"6","6","6","6",NA,"NBS","blue king crab","69323",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","blue_king_crab","1_1","sigma_E","0.19644680354471","455.287342650366","0","Inf"
"7","7","7",NA,NA,"NBS","blue king crab","69323",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","blue_king_crab","02_1","range","2.77859016544772","1413.2062783113","0","Inf"
"8","8","8",NA,NA,"NBS","blue king crab","69323",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","blue_king_crab","02_1","sigma_O","0.283839055892513","145.072018273262","0","Inf"
"9","9","9",NA,NA,"NBS","blue king crab","69323",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","blue_king_crab","02_1","sigma_E","0.27747658853766","140.976408817248","0","Inf"
"10","10",NA,NA,NA,"NBS","blue king crab","69323",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","blue_king_crab","02_1","range","2.77859016544772","1413.2062783113","0","Inf"
"11","11",NA,NA,NA,"NBS","blue king crab","69323",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","blue_king_crab","02_1","sigma_O","0.283839055892513","145.072018273262","0","Inf"
"12","12",NA,NA,NA,"NBS","blue king crab","69323",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","blue_king_crab","02_1","sigma_E","0.27747658853766","140.976408817248","0","Inf"
"13",NA,NA,NA,NA,"NBS","blue king crab","69323",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","blue_king_crab","02_1","range","2.77859016544772","1413.2062783113","0","Inf"
"14",NA,NA,NA,NA,"NBS","blue king crab","69323",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","blue_king_crab","02_1","sigma_O","0.283839055892513","145.072018273262","0","Inf"
"15",NA,NA,NA,NA,"NBS","blue king crab","69323",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","blue_king_crab","02_1","sigma_E","0.27747658853766","140.976408817248","0","Inf"
