"","X","srvy","common_name","species_code","filter_lat_lt","filter_lat_gt","filter_depth","model_fn","model_family","model_anisotropy","model_spatiotemporal","file_name","effort","term","estimate","std.error","conf.low","conf.high"
"1","1","NBS","northern rock sole","10261",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rock_sole","08_3","factor(year)2010","17.9671094788897","1053.68774363647","-2047.22291899987","2083.15713795765"
"2","2","NBS","northern rock sole","10261",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rock_sole","08_3","factor(year)2017","18.3561622802547","1021.71656541756","-1984.17150834612","2020.88383290663"
"3","3","NBS","northern rock sole","10261",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rock_sole","08_3","factor(year)2019","19.5751612773513","1585.89650276481","-3088.72486734971","3127.87518990441"
"4","4","NBS","northern rock sole","10261",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rock_sole","08_3","factor(year)2021","18.8464526994875","1065.63385305149","-2069.75751998809","2107.45042538706"
"5","5","NBS","northern rock sole","10261",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rock_sole","08_3","factor(year)2022","18.4884742676201","1210.15880592341","-2353.37920091626","2390.3561494515"
"6","6","NBS","northern rock sole","10261",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rock_sole","08_3","factor(year)2023","18.6026982855526","894.270088386259","-1734.13446740296","1771.33986397407"
"7",NA,"NBS","northern rock sole","10261",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rock_sole","1_1","factor(year)2010","18.1820156451358","988.31431934822","-1918.87845568259","1955.24248697286"
"8",NA,"NBS","northern rock sole","10261",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rock_sole","1_1","factor(year)2017","20.4249632315637","1891.56341649902","-3686.97120758006","3727.82113404318"
"9",NA,"NBS","northern rock sole","10261",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rock_sole","1_1","factor(year)2019","19.1868095844454","983.888447227335","-1909.19911178617","1947.57273095506"
"10",NA,"NBS","northern rock sole","10261",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rock_sole","1_1","factor(year)2021","18.4237583828809","817.280673526906","-1583.41692699049","1620.26444375625"
"11",NA,"NBS","northern rock sole","10261",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rock_sole","1_1","factor(year)2022","18.7855346223871","1143.11850620299","-2221.68556759669","2259.25663684147"
"12",NA,"NBS","northern rock sole","10261",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rock_sole","1_1","factor(year)2023","17.4739315614103","727.800453980175","-1408.98874617163","1443.93660929445"
