"","X","srvy","common_name","species_code","filter_lat_lt","filter_lat_gt","filter_depth","model_fn","model_family","model_anisotropy","model_spatiotemporal","file_name","effort","year","est","lwr","upr","log_est","se","type"
"1","1","NBS","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","08_3","2010","2694649.78330901","1668345.39066884","4352298.68784922","14.8067788033462","0.244614644920318","index"
"2","2","NBS","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","08_3","2017","11236013.4689149","7209500.79994143","17511337.078243","16.2346346659342","0.226394158131892","index"
"3","3","NBS","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","08_3","2019","26233183.5061577","15183554.0114883","45324033.9084676","17.082535713375","0.278990986852508","index"
"4","4","NBS","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","08_3","2021","13215887.0474055","7944704.17283926","21984414.6050011","16.3969302280512","0.259654824878008","index"
"5","5","NBS","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","08_3","2022","8658510.25394801","5157327.45826395","14536559.9575403","15.9740532396374","0.264353924299593","index"
"6","6","NBS","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","08_3","2023","6573760.44926769","3666683.00610321","11785672.8744824","15.6985965934289","0.29786189937122","index"
"7",NA,"NBS","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","1_1","2010","2635737.14219969","1756589.87648494","3954884.61807183","14.7846734511952","0.207038770649845","index"
"8",NA,"NBS","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","1_1","2017","15509761.3343326","11246458.8733466","21389194.5328725","16.556980147177","0.163990909761958","index"
"9",NA,"NBS","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","1_1","2019","22041729.1736109","15666907.1267505","31010449.0332535","16.9084479953244","0.174180127090497","index"
"10",NA,"NBS","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","1_1","2021","12465466.7135896","8668475.35110923","17925627.5289204","16.3384727161634","0.185344852826929","index"
"11",NA,"NBS","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","1_1","2022","8447747.65401723","5828359.84915407","12244343.5671377","15.9494104139822","0.189372982177183","index"
"12",NA,"NBS","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","1_1","2023","6788796.38045422","4519963.65568702","10196488.2477054","15.7307842202658","0.20753937953729","index"
