"","X","srvy","common_name","species_code","filter_lat_lt","filter_lat_gt","filter_depth","model_fn","model_family","model_anisotropy","model_spatiotemporal","file_name","effort","year","est","lwr","upr","log_est","se","type"
"1","1","NBS","Pacific halibut","10120",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_halibut","08_3","2010","3239950.6650362","1993307.0119869","5266263.6757621","14.9910686608119","0.247842833930043","index"
"2","2","NBS","Pacific halibut","10120",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_halibut","08_3","2017","3499128.67636184","1963056.66176334","6237161.53090532","15.0680245458556","0.294909096642038","index"
"3","3","NBS","Pacific halibut","10120",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_halibut","08_3","2019","3144150.14738469","1629981.01217792","6064905.09732398","14.9610541881927","0.335197620788088","index"
"4","4","NBS","Pacific halibut","10120",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_halibut","08_3","2021","2152106.75784941","1371128.14450374","3377921.68860878","14.5819578076994","0.230011055901752","index"
"5","5","NBS","Pacific halibut","10120",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_halibut","08_3","2022","2056012.6808979","1208929.52507507","3496637.36085068","14.5362790732901","0.270940303748256","index"
"6","6","NBS","Pacific halibut","10120",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_halibut","08_3","2023","3443050.18160388","1827915.8094271","6485306.64919294","15.0518683171793","0.323057642053728","index"
"7",NA,"NBS","Pacific halibut","10120",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_halibut","1_1","2010","3684774.37376729","2278946.22831636","5957824.72480843","15.1197198534454","0.245155596585549","index"
"8",NA,"NBS","Pacific halibut","10120",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_halibut","1_1","2017","3346768.2265426","2031982.03324799","5512281.79133614","15.0235057296758","0.254588088289269","index"
"9",NA,"NBS","Pacific halibut","10120",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_halibut","1_1","2019","3773088.94084631","2215927.06492566","6424489.49736273","15.1434045716467","0.271547417440737","index"
"10",NA,"NBS","Pacific halibut","10120",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_halibut","1_1","2021","1869006.7015117","1214289.92465265","2876731.47851809","14.4409176720448","0.220028345258488","index"
"11",NA,"NBS","Pacific halibut","10120",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_halibut","1_1","2022","2335324.42356577","1488825.16987967","3663116.57919081","14.6636613788625","0.229679469670728","index"
"12",NA,"NBS","Pacific halibut","10120",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_halibut","1_1","2023","2756662.61626762","1566927.60434292","4849738.27690919","14.8295313090203","0.28822161701405","index"
