"","X","srvy","common_name","species_code","filter_lat_lt","filter_lat_gt","filter_depth","model_fn","model_family","model_anisotropy","model_spatiotemporal","file_name","effort","term","estimate","std.error","conf.low","conf.high"
"1","1","NBS","yellowfin sole","10210",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","yellowfin_sole","08_3","factor(year)2010","19.7883539120921","3105.24203604643","-6066.37420001874","6105.95090784292"
"2","2","NBS","yellowfin sole","10210",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","yellowfin_sole","08_3","factor(year)2017","19.6641217776301","1650.04027133251","-3214.3553830748","3253.68362663006"
"3","3","NBS","yellowfin sole","10210",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","yellowfin_sole","08_3","factor(year)2019","19.5857266151948","1662.76893716461","-3239.38150483938","3278.55295806977"
"4","4","NBS","yellowfin sole","10210",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","yellowfin_sole","08_3","factor(year)2021","19.7692759273014","1590.10931175671","-3096.78770659762","3136.32625845222"
"5","5","NBS","yellowfin sole","10210",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","yellowfin_sole","08_3","factor(year)2022","19.8823944562977","1980.89918200791","-3862.60865928406","3902.37344819666"
"6","6","NBS","yellowfin sole","10210",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","yellowfin_sole","08_3","factor(year)2023","19.5539054907848","3029.01891029618","-5917.21406718048","5956.32187816205"
"7",NA,"NBS","yellowfin sole","10210",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","yellowfin_sole","1_1","factor(year)2010","20.5137015633205","2425.2131156816","-4732.81666000679","4773.84406313343"
"8",NA,"NBS","yellowfin sole","10210",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","yellowfin_sole","1_1","factor(year)2017","20.5337851413558","2496.28166644837","-4872.08837636507","4913.15594664779"
"9",NA,"NBS","yellowfin sole","10210",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","yellowfin_sole","1_1","factor(year)2019","19.0929894752873","1169.8058137422","-2273.68427436499","2311.87025331557"
"10",NA,"NBS","yellowfin sole","10210",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","yellowfin_sole","1_1","factor(year)2021","20.898148284077","2787.44369551118","-5442.39110385107","5484.18740041923"
"11",NA,"NBS","yellowfin sole","10210",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","yellowfin_sole","1_1","factor(year)2022","18.1255255467703","712.018266181987","-1377.40463250458","1413.65568359812"
"12",NA,"NBS","yellowfin sole","10210",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","yellowfin_sole","1_1","factor(year)2023","20.4230181833926","2523.82502164358","-4926.18312751904","4967.02916388582"
