"","X","srvy","common_name","species_code","filter_lat_lt","filter_lat_gt","filter_depth","model_fn","model_family","model_anisotropy","model_spatiotemporal","file_name","effort","year","est","lwr","upr","log_est","se","type"
"1","1","NBS","yellowfin sole","10210",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","yellowfin_sole","08_3","2010","26127454.0908675","18153945.4691969","37603057.6068811","17.07849720033","0.185768068662365","index"
"2","2","NBS","yellowfin sole","10210",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","yellowfin_sole","08_3","2017","22171983.006249","15089097.9051463","32579603.7324225","16.9143400230706","0.196359207679464","index"
"3","3","NBS","yellowfin sole","10210",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","yellowfin_sole","08_3","2019","24270038.7621249","16460093.7331243","35785627.412903","17.0047531748224","0.198117786902126","index"
"4","4","NBS","yellowfin sole","10210",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","yellowfin_sole","08_3","2021","15773884.1366266","10387833.0981408","23952581.6794509","16.5738662277011","0.213126591179565","index"
"5","5","NBS","yellowfin sole","10210",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","yellowfin_sole","08_3","2022","16526460.1170485","11148449.6343705","24498822.0746281","16.6204732978652","0.200851801876226","index"
"6","6","NBS","yellowfin sole","10210",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","yellowfin_sole","08_3","2023","17000742.0296666","8028972.89014229","35997783.7157887","16.6487675498718","0.382762329879845","index"
"7",NA,"NBS","yellowfin sole","10210",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","yellowfin_sole","1_1","2010","25446601.775394","18071739.8596586","35831057.050625","17.0520927665207","0.174611792286153","index"
"8",NA,"NBS","yellowfin sole","10210",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","yellowfin_sole","1_1","2017","32120513.4831101","20182866.4391567","51118972.1008612","17.2850054333133","0.237076206813078","index"
"9",NA,"NBS","yellowfin sole","10210",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","yellowfin_sole","1_1","2019","20528694.8987012","15162881.6130038","27793352.543394","16.8373342165264","0.154581012093667","index"
"10",NA,"NBS","yellowfin sole","10210",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","yellowfin_sole","1_1","2021","16419399.7538478","10923099.1850113","24681336.6527513","16.6139741055255","0.207954744359647","index"
"11",NA,"NBS","yellowfin sole","10210",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","yellowfin_sole","1_1","2022","17618598.5283443","12519125.7089685","24795262.9695697","16.6844656366225","0.17433868666561","index"
"12",NA,"NBS","yellowfin sole","10210",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","yellowfin_sole","1_1","2023","15065886.8387225","6952507.95294498","32647347.9460092","16.527943596303","0.394563672300173","index"
